subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4410	0.3495142205818498	0.3564356435643564	0.2006079027355623	0.3644067796610169	0.393567196463839	0.24242424242424243	0.399381615278417	0.42565597667638483	0.2727272727272727	126.0	137.0	83.0	43.0	52.0	12.0
subimage_G1	3363	0.35194227905754577	0.34731543624161076	0.20982374167283493	0.37244897959183676	0.37922705314009664	0.25279642058165547	0.3868131868131868	0.41411213235294114	0.28928130511463845	172.0	177.0	110.0	55.0	55.0	1.0
subimage_F1	3304	0.34857929226736567	0.36031490153381046	0.2027563501790306	0.36103151862464183	0.42	0.21951219512195122	0.38117600631412785	0.4365249442825304	0.2735341752717264	128.0	148.0	78.0	48.0	68.0	20.0
subimage_E1	3747	0.3573842800802602	0.34371221934369606	0.22435359218294448	0.37809187279151946	0.3512476007677543	0.2674199623352166	0.3937007874015748	0.3975	0.2951118310109168	202.0	187.0	142.0	59.0	45.0	-14.0
subimage_D1	13186	0.34552845528455284	0.38585414987912975	0.15918367346938775	0.35772357723577236	0.44	0.19938172505399154	0.37543859649122807	0.47101449275362317	0.2626728110599078	121.0	149.0	67.0	52.0	80.0	27.0
subimage_C1	6626	0.34966592427616927	0.38085106382978723	0.16243153312280326	0.36338028169014086	0.43699731903485256	0.199438202247191	0.38071983364931805	0.46148122710622713	0.26581589035051434	136.0	162.0	74.0	60.0	87.0	26.0
subimage_B1	7126	0.3454254700523357	0.3821656050955414	0.18947368421052632	0.3541666666666667	0.4402332361516035	0.20527859237536658	0.36235955056179775	0.4548611111111111	0.2696152404623821	122.0	151.0	70.0	50.0	78.0	29.0
subimage_A1	10953	0.3497352699680059	0.3502850181665785	0.16877388535031848	0.36538461538461536	0.4265927977839335	0.20537897310513448	0.3826291079812207	0.4584615384615385	0.28254425156031515	135.0	159.0	77.0	57.0	81.0	22.0
subimage_H2	10802	0.34146341463414637	0.3893139949109415	0.19642857142857142	0.3515151515151515	0.4310850439882698	0.21739130434782608	0.36578171091445427	0.4454828660436137	0.26153846153846155	118.0	144.0	72.0	44.0	70.0	26.0
subimage_G2	5506	0.3559322033898305	0.3630425059970997	0.1961585872987584	0.3674540682414698	0.3879781420765027	0.24473684210526317	0.3879310344827586	0.41909239355422334	0.27087289029535866	137.0	145.0	91.0	46.0	53.0	8.0
subimage_F2	4232	0.35410764872521244	0.3398328690807799	0.21787709497206703	0.37168141592920356	0.37759264380530977	0.25290697674418605	0.40059347181008903	0.40634005763688763	0.2887122872567335	134.0	137.0	89.0	43.0	44.0	2.0
subimage_E2	3297	0.3550561797752809	0.3474714518760196	0.1837333586313759	0.36790123456790125	0.3979848866498741	0.23059866962305986	0.38684719535783363	0.4394736842105263	0.29210769380812235	157.0	175.0	98.0	60.0	68.0	10.0
subimage_D2	14420	0.3492537313432836	0.3925039015371439	0.1848101265822785	0.3620178041543027	0.4360597854943188	0.2018140589569161	0.3685446009389671	0.45179063360881544	0.25714579659024095	146.0	175.0	80.0	62.0	92.0	29.0
subimage_C2	7955	0.3481617219313555	0.38613217070080114	0.1615534604671095	0.36666666666666664	0.4341736694677871	0.20045045045045046	0.38235294117647056	0.46107784431137727	0.2636165577342048	142.0	167.0	77.0	63.0	89.0	26.0
subimage_B2	12180	0.34591194968553457	0.38738738738738737	0.1715938032592252	0.3552036199095023	0.4321608040201005	0.21008403361344538	0.37894736842105264	0.4551282051282051	0.2620545073375262	132.0	160.0	77.0	52.0	81.0	27.0
subimage_A2	11740	0.3463541666666667	0.38917404201517214	0.1553018539431583	0.36	0.4356955380577428	0.20308483290488433	0.3778501628664495	0.47330960854092524	0.25961662052600354	127.0	154.0	72.0	54.0	81.0	26.0
subimage_H3	3927	0.357555962089652	0.3517791042580835	0.20987654320987653	0.37435897435897436	0.38636363636363635	0.23891625615763548	0.38311688311688313	0.4117647058823529	0.2861324345757335	154.0	162.0	96.0	57.0	60.0	6.0
