subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9524	0.34151785714285715	0.3858183505254025	0.1917808219178082	0.3495702005730659	0.43175045319892114	0.2181208053691275	0.36699318453350716	0.4530158320426777	0.2664964574153195	113.0	139.0	70.0	42.0	68.0	26.0
subimage_G1	5918	0.3392857142857143	0.34299516908212563	0.20644472506026862	0.3473053892215569	0.42771084337349397	0.2269483805668016	0.36557641459545215	0.4436893971927762	0.29890453834115804	112.0	138.0	73.0	39.0	64.0	26.0
subimage_F1	3263	0.35714285714285715	0.3486732476562985	0.20596359037293877	0.36827195467422097	0.3881401617250674	0.24571428571428572	0.3956043956043956	0.4050925925925926	0.2867086247086247	139.0	146.0	91.0	45.0	53.0	6.0
subimage_E1	6513	0.34059155708249417	0.3768695695224893	0.1779370561021698	0.3515850144092219	0.428125	0.22253521126760564	0.3694029850746269	0.46308416956788856	0.270095743672386	115.0	141.0	74.0	43.0	68.0	26.0
subimage_D1	12831	0.3413897280966767	0.39004679886138854	0.18359375	0.3492063492063492	0.44193548387096776	0.20857142857142857	0.3595335890559761	0.4605263157894737	0.2644337606837607	118.0	148.0	70.0	46.0	76.0	30.0
subimage_C1	6776	0.3405260488370408	0.38846624435103505	0.19850187265917604	0.35014836795252224	0.4281609195402299	0.21944444444444444	0.3598901098901099	0.45016077170418006	0.2678011057979677	122.0	148.0	77.0	44.0	71.0	27.0
subimage_B1	7395	0.3382192513368984	0.4	0.17857142857142858	0.34818941504178275	0.42857142857142855	0.22287390029325513	0.35426346981544493	0.4743235025843721	0.2541736499068901	114.0	140.0	73.0	41.0	67.0	26.0
subimage_A1	14678	0.33962264150943394	0.3957573518224695	0.18867924528301888	0.34965034965034963	0.4407894736842105	0.20977011494252873	0.35947712418300654	0.45643370393395694	0.25883248730964464	112.0	140.0	66.0	43.0	72.0	28.0
subimage_H2	2929	0.34049079754601225	0.35094339622641507	0.21959387909466457	0.3565217391304348	0.3979328165374677	0.24624624624624625	0.38355064091984375	0.4263803680981595	0.28445528378282386	125.0	144.0	83.0	40.0	52.0	16.0
subimage_G2	6944	0.34591194968553457	0.3907808838299297	0.1888282727044942	0.3564356435643564	0.4206128133704735	0.2245508982035928	0.3709182627461559	0.4463667820069204	0.25677906762483876	120.0	142.0	76.0	45.0	66.0	22.0
subimage_F2	6332	0.34354150850712273	0.3935280652125363	0.17882124039251704	0.3542234332425068	0.4306784660766962	0.2146095364185272	0.3622291021671827	0.4666666666666667	0.2571024605214836	128.0	154.5	78.0	49.0	76.0	27.0
subimage_E2	6235	0.3588066171266808	0.3820682148040639	0.2	0.3696808510638298	0.4108527131782946	0.21875	0.38835628810115147	0.42048517520215634	0.2566880439761795	142.0	157.0	83.0	56.0	72.0	15.0
subimage_D2	5836	0.34309189609847296	0.39147769642736086	0.20253164556962025	0.35056410908936675	0.430939226519337	0.2177650429799427	0.35751295336787564	0.4462025316455696	0.2616937810084227	123.0	151.0	77.0	45.0	74.0	28.0
subimage_C2	12154	0.3456501663416313	0.3876146788990826	0.16666666666666666	0.35789473684210527	0.430635838150289	0.20891364902506965	0.3743455497382199	0.4673913043478261	0.26280623608017817	128.0	153.0	75.0	51.0	78.0	26.0
subimage_B2	9665	0.345821325648415	0.3911108959306689	0.16607457692169303	0.35738831615120276	0.43258426966292135	0.20857142857142857	0.37066666666666664	0.47239597913220505	0.2572165859075308	124.0	151.0	74.0	49.0	77.0	26.0
subimage_A2	14460	0.34163660810614965	0.3901785610827221	0.189873417721519	0.3496932515337423	0.43823529411764706	0.21246458923512748	0.36129032258064514	0.4551282051282051	0.26027545835438143	115.0	145.0	69.0	44.0	73.0	29.0
subimage_H3	5408	0.34285714285714286	0.38538470751189846	0.199595015576324	0.34901960784313724	0.43086816720257237	0.22	0.36	0.45161290322580644	0.2595755863043441	120.0	148.0	75.0	43.0	70.0	27.0
subimage_G3	3364	0.35563481270029357	0.34954954954954953	0.211340206185567	0.36363636363636365	0.3969657447543059	0.2311212814645309	0.38068926749113546	0.4263900365954433	0.2885201268265784	154.0	171.0	96.0	56.0	68.0	13.0
subimage_F3	4708	0.33781428881965075	0.3674321503131524	0.2017291066282421	0.35398230088495575	0.43154761904761907	0.21505376344086022	0.3719442649974382	0.44496839471489397	0.267072759937121	124.0	151.0	75.0	48.0	74.0	27.0
subimage_E3	6007	0.3524590163934426	0.35528942115768464	0.20195366341855142	0.3648068669527897	0.4033412887828162	0.23255813953488372	0.3864582939165752	0.4221105527638191	0.28628230616302186	157.0	172.0	97.0	56.0	71.0	15.0
subimage_D3	9037	0.34532374100719426	0.3848141874550867	0.1708185053380783	0.3543956043956044	0.4358974358974359	0.20833333333333334	0.36585365853658536	0.46757679180887374	0.26486448167489773	118.0	144.0	69.0	47.0	75.0	27.0
subimage_C3	5863	0.3448275862068966	0.38953051504304353	0.19169329073482427	0.35502958579881655	0.4342857142857143	0.2099125364431487	0.3608815426997245	0.4526955903271692	0.26339285714285715	126.0	154.0	75.0	50.0	78.0	28.0
subimage_B3	6389	0.3424317617866005	0.38799076212471134	0.1971326164874552	0.3502673796791444	0.42896935933147634	0.2204968944099379	0.3561860700473488	0.451505016722408	0.26785714285714285	124.0	151.0	78.0	45.0	73.0	28.0
subimage_A3	10222	0.34296028880866425	0.3956057292222341	0.16666666666666666	0.3508771929824561	0.4329608938547486	0.2152317880794702	0.36795252225519287	0.4715447154471545	0.2547945205479452	114.0	140.0	69.0	42.0	69.0	26.0
subimage_H4	4041	0.3364485981308411	0.3630573248407643	0.20735785953177258	0.34718100890207715	0.4197183098591549	0.23353293413173654	0.37813211845102507	0.4355400696864111	0.273972602739726	118.0	144.0	80.0	39.0	63.0	25.0
subimage_G4	6959	0.35454545454545455	0.36674669632663864	0.20046620046620048	0.36694677871148457	0.40782122905027934	0.22598870056497175	0.38596491228070173	0.4211764705882353	0.2716302623432905	143.0	156.0	86.0	52.0	67.0	16.0
subimage_F4	5039	0.35604165468039817	0.356997548137389	0.2	0.3685446009389671	0.408983451536643	0.21875	0.3897074568585464	0.4308510638297872	0.27881196761045257	146.0	166.0	86.0	60.0	73.0	14.0
subimage_E4	5751	0.3542074363992172	0.35509138381201044	0.19949172027177142	0.36363636363636365	0.40594059405940597	0.22772277227722773	0.38930369049609037	0.4214659685863874	0.28429423459244535	152.0	167.0	92.0	54.0	72.0	15.0
subimage_D4	11122	0.33903133903133903	0.385	0.17886606760804452	0.3495702005730659	0.43636363636363634	0.21597633136094674	0.36024844720496896	0.4634146341463415	0.2655886016134988	116.0	146.0	73.0	44.0	73.0	29.0
subimage_C4	8751	0.3509933774834437	0.39036935601080386	0.18259648265754763	0.36504424778761063	0.41944444444444445	0.21390374331550802	0.375	0.44857142857142857	0.257201646090535	148.0	170.0	88.0	61.0	85.0	22.0
subimage_B4	16897	0.34121621621621623	0.3969049306238142	0.1884498480243161	0.35218508997429304	0.44054054054054054	0.20711974110032363	0.36363636363636365	0.4550935281140505	0.25346920231063796	123.0	153.0	73.0	50.0	80.0	30.0
subimage_A4	12761	0.3423180592991914	0.39255014326647564	0.1909722222222222	0.35142118863049093	0.43167701863354035	0.2169811320754717	0.363914373088685	0.45098039215686275	0.25925925925925924	126.0	150.0	77.0	44.0	71.0	27.0
subimage_H5	5713	0.34513274336283184	0.3867403314917127	0.18742063492063493	0.35362997658079626	0.4239766081871345	0.2236842105263158	0.36809815950920244	0.4482758620689655	0.262199258081611	119.0	142.0	75.0	44.0	68.0	24.0
subimage_G5	9166	0.3411764705882353	0.3825	0.17294819326798005	0.34844192634560905	0.4297994269340974	0.2225609756097561	0.3601190476190476	0.4728682170542636	0.2688422266892046	117.0	144.0	75.0	42.0	70.0	28.0
subimage_F5	4639	0.35584253880169947	0.35010271483202177	0.223997476340694	0.36555891238670696	0.3769968051118211	0.2571428571428571	0.3834355828220859	0.4036458333333333	0.28733074442515116	124.0	127.0	86.0	36.0	39.0	4.0
subimage_E5	2928	0.35384615384615387	0.363008611382046	0.20113884275992316	0.3668947958516304	0.3934385513332882	0.2422360248447205	0.3890316636606916	0.4156056789558049	0.27335889766461585	124.0	134.0	82.0	40.0	50.0	9.0
subimage_D5	10587	0.3384615384615385	0.3918360980622431	0.18627450980392157	0.3492537313432836	0.4294294294294294	0.22096317280453256	0.3602013850920357	0.4574367407208537	0.2611525111350022	120.0	149.0	77.0	44.0	72.0	28.0
subimage_C5	15159	0.3413173652694611	0.3979565469598692	0.19148328267477205	0.3485254691689008	0.4412811387900356	0.209366391184573	0.35942028985507246	0.4554140127388535	0.25510204081632654	118.0	149.0	70.0	46.0	77.0	31.0
subimage_B5	11206	0.34210526315789475	0.39054726368159204	0.19586088118416714	0.35	0.430939226519337	0.21798365122615804	0.3659942363112392	0.44654088050314467	0.2608449176772158	124.0	152.0	77.0	46.0	75.0	28.0
subimage_A5	10402	0.34545454545454546	0.39552342743108965	0.1688333189988819	0.3530730539162149	0.43553507782314826	0.21212121212121213	0.36823104693140796	0.4657534246575342	0.25203252032520324	116.0	143.0	70.0	47.0	75.0	27.0
subimage_H6	3484	0.352	0.3524229074889868	0.21515892420537897	0.3620689655172414	0.394012089591689	0.24069478908188585	0.38369304556354916	0.42077422886519417	0.2909842943832082	151.0	163.0	99.0	48.0	62.0	12.0
subimage_G6	4580	0.3451086956521739	0.36601635827299545	0.21142857142857144	0.35745147443075775	0.40544660514172715	0.23795180722891565	0.3803680981595092	0.4264705882352941	0.2716904570047197	126.0	142.0	81.0	42.0	56.0	18.0
