subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	3952	0.3384615384615385	0.35496957403651114	0.21449756994614474	0.3514376996805112	0.41420118343195267	0.23893805309734514	0.3713355918553145	0.42989087075450194	0.28087649402390436	117.0	139.0	78.0	38.0	57.0	22.0
subimage_G1	3546	0.34421364985163205	0.3813622944978877	0.20187439513065178	0.3525835866261398	0.4	0.24804177545691905	0.38034649615484317	0.42329545454545453	0.267515923566879	123.0	142.0	85.0	36.0	55.0	16.0
subimage_F1	1850	0.3554151346564768	0.3416305188175375	0.26850705301653893	0.3625530965502454	0.34615384615384615	0.291867388164214	0.38223938223938225	0.3510436432637571	0.30127041742286753	199.0	190.0	160.0	40.0	30.0	-10.0
subimage_E1	4899	0.34411764705882353	0.3537200205727898	0.22005013927576603	0.36056338028169016	0.39851485148514854	0.2398753894080997	0.3871866295264624	0.4212218649517685	0.28405485544848025	135.0	148.0	90.0	44.0	59.0	14.0
subimage_D1	4949	0.33819241982507287	0.36363636363636365	0.20527859237536658	0.3569553805774278	0.4056338028169014	0.2389937106918239	0.38591549295774646	0.4288250211327132	0.27415495643500454	122.0	139.0	80.0	40.0	55.0	17.0
subimage_C1	2678	0.3482142857142857	0.34925159963436925	0.20119853581392041	0.3581291048261794	0.4161849710982659	0.22608695652173913	0.38047296221307186	0.439873417721519	0.2854516993135778	122.0	144.0	78.0	46.0	64.0	20.0
subimage_B1	3995	0.3537957880386037	0.35992098541452816	0.18528610354223432	0.3641304347826087	0.4005602240896359	0.23380281690140844	0.39195979899497485	0.42558662613981757	0.2794629409148939	137.0	151.0	85.0	49.0	63.0	11.0
subimage_A1	8919	0.34	0.39315819315819317	0.19335146022155086	0.3474320241691843	0.434640522875817	0.21791044776119403	0.3592233009708738	0.4536741214057508	0.2625029832935561	112.0	142.0	70.0	42.0	70.0	28.0
subimage_H2	3786	0.35236345876157305	0.3609977899700618	0.20865139949109415	0.3646260720157599	0.3780487804878049	0.2596912929656955	0.3800900077011937	0.4172778402699662	0.27514792899408286	127.0	135.0	88.0	36.0	41.0	5.0
subimage_G2	4246	0.34375	0.35575547418705594	0.19931271477663232	0.3531468531468531	0.42382271468144045	0.22378612888527905	0.37703067757095804	0.44518272425249167	0.27875494071146245	117.0	139.0	74.0	42.0	64.0	23.0
subimage_F2	2305	0.35340314136125656	0.3644904637038033	0.20134242376195763	0.36175710594315247	0.3941018766756032	0.2440318302387268	0.3824981810863945	0.4230769230769231	0.27679886253998875	138.0	151.0	92.0	44.0	57.0	11.0
subimage_E2	5349	0.3411371237458194	0.3800190023752969	0.20147613580449403	0.3515151515151515	0.4221556886227545	0.22580645161290322	0.36819137541159197	0.4433840141662087	0.2672784132993169	116.0	139.0	74.0	40.0	63.0	23.0
subimage_D2	5558	0.34831460674157305	0.36075378605311886	0.1786743515850144	0.36553524804177545	0.41644562334217505	0.22193211488250653	0.3819628647214854	0.4479803468208093	0.274	138.0	160.0	83.0	54.0	72.0	21.0
subimage_C2	7351	0.3385093167701863	0.36555431961438634	0.19596541786743515	0.34806629834254144	0.4298245614035088	0.2210242587601078	0.3696682464454976	0.45	0.2746478873239437	121.0	148.0	77.0	43.0	72.0	28.0
subimage_B2	8690	0.3374233128834356	0.3907983505800373	0.16964000969499052	0.34951456310679613	0.4411764705882353	0.20795107033639143	0.36923076923076925	0.4676258992805755	0.26372335236565	110.0	139.0	66.0	44.0	73.0	28.0
subimage_A2	5720	0.33755274261603374	0.3906211131840796	0.18584070796460178	0.35012626503571675	0.43407476767605385	0.21410885779600042	0.3662664139704887	0.46273352819388625	0.2632851162982514	120.0	148.0	73.0	45.0	73.0	28.0
