subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	3610	0.34838709677419355	0.3678241022519781	0.21150055141990626	0.35714285714285715	0.3898305084745763	0.2535211267605634	0.3776638828797102	0.4194212879062462	0.2738872008621921	107.0	117.0	76.0	31.0	41.0	10.0
subimage_G1	5491	0.35522388059701493	0.3560871600187217	0.20066889632107024	0.36627906976744184	0.39274924471299094	0.24242424242424243	0.3818833932166246	0.4222222222222222	0.28396457226466465	124.0	133.0	82.0	42.0	51.0	9.0
subimage_F1	4902	0.3562091503267974	0.35034053064381204	0.24080633742645802	0.3663983132068238	0.36826347305389223	0.2647058823529412	0.39012277845611176	0.38278565410118326	0.28454676013826	115.0	116.0	83.0	32.0	33.0	0.0
subimage_E1	10994	0.3459404462602137	0.34545454545454546	0.19005847953216373	0.3558823529411765	0.4308176100628931	0.21341463414634146	0.37681159420289856	0.44837758112094395	0.2822966507177033	121.0	146.0	71.0	47.0	72.0	25.0
subimage_D1	6162	0.34844407245257103	0.3470483005366726	0.18900343642611683	0.36666666666666664	0.38664728682170546	0.2388451443569554	0.39331184393744645	0.4452054794520548	0.2908704883227176	133.0	140.0	86.0	48.0	53.0	6.0
subimage_C1	3291	0.3482758620689655	0.35294117647058826	0.24149502429993058	0.35855263157894735	0.3746130030959752	0.26421404682274247	0.36973310450940944	0.40418118466898956	0.28734401116466257	108.0	114.0	81.0	29.0	34.0	4.0
subimage_B1	4895	0.3381294964028777	0.3543855646477859	0.22572178477690288	0.3713527851458886	0.38436482084690554	0.24507042253521127	0.3878116343490305	0.4036363636363636	0.2850036855036855	140.0	143.0	88.0	47.0	50.0	4.0
subimage_A1	11630	0.346031746031746	0.36704460245636716	0.17624521072796934	0.35611510791366907	0.43260188087774293	0.21176470588235294	0.375	0.4574468085106383	0.27427184466019416	116.0	141.0	69.0	46.0	71.0	25.0
subimage_H2	4711	0.3578305658721674	0.35626265182186234	0.20935960591133004	0.3769633507853403	0.38734177215189874	0.23136246786632392	0.3963963963963964	0.4093778526337443	0.28169014084507044	150.0	159.0	89.0	58.0	63.0	2.0
subimage_G2	13345	0.35	0.37389380530973454	0.16905444126074498	0.35987261146496813	0.4397590361445783	0.1962864721485411	0.3838120104438642	0.4612794612794613	0.2711437082621277	124.0	150.0	68.0	54.0	82.0	26.0
subimage_F2	21478	0.34332425068119893	0.39325403792134833	0.1756224398361495	0.3525835866261398	0.444794952681388	0.20241691842900303	0.37012987012987014	0.46153846153846156	0.2570694087403599	115.0	145.0	66.0	48.0	78.0	30.0
subimage_E2	12897	0.3386649627263046	0.39095744680851063	0.1806020066889632	0.35	0.4370860927152318	0.2147239263803681	0.36593288529236956	0.45985401459854014	0.2600896860986547	111.0	139.0	67.0	43.0	70.0	27.0
subimage_D2	4707	0.3556701030927835	0.3426086956521739	0.257272768573765	0.37521222410865873	0.347682119205298	0.27732463295269166	0.38939185581854363	0.35435992578849723	0.3008849557522124	222.0	205.0	164.0	59.0	42.0	-16.0
subimage_C2	9234	0.3463687150837989	0.35764705882352943	0.19858156028368795	0.35877862595419846	0.4108761329305136	0.22965116279069767	0.38784883051042746	0.4312267657992565	0.28536585365853656	115.0	132.0	74.0	42.0	58.0	16.0
subimage_B2	18264	0.34065934065934067	0.39111206777793084	0.1821705426356589	0.3525835866261398	0.4444444444444444	0.20186335403726707	0.3674911660777385	0.4605678233438486	0.25994169130277284	115.0	145.0	66.0	48.0	77.0	30.0
subimage_A2	9530	0.33984375	0.4011960800136285	0.1746031746031746	0.3492063492063492	0.43137254901960786	0.21863799283154123	0.35947712418300654	0.47380046501796647	0.24682220597790758	104.0	128.0	65.0	38.0	63.0	24.0
subimage_H3	4575	0.3511705685618729	0.34375	0.189873417721519	0.3651685393258427	0.3489583333333333	0.2766323024054983	0.3805309734513274	0.45394736842105265	0.2973856209150327	213.0	198.0	157.0	51.0	41.0	-11.0
subimage_G3	27084	0.33980582524271846	0.39952153110047844	0.1875	0.3558823529411765	0.4394366197183099	0.20461095100864554	0.3682784276097353	0.4553846153846154	0.2525	123.0	152.0	70.0	53.0	80.0	30.0
subimage_F3	30846	0.33962264150943394	0.38686131386861317	0.17692307692307693	0.3515151515151515	0.43788819875776397	0.21036585365853658	0.3689839572192513	0.4652014652014652	0.2658536585365854	118.0	147.0	70.0	46.0	75.0	29.0
subimage_E3	9432	0.3425925925925926	0.38817480719794345	0.18339928057553956	0.35185185185185186	0.4368766360714404	0.2127659574468085	0.3642064055535834	0.4589827501835086	0.2583732057416268	109.0	135.0	66.0	43.0	69.0	26.0
subimage_D3	6019	0.3539420306003069	0.3492030696576151	0.20916905444126074	0.3660130718954248	0.3890577507598784	0.24431818181818182	0.3887156637489186	0.42218149907082375	0.2900387388133907	125.0	131.0	81.0	41.0	47.0	8.0
subimage_C3	13023	0.34394904458598724	0.3863689589099425	0.16083916083916083	0.3546099290780142	0.44224422442244227	0.20333333333333334	0.3715170278637771	0.47330960854092524	0.26375894747454376	117.0	146.0	67.0	49.0	77.0	29.0
subimage_B3	18902	0.3438485804416404	0.39512488980311494	0.18694362017804153	0.3558282208588957	0.44	0.20257234726688103	0.3699731903485255	0.4563953488372093	0.25517005734035036	127.0	156.0	72.0	53.0	82.0	29.0
subimage_A3	17453	0.34055727554179566	0.3863414092020449	0.189873417721519	0.35403726708074534	0.43575418994413406	0.21052631578947367	0.37197286352331466	0.452558742693454	0.2646354589259989	121.0	151.0	71.0	50.0	76.0	28.0
subimage_H4	9457	0.34394904458598724	0.3876963488311006	0.157503388999452	0.354014598540146	0.4382716049382716	0.2085889570552147	0.36879432624113473	0.47862405828297033	0.262150897247111	115.0	143.0	68.0	47.0	74.0	27.0
subimage_G4	11800	0.345565749235474	0.38297661263086796	0.15789473684210525	0.3575949367088608	0.4437869822485207	0.19756838905775076	0.3745019920318725	0.4721189591078067	0.26450116009280744	121.0	149.0	66.0	52.0	81.0	29.0
subimage_F4	17234	0.34210526315789475	0.3879093198992443	0.18098159509202455	0.3522012578616352	0.4456824512534819	0.20224719101123595	0.36462093862815886	0.4634920634920635	0.2613065326633166	119.0	150.0	68.0	49.0	79.0	30.0
subimage_E4	25924	0.3438485804416404	0.3901345291479821	0.18495297805642633	0.3543956043956044	0.4463768115942029	0.19881305637982197	0.3689839572192513	0.45871559633027525	0.25952380952380955	124.0	156.0	69.0	53.0	85.0	32.0
subimage_D4	14592	0.3421721900866064	0.40106316933105696	0.1660589873046745	0.350603682829657	0.45084745762711864	0.19935691318327975	0.36329588014981273	0.4734982332155477	0.25	105.0	136.0	60.0	45.0	75.0	30.0
subimage_C4	36138	0.3416149068322981	0.39887400364928455	0.18452380952380953	0.35522388059701493	0.4447852760736196	0.20052426890941072	0.3688760806916426	0.45808383233532934	0.252608278508772	123.0	154.0	69.0	53.0	84.0	31.0
subimage_B4	13255	0.345565749235474	0.3926238000420896	0.1518987341772152	0.3543956043956044	0.44272445820433437	0.2028169014084507	0.3671875	0.48770491803278687	0.25460779604140993	113.0	141.0	65.0	48.0	76.0	28.0
subimage_A4	16152	0.3426791277258567	0.3734347871836692	0.1557377049180328	0.35374149659863946	0.44072948328267475	0.20760739796434569	0.3741258741258741	0.48161764705882354	0.2695852534562212	111.0	139.0	65.0	45.0	72.0	28.0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	8778	0.34697616115411684	0.39550635076765167	0.17712177121771217	0.35517241379310344	0.43909348441926344	0.20535714285714285	0.3674268851303735	0.46236559139784944	0.2512729807211804	116.0	144.0	67.0	48.0	76.0	27.0
subimage_F5	14501	0.34332425068119893	0.3855421686746988	0.1553030303030303	0.35294117647058826	0.4452296819787986	0.2014388489208633	0.3694029850746269	0.4826254826254826	0.26515151515151514	110.0	139.0	62.0	46.0	75.0	28.0
subimage_E5	9698	0.3438248496884947	0.3926555751524158	0.1709090909090909	0.3522388059701492	0.44126984126984126	0.2080536912751678	0.3643410852713178	0.468503937007874	0.2547071137390282	106.0	133.0	63.0	43.0	70.0	27.0
subimage_D5	22172	0.3421828908554572	0.3878116343490305	0.15309446254071662	0.3542713567839196	0.4457831325301205	0.20068027210884354	0.3733828939301042	0.4792332268370607	0.2602558177917148	114.0	143.0	65.0	48.0	75.0	28.0
subimage_C5	10317	0.34615384615384615	0.38847117794486213	0.16116913389640664	0.3564356435643564	0.4426751592356688	0.2012987012987013	0.3674911660777385	0.47410358565737054	0.25742574257425743	110.0	137.0	62.0	48.0	74.0	26.0
subimage_B5	32274	0.3435754189944134	0.4009433962264151	0.17755824190708383	0.3553459119496855	0.4513888888888889	0.19218241042345277	0.3662420382165605	0.46601941747572817	0.24932249322493225	119.0	150.0	64.0	53.0	85.0	32.0
subimage_A5	11821	0.3436619718309859	0.3674832962138085	0.16981132075471697	0.3551912568306011	0.43636363636363634	0.209366391184573	0.3742690058479532	0.46296296296296297	0.2762557077625571	126.0	153.0	73.0	50.0	79.0	28.0
subimage_H6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G6	9423	0.34615384615384615	0.3925302872966424	0.15663549721273154	0.3541666666666667	0.44375	0.20202020202020202	0.36666666666666664	0.4776974997623348	0.25879176584677777	114.0	143.0	65.0	48.0	76.0	28.0
subimage_F6	16722	0.34	0.3938714979988565	0.18548387096774194	0.35294117647058826	0.44273627490369394	0.20388349514563106	0.36749849397590356	0.4579710144927536	0.25672046034442947	125.0	156.0	71.0	51.0	81.0	31.0
subimage_E6	13416	0.3473053892215569	0.3798076923076923	0.1417910447761194	0.3563636363636364	0.4536741214057508	0.18944099378881987	0.3732876712328767	0.4957627118644068	0.26506024096385544	111.0	141.0	59.0	50.0	80.0	29.0
subimage_D6	29289	0.3408360128617363	0.4054794520547945	0.18181818181818182	0.3565459610027855	0.44808743169398907	0.1962025316455696	0.36507936507936506	0.4592833876221498	0.24632275399794862	125.0	157.0	68.0	56.0	87.0	32.0
subimage_C6	23677	0.34375	0.40405864514216655	0.18282548476454294	0.35428571428571426	0.44623655913978494	0.19889502762430938	0.36533333333333334	0.4595375722543353	0.24760073260073262	125.0	157.0	69.0	53.0	85.0	32.0
subimage_B6	33744	0.3394174877551409	0.3946731234866828	0.1834862385321101	0.35435435435435436	0.44574780058651026	0.19834710743801653	0.36533333333333334	0.4608150470219436	0.25707456225445025	123.0	154.0	69.0	53.0	85.0	31.0
subimage_A6	27868	0.3401360544217687	0.39758130081300813	0.1836734693877551	0.35795454545454547	0.4450704225352113	0.1968503937007874	0.36666666666666664	0.4567901234567901	0.2546001683501682	129.0	161.0	71.0	59.0	90.0	31.0
subimage_H7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E7	8	0.35443594427951586	0.33596021070658244	0.29859805416242763	0.3570864260008997	0.3415248217772525	0.3013267543859649	0.3593023984342601	0.34230924414955616	0.3094373570631144	213.0	202.5	178.5	33.5	23.5	-9.5
subimage_D7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E8	2	0.3545135888053252	0.3326754224665796	0.311023665483699	0.3547638968059872	0.3333187760881158	0.31191732710589704	0.35501420480664914	0.3339621297096519	0.31281098872809515	165.5	155.5	145.5	20.0	10.0	-10.0
subimage_D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C8	31	0.3544804979002387	0.3369774011299435	0.2818214038309732	0.358695652173913	0.3392539964476021	0.30256410256410254	0.3751510318495964	0.3431085884646256	0.30775792666997226	203.0	194.0	171.0	33.0	21.0	-12.0
subimage_B8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
