subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G1	3967	0.34206150768846105	0.39142583073025555	0.1945288753799392	0.35103244837758113	0.42902208201892744	0.21951219512195122	0.36335403726708076	0.45016559213463314	0.26210477129951715	118.0	145.0	73.0	44.0	70.0	26.0
subimage_F1	568	0.35551330798479086	0.34409884413181663	0.2664233576642336	0.3663099053724054	0.3500931098696462	0.2841429233964471	0.37979212635001747	0.3547794117647059	0.2990596846846847	203.0	193.0	155.0	45.0	35.0	-9.0
subimage_E1	982	0.35779902900879423	0.34607665111125646	0.26448184314037976	0.3727598566308244	0.3513011152416357	0.27617328519855594	0.3808630393996248	0.35520967395967395	0.29566614430835636	200.0	189.0	148.0	52.0	40.0	-11.0
subimage_D1	6348	0.34024098308330675	0.3961491248911064	0.18354430379746836	0.34967320261437906	0.44648318042813456	0.20353982300884957	0.3595166163141994	0.461038961038961	0.2602089573527314	114.0	144.0	65.0	46.0	77.0	30.0
subimage_C1	5547	0.34055727554179566	0.3955773955773956	0.1864951768488746	0.34935897435897434	0.4444444444444444	0.205607476635514	0.35714285714285715	0.46006389776357826	0.2597315975570556	112.0	143.0	66.0	46.0	75.0	30.0
subimage_B1	6035	0.33791891163793103	0.3954659949622166	0.18412698412698414	0.35018050541516244	0.4444444444444444	0.20606060606060606	0.3582554517133956	0.46078431372549017	0.26101632022452964	113.0	144.0	66.0	46.0	75.0	30.0
subimage_A1	755	0.3298133631952221	0.3780208333333333	0.23677161654135337	0.34035087719298246	0.3931034482758621	0.26666666666666666	0.36782225525589296	0.40847401644157366	0.2857142857142857	96.0	111.0	75.0	21.0	35.0	15.0
subimage_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G2	1491	0.3392857142857143	0.389339010081449	0.20748299319727892	0.3476923076923077	0.41194029850746267	0.2404692082111437	0.36943044739654907	0.42857142857142855	0.2664832049353222	116.0	138.0	81.0	36.0	58.0	21.0
subimage_F2	1898	0.3430209547769528	0.38082781012692196	0.20474030629518253	0.34984009236837	0.42649177826750295	0.22443181818181818	0.36335403726708076	0.44155844155844154	0.26507393209200436	119.0	145.0	76.0	42.0	68.0	26.0
subimage_E2	1161	0.3492957746478873	0.3753351206434316	0.21246458923512748	0.358974358974359	0.40057636887608067	0.23964497041420119	0.38699690402476783	0.411214953271028	0.26575342465753427	124.0	137.0	82.0	41.0	55.0	14.0
subimage_D2	6205	0.34218154170078374	0.39619210002841715	0.18497109826589594	0.35294117647058826	0.4417989417989418	0.20424403183023873	0.3610374725560972	0.45794392523364486	0.2572918544461899	123.0	153.0	71.0	51.0	82.0	30.0
subimage_C2	5111	0.3398193471617492	0.3899760765550239	0.1891025641025641	0.35	0.4369230769230769	0.21405750798722045	0.3584905660377358	0.4559748427672956	0.2640987597960892	118.0	148.0	71.0	46.0	74.0	29.0
subimage_B2	2712	0.3380104650247856	0.3920146638901704	0.1948314553093965	0.3476190476190476	0.4323529411764706	0.220757503366199	0.35964912280701755	0.44887198573871984	0.26453488372093026	114.0	142.0	73.0	42.0	70.0	28.0
subimage_A2	1697	0.3368646572104019	0.3770287523619835	0.2179930795847751	0.34890965732087226	0.4006849315068493	0.24890829694323144	0.37307246152656404	0.42857142857142855	0.27092301186316187	103.0	121.0	72.0	30.0	43.0	16.0
subimage_H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G3	4163	0.34124629080118696	0.3841413031534996	0.18597560975609756	0.3518930957683742	0.4367816091954023	0.21122994652406418	0.36555891238670696	0.4582043343653251	0.26883631231216615	119.0	148.0	70.0	46.0	75.0	29.0
subimage_F3	1237	0.35555555555555557	0.34862019810665595	0.2303171658273699	0.367816091954023	0.3775280898876405	0.25495049504950495	0.38427523446931006	0.39481268011527376	0.28905236513209936	129.0	134.0	87.0	41.0	44.0	3.0
subimage_E3	825	0.3547794117647059	0.34299681785955716	0.24807253649635036	0.37456445993031356	0.3492063492063492	0.27652173913043476	0.3977373445522519	0.35551330798479086	0.30047941273466794	210.0	195.0	153.0	54.0	40.0	-14.0
subimage_D3	2980	0.34233832046332047	0.3949742689318443	0.1974921630094044	0.3502994011976048	0.43452380952380953	0.21447721179624665	0.35632342668444783	0.45104895104895104	0.260277305602773	120.0	148.0	74.0	46.0	75.0	29.0
subimage_C3	1902	0.3419364108268446	0.39092817911569366	0.1865697918856422	0.35	0.43613707165109034	0.2129032258064516	0.35832943925233646	0.4624483639929864	0.26086372136512387	113.0	139.0	68.5	43.0	71.0	28.0
subimage_B3	2516	0.3448275862068966	0.38825994084784754	0.1942818190472305	0.3580404786713397	0.4201954397394137	0.22346683354192742	0.3753351206434316	0.4385026737967914	0.2602976453506723	125.0	144.0	77.0	45.0	66.0	22.0
subimage_A3	4797	0.3410469158356804	0.3945453410722087	0.1834671915177296	0.35185185185185186	0.4469914040114613	0.20113314447592068	0.35946299240416885	0.461038961038961	0.25948493683187557	118.0	149.0	67.0	49.0	79.0	31.0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	2116	0.3527585022735885	0.35039861792509275	0.1978319783197832	0.361432425934336	0.42337662337662335	0.215	0.375	0.43924647909813813	0.28970458465364407	141.0	162.0	83.0	56.0	81.0	24.0
subimage_F4	2170	0.3412782743119103	0.38868362808203066	0.16491255961844198	0.352592371347752	0.4362017804154303	0.21316201946873453	0.37834271221367993	0.4619883040935672	0.26224019607843135	123.0	151.0	72.0	47.0	76.0	29.0
subimage_E4	1754	0.34174437522320544	0.3627209334438001	0.21224242424242423	0.35540692180486655	0.3954983922829582	0.24918563319008968	0.38797832944726374	0.42507645259938837	0.2754718865474883	115.0	130.0	81.0	35.0	47.0	14.0
subimage_D4	2487	0.34316507177033495	0.3887640449438202	0.19020172910662825	0.3546666666666667	0.42857142857142855	0.2154255319148936	0.37525659824046914	0.44837758112094395	0.26555674901539555	127.0	154.0	76.0	50.0	76.0	27.0
subimage_C4	2208	0.34734110458342626	0.37909179592234904	0.195906432748538	0.3608100984067479	0.41030061892130854	0.22580645161290322	0.3821656050955414	0.43768115942028984	0.26789164986515146	122.0	138.0	73.0	47.0	57.0	16.0
subimage_B4	876	0.33755003845319553	0.35259378864916857	0.21302258892186948	0.3509044350005448	0.3993610223642173	0.2507663607473306	0.37777777777777777	0.42820450097847357	0.28500994576582395	107.0	123.0	77.0	31.0	45.0	15.0
subimage_A4	4799	0.34210526315789475	0.39501765352781154	0.18152866242038215	0.35064935064935066	0.4423676012461059	0.20658682634730538	0.36	0.46308724832214765	0.2578947368421053	117.0	147.0	68.0	47.0	75.0	30.0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	1409	0.35622549019607846	0.34200462114572544	0.2608695652173913	0.36619718309859156	0.3463338533541342	0.28728414442700156	0.391304347826087	0.349305353152628	0.3003077097334441	232.0	220.0	182.0	49.0	36.0	-12.0
subimage_F5	3141	0.34293948126801155	0.3822843822843823	0.18867924528301888	0.3546511627906977	0.4298780487804878	0.215625	0.37037037037037035	0.4525316455696203	0.26683291770573564	118.0	143.0	71.0	46.0	70.0	25.0
subimage_E5	1688	0.3495421895966533	0.3534798534798535	0.19830079794813338	0.36227916375685354	0.4198377995095577	0.21859194306773416	0.38438814942035204	0.4381916757279207	0.27705898002619517	140.0	163.0	85.0	56.0	78.0	22.0
subimage_D5	3857	0.34705882352941175	0.3922902494331066	0.16325113378684805	0.3617021276595745	0.43137254901960786	0.20783132530120482	0.375366568914956	0.4653589887290616	0.25620245878047776	130.0	155.0	75.0	56.0	82.0	25.0
subimage_C5	3832	0.3440514469453376	0.3923842707814833	0.17786476868327403	0.3541666666666667	0.4444444444444444	0.2016348773841962	0.36817649859166107	0.460431654676259	0.2602739726027397	120.0	150.0	68.0	51.0	79.0	30.0
subimage_B5	4555	0.34054054054054056	0.39410366587785944	0.17822795935182642	0.3544973544973545	0.4467455621301775	0.1994535519125683	0.36594969045173137	0.4681835832299926	0.25129010605450397	123.0	155.0	69.0	52.0	82.0	32.0
subimage_A5	3573	0.3408360128617363	0.39693082552923586	0.20344827586206896	0.34797297297297297	0.4306784660766962	0.22151898734177214	0.35478464588214087	0.4463087248322148	0.256651909441025	118.0	145.0	75.0	43.0	71.0	28.0
subimage_H6	269	0.35313531353135313	0.34438185265587645	0.2348711569219833	0.35874439461883406	0.3569023569023569	0.28	0.41069130975653095	0.36845543345543347	0.2979383818024763	109.0	111.0	85.0	24.0	23.0	-1.0
subimage_G6	2165	0.34662576687116564	0.38255084515954085	0.19743916380859056	0.358600583090379	0.42136498516320475	0.22185430463576158	0.3816748723971273	0.4342105263157895	0.26510507144858503	125.0	143.0	76.0	45.0	66.0	22.0
subimage_F6	1002	0.3463695564380427	0.36119715558333987	0.21840374025206047	0.3595166163141994	0.39553400626806134	0.24605678233438485	0.39534424119863953	0.4142857142857143	0.2711772541454228	117.0	129.0	80.0	37.0	48.0	13.0
subimage_E6	2913	0.3468021629684878	0.36254980079681276	0.17605143881100452	0.35693215339233036	0.4293193717277487	0.215633423180593	0.3837883939376477	0.45652173913043476	0.27233256608256606	132.0	160.0	79.0	53.0	79.0	27.0
subimage_D6	6577	0.3456344910772276	0.39850120261593813	0.18075801749271136	0.35501355013550134	0.44623655913978494	0.19633507853403143	0.3644117211049068	0.46129231998402076	0.25317103175887856	125.0	157.0	69.0	54.0	86.0	32.0
subimage_C6	4586	0.34707553229576904	0.3937553282182438	0.17857142857142858	0.35945945945945945	0.4444444444444444	0.19518716577540107	0.3687274435160923	0.45938375350140054	0.25638091885231473	131.0	162.0	70.0	60.0	90.0	31.0
subimage_B6	2849	0.34536764103823797	0.392599486521181	0.1927388009467353	0.3535031847133758	0.4358974358974359	0.21008403361344538	0.3617021276595745	0.4514019505398816	0.25934374037177776	121.0	149.0	72.0	49.0	77.0	28.0
subimage_A6	2113	0.3425076452599388	0.3849417052956876	0.1907514450867052	0.35714285714285715	0.41924398625429554	0.22483221476510068	0.37146049481245014	0.4454022988505747	0.2643834015195792	120.0	140.0	72.0	43.0	61.0	21.0
subimage_H7	3541	0.34124629080118696	0.39364303178484106	0.18873239436619718	0.35517241379310344	0.4394904458598726	0.20689655172413793	0.3641456582633053	0.45104895104895104	0.2590909090909091	127.0	156.0	73.0	51.0	78.0	30.0
subimage_G7	2893	0.34446291504647364	0.3935045948203843	0.19480519480519481	0.3531073446327684	0.4339080459770115	0.21264367816091953	0.3616711423259657	0.4506578947368421	0.25734695485463666	123.0	151.0	74.0	48.0	77.0	28.0
subimage_F7	2804	0.3380281690140845	0.39799589151647063	0.16817545602311723	0.35081967213114756	0.4375	0.2118380062305296	0.36197183590259163	0.47923349056603776	0.25075315287992517	111.0	140.0	68.0	44.0	73.0	28.0
subimage_E7	2632	0.3430232558139535	0.3930424126897678	0.1943523821128305	0.35135135135135137	0.4334321472737	0.21559693113772455	0.3611111111111111	0.4494167070965466	0.26039665025745484	120.0	147.0	73.0	46.0	73.0	28.0
subimage_D7	3987	0.34597171717171715	0.39089972082808916	0.17765042979942694	0.36141304347826086	0.4357682619647355	0.20118343195266272	0.37390530254160753	0.45652173913043476	0.26005020165270604	133.0	161.0	73.0	59.0	82.0	27.0
subimage_C7	2438	0.3362754905732974	0.37962171068762934	0.2089041095890411	0.3494318181818182	0.415451523215971	0.23099003376987068	0.3775730436059316	0.4406779661016949	0.2692606616181746	115.0	139.0	77.0	39.0	62.0	22.0
subimage_B7	2113	0.33842435510109226	0.3793103448275862	0.2	0.34967320261437906	0.4052044609665427	0.2440677966101695	0.38566304830825876	0.43651611648597405	0.2727272727272727	106.0	124.0	75.0	33.0	48.0	17.0
subimage_A7	2795	0.3406490384615385	0.39233345601766656	0.20134228187919462	0.3476923076923077	0.43243243243243246	0.22012578616352202	0.35933792372881357	0.445993031358885	0.2560680751173708	112.0	139.0	71.0	41.0	68.0	27.0
