subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4030	0.34146341463414637	0.39432112261288593	0.18512437810945273	0.35733702677747	0.44141689373297005	0.20125786163522014	0.36615384615384616	0.45425867507886436	0.25860293537441803	124.0	152.0	69.0	53.0	81.0	29.0
subimage_G1	2298	0.3515151515151515	0.37104072398190047	0.21512216089278882	0.3673751268463187	0.393570532221156	0.2370696437888739	0.3898678414096916	0.4084635863964274	0.2650594183343359	132.0	142.0	88.0	45.0	57.0	8.0
subimage_F1	1622	0.33762057877813506	0.38873239436619716	0.22028268341827664	0.3443708609271523	0.4174757281553398	0.23711340206185566	0.3515358361774744	0.4377224199288256	0.268798172994576	106.0	128.0	73.0	33.0	55.0	22.0
subimage_E1	2401	0.33707865168539325	0.38337801608579086	0.20152091254752852	0.34674922600619196	0.43465045592705165	0.21981424148606812	0.35648148148148145	0.4485294117647059	0.27817745803357313	107.0	133.0	68.0	39.0	66.0	27.0
subimage_D1	3104	0.3388751893053386	0.3902532354405177	0.1971401888030693	0.3470031545741325	0.43243243243243246	0.22093023255813954	0.3538394062078273	0.4532797291578502	0.26525198938992045	113.0	141.0	72.0	41.0	69.0	28.0
subimage_C1	1947	0.3333333333333333	0.3868885448916409	0.21292775665399238	0.34256055363321797	0.4236111111111111	0.2328767123287671	0.35526315789473684	0.44302131912058623	0.2685582306830907	100.0	124.0	68.0	31.0	54.0	24.0
subimage_B1	2645	0.3435374149659864	0.36785652447303907	0.20170454545454544	0.36772486772486773	0.4033898305084746	0.234375	0.38809352670077374	0.4230769230769231	0.26884422110552764	126.0	135.0	75.0	46.0	53.0	13.0
subimage_A1	2071	0.3410500325383762	0.11808287437713087	0.21966990876226544	0.3505747126436782	0.39372822299651566	0.2571428571428571	0.39323184094349806	0.42244224422442245	0.4936546184738956	108.0	122.0	79.0	29.0	42.0	13.0
subimage_H2	5891	0.34251819044606135	0.3930939850154502	0.18210862619808307	0.3525641025641026	0.44370860927152317	0.2037037037037037	0.3605015673981191	0.4605678233438486	0.26049162179842	118.0	148.0	68.0	49.0	79.0	30.0
subimage_G2	2998	0.3436619718309859	0.39164906103286384	0.1938168498168498	0.35398230088495575	0.43015229203336647	0.21508379888268156	0.36441048574393436	0.4504792332268371	0.25925925925925924	121.0	147.0	73.0	47.0	73.0	26.0
subimage_F2	2063	0.35407936396256945	0.35200408163265307	0.21340247900934833	0.36716417910447763	0.38127090301003347	0.25205479452054796	0.3893111197786074	0.4041078372981116	0.28893374640191244	129.0	130.0	87.0	39.0	43.0	4.0
subimage_E2	3192	0.3446060291060291	0.3822134623237114	0.20214878254858282	0.3547297297297297	0.4106523475213655	0.23529411764705882	0.37625272696761203	0.4326923076923077	0.2647058823529412	112.0	130.0	73.0	37.0	54.0	18.0
subimage_D2	3994	0.3394029129564437	0.3992439878662789	0.17982456140350878	0.34915254237288135	0.434375	0.215625	0.35542168674698793	0.4721030042918455	0.254699924832852	113.0	139.0	70.0	43.0	70.0	27.0
subimage_C2	1582	0.34339966737397487	0.36393498382959744	0.2226291628649635	0.35526315789473684	0.39144736842105265	0.2528980166175288	0.3782840909090909	0.41992214543378714	0.2775890641430073	108.0	120.0	77.0	32.0	42.0	12.0
subimage_B2	1685	0.33780168127994215	0.38623647248445775	0.19493635276742388	0.3465346534653465	0.4186046511627907	0.236	0.36087866725637624	0.4538332255979315	0.266154768492898	100.0	120.0	68.0	31.0	52.0	20.0
subimage_A2	2344	0.33022664265912144	0.3872859895403248	0.18672925714839272	0.34274193548387094	0.41056117113977	0.24745762711864408	0.36050753568220384	0.46120689655172414	0.27578022697512	98.0	118.0	71.0	28.0	47.0	20.0
subimage_H3	2523	0.33798071846852334	0.394205060214341	0.19463343408986117	0.3465346534653465	0.44025157232704404	0.2126984126984127	0.3542674185976906	0.45724907063197023	0.26395234066553863	110.0	140.0	68.0	42.0	72.0	29.0
subimage_G3	2514	0.3433682096808286	0.39677123236327366	0.17687074829931973	0.3547400611620795	0.43465045592705165	0.21176470588235294	0.3678571428571429	0.45647250416603546	0.2566496880675985	119.0	146.0	71.0	49.0	76.0	27.0
subimage_F3	3592	0.3441655228240594	0.3891879099830645	0.17192982456140352	0.35443037974683544	0.4267515923566879	0.22151898734177214	0.3713355048859935	0.46179401993355484	0.2590471931169605	117.0	141.0	71.0	43.0	66.0	24.0
subimage_E3	2567	0.34825019400900203	0.35492837221095336	0.20056497175141244	0.35714285714285715	0.4180327868852459	0.225201072386059	0.38160684343649637	0.439282406668157	0.2755016211208893	131.0	154.0	81.0	49.0	70.0	23.0
subimage_D3	3250	0.34177215189873417	0.3894217631938494	0.1952752375829299	0.35	0.4342857142857143	0.21551724137931033	0.35618426284020677	0.45222929936305734	0.2667517401392111	121.0	150.0	74.0	46.0	75.0	29.0
subimage_C3	2125	0.34205525690711336	0.3919678391959799	0.20125786163522014	0.34967320261437906	0.43450479233226835	0.215625	0.3614457831325301	0.44481605351170567	0.26028196234750045	110.0	137.0	68.0	42.0	69.0	27.0
subimage_B3	2763	0.34471095753927034	0.36807817589576547	0.20245398773006135	0.36335403726708076	0.403030303030303	0.23529411764705882	0.3817010619596889	0.42474916387959866	0.27066784608580274	120.0	134.0	77.0	43.0	55.0	15.0
subimage_A3	1475	0.33558639517688543	0.386980249080189	0.20471648258732758	0.3492063492063492	0.4230769230769231	0.23148148148148148	0.35957182858965725	0.44358854334279274	0.26854222040482517	108.0	129.0	72.0	36.0	59.0	23.0
subimage_H4	4000	0.33854004917184266	0.3880173820281124	0.2	0.3476967285587975	0.43066770019163275	0.22168942765075955	0.3612046492109312	0.4475557775557775	0.26470966278542263	111.0	138.0	70.0	40.0	66.0	27.0
subimage_G4	2807	0.3482849604221636	0.3934332534406282	0.19620066801441505	0.35674157303370785	0.43626062322946174	0.20679886685552407	0.3621621621621622	0.4457377461248429	0.2576917752465543	127.0	156.0	74.0	53.0	82.0	28.0
subimage_F4	1565	0.341344612286002	0.37804258241758243	0.18843507539159712	0.3547400611620795	0.4264264264264264	0.2197452229299363	0.37373038341896475	0.44925635542884296	0.26660209846650523	114.0	137.0	71.0	43.0	65.0	23.0
subimage_E4	2711	0.349414704271632	0.36864224137931034	0.18507462686567164	0.358600583090379	0.41739130434782606	0.22418879056047197	0.37438399728109145	0.44545454545454544	0.27039294843185785	122.0	143.0	76.0	46.0	65.0	20.0
subimage_D4	4727	0.3458647377206738	0.39326005961251864	0.18548387096774194	0.35958005249343833	0.43731778425655976	0.20234604105571846	0.36790123456790125	0.4537037037037037	0.25789443289443287	140.0	169.0	78.0	59.0	88.0	30.0
subimage_C4	2117	0.3485342019543974	0.3587516814635459	0.20795107033639143	0.36024844720496896	0.38338658146964855	0.25357142857142856	0.38567528035104826	0.4227603210596408	0.2786885245901639	114.0	121.0	79.0	35.0	40.0	8.0
subimage_B4	1872	0.3407817599898596	0.3723541282575116	0.19803778598742627	0.3515604252933482	0.4247787610619469	0.22570532915360503	0.3757950445851201	0.4473684210526316	0.26628514147489407	116.0	141.0	75.0	41.0	65.0	23.0
subimage_A4	2955	0.3451272802226116	0.3647971195125329	0.19879518072289157	0.36085626911314983	0.3992673992673993	0.2423469387755102	0.3871262785208497	0.42735042735042733	0.27327886893104286	116.0	125.0	75.0	38.0	47.0	13.0
subimage_H5	4265	0.34069400630914826	0.39191737763807816	0.1794190305818213	0.35135135135135137	0.437125748502994	0.2119205298013245	0.3673150510204081	0.4612546125461255	0.26072880705792095	114.0	142.0	69.0	45.0	72.0	28.0
subimage_G5	2926	0.34523809523809523	0.373085140053806	0.1974921630094044	0.35276073619631904	0.43843843843843844	0.2087227414330218	0.3611733001658375	0.44871794871794873	0.27615799499884186	116.0	145.0	69.0	47.0	76.0	28.0
subimage_F5	3796	0.3465833934583935	0.3817406772804074	0.16216216216216217	0.3601190476190476	0.41812865497076024	0.22254335260115607	0.38125	0.46012728840204875	0.2607543895467538	124.0	146.0	76.0	47.0	66.0	21.0
subimage_E5	2529	0.3484631518044406	0.37897310513447435	0.19883040935672514	0.35911602209944754	0.41210374639769454	0.22905027932960895	0.384375	0.4289663150524377	0.26430297313710543	127.0	146.0	80.0	45.0	64.0	19.0
subimage_D5	1531	0.35372500655623834	0.35086073532800105	0.21249932459031579	0.3698630136986301	0.3722943722943723	0.25595238095238093	0.3849768624487747	0.4301994301994302	0.2872008681043744	167.0	166.0	114.0	52.0	52.0	-1.0
subimage_C5	2780	0.3460410557184751	0.39233025039476654	0.20116452894391265	0.35391923990498814	0.4331395348837209	0.21301775147928995	0.36188104513204866	0.44375	0.2588844544654376	123.0	151.0	75.0	48.0	76.0	27.0
subimage_B5	1988	0.3396825396825397	0.393064774408058	0.19622641509433963	0.3474025974025974	0.4375	0.21568627450980393	0.3564559452790705	0.4507042253521127	0.26217831752534715	107.0	136.0	67.0	41.0	69.0	28.0
subimage_A5	2076	0.3415196998123827	0.3788379388599653	0.17034700315457413	0.36036036036036034	0.42290570426294516	0.21974926481968737	0.38938742315220687	0.45153958944281525	0.26836360565712913	126.0	146.0	75.0	48.0	69.0	21.0
subimage_H6	4243	0.34062843406593407	0.385187074829932	0.1556420233463035	0.3515850144092219	0.43788819875776397	0.21159420289855072	0.3647772966285184	0.48659003831417624	0.26683873218508136	114.0	142.0	69.0	46.0	74.0	28.0
subimage_G6	2528	0.351010101010101	0.3853904282115869	0.19325153374233128	0.36153846153846153	0.41483516483516486	0.22341874891298047	0.3778838530655391	0.44072948328267475	0.2610458969121711	133.0	154.0	81.0	51.0	70.0	20.0
subimage_F6	2760	0.34757682892011255	0.38620689655172413	0.18151758669017587	0.35816618911174786	0.43342776203966005	0.20899738595159795	0.38194660110420975	0.44410876132930516	0.2615402421652422	125.0	151.0	72.0	52.0	78.0	26.0
subimage_E6	3325	0.3505925394548063	0.34501069529084083	0.18734894259818732	0.35942028985507246	0.41509433962264153	0.22674418604651161	0.3791848098954767	0.44066737288135593	0.29318181818181815	128.0	147.0	80.0	46.0	65.0	20.0
subimage_D6	3385	0.349862258953168	0.37417352906074713	0.20113314447592068	0.3609467455621302	0.41642228739002934	0.22318840579710145	0.3796940418679549	0.4268292682926829	0.26759924627127846	129.0	148.0	79.0	48.0	68.0	19.0
