subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2807	0.34210526315789475	0.3944868176498933	0.20906873614190688	0.3492537313432836	0.42378048780487804	0.22701149425287356	0.35843373493975905	0.43790849673202614	0.25826648553886783	118.0	142.0	76.0	41.0	66.0	25.0
subimage_G1	1916	0.34442148760330576	0.3783783783783784	0.19755900784269578	0.3582089552238806	0.40555555555555556	0.23582089552238805	0.3831119871402327	0.4243539093230281	0.2676333592103804	127.0	143.0	82.0	43.0	59.0	17.0
subimage_F1	1387	0.3394495412844037	0.3860103626943005	0.2171601813772013	0.3483483483483483	0.41194029850746267	0.24096385542168675	0.36017964314351203	0.425654633872627	0.2675565018015067	114.0	135.0	79.0	35.0	56.0	21.0
subimage_E1	892	0.35028204577199956	0.3615875116333178	0.19145805926801523	0.3629807692307692	0.39383770591824285	0.245862514182871	0.3762135922330097	0.43766207031540016	0.27931405000068293	152.0	165.0	102.0	48.0	62.0	13.0
subimage_D1	3127	0.34001511335012596	0.3919089130048034	0.19850187265917604	0.3487544483985765	0.42901234567901236	0.22153846153846155	0.35602212269680483	0.45161290322580644	0.2666117216117216	114.0	140.0	72.0	41.0	68.0	26.0
subimage_C1	2771	0.3387845885037798	0.3965998844153342	0.20477954884414618	0.348780487804878	0.430635838150289	0.22054380664652568	0.35646687697160884	0.44299674267100975	0.2588370491383176	117.0	144.0	74.0	43.0	70.0	27.0
subimage_B1	3267	0.3421828908554572	0.38689839572192514	0.18896847278830017	0.35119047619047616	0.43023255813953487	0.21764705882352942	0.3722344900105153	0.4509463901167403	0.2632429804302905	123.0	150.0	75.0	46.0	73.0	27.0
subimage_A1	3683	0.3413897280966767	0.34844800510379353	0.1919191919191919	0.3482758620689655	0.4276923076923077	0.22492401215805471	0.36363636363636365	0.4507042253521127	0.2877647355799571	113.0	139.0	73.0	40.0	65.0	26.0
subimage_H2	4234	0.34173669467787116	0.38586289949050484	0.2036648924373475	0.34946236559139787	0.4227405247813411	0.228125	0.3575757575757576	0.44404332129963897	0.26585623756539684	120.0	145.0	79.0	42.0	67.0	25.0
subimage_G2	1940	0.35	0.3538175046554935	0.1931102785163699	0.3694690265486726	0.4090909090909091	0.23204419889502761	0.3857493857493858	0.42786069651741293	0.2802554911313587	149.0	164.0	89.0	53.0	67.0	16.0
subimage_F2	1692	0.348717504970911	0.3474973291369503	0.21160070353196608	0.35696512023768995	0.4149396038996873	0.22965116279069767	0.37695058102413487	0.43110875024145257	0.28812972972972967	129.0	149.0	82.0	46.0	66.0	21.0
subimage_E2	713	0.3546207630338957	0.34169179229480734	0.2783236500341763	0.36084452975047987	0.34507042253521125	0.29365079365079366	0.37252293378548756	0.3522057189147003	0.30246497274967027	201.0	191.0	162.0	36.0	28.0	-9.0
subimage_D2	4758	0.3438395415472779	0.3836838457622649	0.17586206896551723	0.3551519574377928	0.4309859154929577	0.2111111111111111	0.3698630136986301	0.4620938628158845	0.2660332541567696	124.0	150.0	74.0	48.0	75.0	26.0
subimage_C2	3987	0.3426183844011142	0.3814978656938367	0.17652941176470588	0.34971098265895956	0.4281767955801105	0.2222222222222222	0.36558165221063577	0.46545454545454545	0.2707317073170732	118.0	144.0	75.0	42.0	69.0	27.0
subimage_B2	1298	0.35019800554415526	0.37870776666824624	0.1930936565447435	0.3681710213776722	0.41032608695652173	0.22060586824657918	0.3803191489361702	0.43081564913060383	0.26879271070615035	148.0	164.0	87.0	58.0	74.0	16.0
subimage_A2	2677	0.3433735712681899	0.38407154736449106	0.18342376282221903	0.35260115606936415	0.4297752808988764	0.21791044776119403	0.3682949889694295	0.45087404453306745	0.269549712733139	122.0	149.0	76.0	46.0	72.0	26.0
subimage_H3	6155	0.3441081593927894	0.3918483313760031	0.18677122282232378	0.3516819571865443	0.4397590361445783	0.2082018927444795	0.3613295699959373	0.4570552147239264	0.2592852197992384	120.0	150.0	70.0	47.0	75.0	29.0
