subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	3823	0.33815028901734107	0.3867035897994176	0.21034594353308783	0.3467048710601719	0.4169278996865204	0.23615160349854228	0.36656797201346525	0.4359861591695502	0.26489658489658474	117.0	141.0	79.0	37.0	61.0	24.0
subimage_G1	5103	0.336986301369863	0.38388966806919117	0.2059800664451827	0.3469945355191257	0.42105263157894735	0.23249299719887956	0.3669724770642202	0.44089456869009586	0.2674969879518072	119.0	144.0	80.0	40.0	65.0	26.0
subimage_F1	5042	0.3353846153846154	0.39109301308679767	0.21724137931034482	0.34448160535117056	0.41823899371069184	0.23809523809523808	0.3560606060606061	0.43197278911564624	0.2642846417846418	112.0	136.0	77.0	34.0	58.0	24.0
subimage_E1	6093	0.33860759493670883	0.3930024673381062	0.1989795918367347	0.34971098265895956	0.42433234421364985	0.22647058823529412	0.369620253164557	0.4387243819501884	0.2615803814713896	126.0	151.0	81.0	42.0	68.0	26.0
subimage_D1	3574	0.3391304347826087	0.35264019620840514	0.22663846928499495	0.3488372093023256	0.4084507042253521	0.24324324324324326	0.37094146656964994	0.4194528875379939	0.28172863855667835	118.0	139.0	82.0	36.0	56.0	20.0
subimage_C1	6304	0.3375796178343949	0.34060402684563756	0.209375	0.3465346534653465	0.42136498516320475	0.23249299719887956	0.36085404233841034	0.44135802469135804	0.3032258064516129	121.0	147.0	82.0	39.0	65.0	26.0
subimage_B1	5714	0.33817566974088714	0.38950276243093923	0.18705035971223022	0.3492063492063492	0.4281524926686217	0.22408963585434175	0.3621448803134849	0.458041958041958	0.2631578947368421	117.0	145.0	78.0	43.0	71.0	27.0
subimage_A1	3420	0.3342776203966006	0.3848164225594804	0.2297273421831726	0.34049079754601225	0.4107142857142857	0.24885964030945446	0.35611510791366907	0.42356687898089174	0.27225130890052357	114.0	137.0	83.0	31.0	54.0	23.0
subimage_H2	3885	0.3392857142857143	0.393574889403834	0.20448736566947429	0.34796238244514105	0.4297520661157025	0.2222222222222222	0.35714285714285715	0.4417023088386135	0.26027606229855077	124.0	153.0	79.0	45.0	74.0	29.0
subimage_G2	10543	0.3404255319148936	0.39767970401691327	0.19047619047619047	0.35412026726057905	0.44155844155844154	0.20364741641337386	0.36243386243386244	0.452991452991453	0.25585640278452315	129.0	160.0	73.0	54.0	86.0	31.0
subimage_F2	6815	0.33600870455709164	0.3905334803554785	0.18339100346020762	0.346031746031746	0.43823529411764706	0.21597633136094674	0.36016456631583144	0.46258503401360546	0.2657271802695143	111.0	140.0	69.0	42.0	72.0	30.0
subimage_E2	5191	0.3365695792880259	0.38624965520700116	0.2087460364159393	0.345565749235474	0.43130990415335463	0.22291021671826625	0.3561643835616438	0.4440789473684211	0.27222970949386044	113.0	141.0	73.0	40.0	67.0	28.0
subimage_D2	1310	0.35665529010238906	0.34183673469387754	0.24953445065176907	0.3837423839354673	0.34954112991496167	0.2660844139333842	0.39664804469273746	0.35514475557664926	0.3003362281620654	213.0	194.0	147.0	64.0	45.5	-19.0
subimage_C2	2484	0.33226988716787315	0.3812178999044086	0.23148594736215314	0.34169278996865204	0.407514450867052	0.25071225071225073	0.36358917898710286	0.41904761904761906	0.27370845813721295	114.0	136.5	83.0	31.0	52.0	22.0
subimage_B2	5134	0.330188679245283	0.34645153204164086	0.1981836990330889	0.3400673400673401	0.4281437125748503	0.23353293413173654	0.3656565656565657	0.4526065298875517	0.29221210478326226	112.0	141.0	77.0	35.0	64.0	29.0
subimage_A2	6805	0.3354632587859425	0.3900787156106305	0.19939577039274925	0.3458904109589041	0.43312101910828027	0.22118380062305296	0.35924412400114525	0.45121951219512196	0.26381307014689753	115.0	145.0	73.0	42.0	71.0	29.0
subimage_H3	10238	0.3435754189944134	0.3921910858799372	0.1850828729281768	0.35772357723577236	0.4424552429667519	0.2	0.3657289002557545	0.45321637426900585	0.25613297965516374	132.0	163.0	74.0	58.0	89.0	31.0
subimage_G3	10753	0.34097421203438394	0.3847980997624703	0.17198980891719745	0.3562231759656652	0.43636363636363634	0.20725388601036268	0.3693467336683417	0.46710526315789475	0.265625	121.0	150.0	71.0	50.0	78.0	27.0
subimage_F3	8332	0.3417321604900953	0.39948863114528255	0.19202898550724637	0.347953216374269	0.4369747899159664	0.21468926553672316	0.3567251461988304	0.45733788395904434	0.2512304331998544	120.0	151.0	74.0	45.0	76.0	30.0
subimage_E3	9892	0.3400543703133734	0.39213639051908467	0.1834862385321101	0.3496039459109244	0.4411764705882353	0.2078117665467063	0.36312849162011174	0.4627831715210356	0.2576832151300236	122.0	153.0	71.0	49.0	79.0	31.0
subimage_D3	3766	0.348253348731739	0.3728813559322034	0.20526315789473684	0.36152219873150104	0.4104040987464168	0.22633269656620952	0.38345864661654133	0.43680529240874066	0.26741573033707866	155.0	175.0	98.0	58.0	79.0	22.0
subimage_C3	2709	0.3573250393017835	0.3426314986109839	0.24035113330024427	0.384	0.3517857142857143	0.26128266033254155	0.4019122732512285	0.3702770780856423	0.2989513357720874	207.0	188.0	138.0	64.0	47.0	-17.0
subimage_B3	5858	0.3388223684210526	0.38482384823848237	0.18211920529801323	0.3504043126684636	0.43440233236151604	0.21508379888268156	0.36827195467422097	0.4597315436241611	0.2614213197969543	121.0	149.0	74.0	47.0	76.0	29.0
subimage_A3	4932	0.3460187831768069	0.3946731234866828	0.19642857142857142	0.35597826086956524	0.42280285035629456	0.21978021978021978	0.3755600804424334	0.43615611381697	0.2539454001495886	131.0	156.0	81.0	50.0	75.0	24.0
subimage_H4	6585	0.3428708461801987	0.3934888081565686	0.19736842105263158	0.35014005602240894	0.4402332361516035	0.20943952802359883	0.3628571428571429	0.44984802431610943	0.25159011000192166	118.0	149.0	71.0	47.0	78.0	30.0
subimage_G4	5385	0.33548387096774196	0.3950361539964823	0.2006390039783151	0.34579439252336447	0.42485549132947975	0.22935779816513763	0.3646991788168259	0.4481707317073171	0.2598781084567819	115.0	141.0	76.0	39.0	65.0	27.0
subimage_F4	8904	0.3396303322395406	0.39304511923142904	0.18895348837209303	0.3505747126436782	0.44021739130434784	0.20994475138121546	0.3624311991761656	0.4552804039535884	0.26029923038064956	125.0	156.0	73.0	49.0	80.0	31.0
subimage_E4	7496	0.341206279809221	0.392018779342723	0.17762522861207072	0.35106382978723405	0.4403409090909091	0.20810810810810812	0.3609271523178808	0.4716312056737589	0.2569444444444444	122.0	152.0	72.0	49.0	80.0	31.0
