subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4641	0.3289902280130293	0.3944954128440367	0.2196969696969697	0.3362573099415205	0.4194528875379939	0.24545454545454545	0.3441295546558704	0.43902439024390244	0.271356783919598	104.0	130.0	76.0	28.0	53.0	25.0
subimage_G1	4467	0.3323353293413174	0.39468771929824564	0.21194029850746268	0.34294871794871795	0.4266666666666667	0.23100303951367782	0.351123595505618	0.44193548387096776	0.2645240281603918	116.0	145.0	78.0	38.0	67.0	29.0
subimage_F1	9856	0.3424242424242424	0.39169546850998466	0.19346049046321526	0.3569620253164557	0.4365079365079365	0.2066326530612245	0.3631578947368421	0.44686648501362397	0.2606303293644877	132.0	161.0	76.0	55.0	84.0	29.0
subimage_E1	6387	0.3402985074626866	0.3917840560321083	0.1895424836601307	0.3492063492063492	0.42813455657492355	0.2225705329153605	0.35785953177257523	0.45751633986928103	0.2637276561558546	119.0	145.0	77.0	44.0	71.0	27.0
subimage_D1	6194	0.33616533675311105	0.38733484723369116	0.2082873291272345	0.3483483483483483	0.42060052433229556	0.23123123123123124	0.3582554517133956	0.4411764705882353	0.2657353476519839	115.0	140.0	76.0	38.0	62.0	24.0
subimage_C1	10789	0.33811712807404504	0.3952254641909814	0.19220055710306408	0.35276073619631904	0.43922651933701656	0.20679886685552407	0.36141304347826086	0.45161290322580644	0.26107915073432314	123.0	151.0	72.0	49.0	79.0	29.0
subimage_B1	7307	0.3384615384615385	0.3948074403982185	0.20150989239847275	0.35079726651480636	0.4339622641509434	0.21543408360128619	0.35944770857814334	0.4444444444444444	0.26167497941988277	125.0	153.0	75.0	46.0	73.0	29.0
subimage_A1	3820	0.3298245614035088	0.30285656213705	0.210727969348659	0.3394495412844037	0.41839762611275966	0.24346377306903622	0.3757394172622318	0.4430379746835443	0.3016468911156765	105.0	130.0	76.0	30.0	54.0	25.0
subimage_H2	5489	0.33246753246753247	0.3927080373932925	0.20646683794842516	0.34139784946236557	0.41883116883116883	0.24169184290030213	0.3568904593639576	0.4402017177527381	0.26728980088687937	118.0	146.0	82.0	35.0	61.0	27.0
subimage_G2	13080	0.34065934065934067	0.39598913390859697	0.19289340101522842	0.357487922705314	0.4364508393285372	0.20597510784945702	0.3657957244655582	0.45150594317160614	0.25415676959619954	139.0	170.0	80.0	58.0	87.0	30.0
subimage_F2	2593	0.3415350987810004	0.37965260545905705	0.22254524177707194	0.3524804177545692	0.39751552795031053	0.25	0.37859913370259135	0.4083144656481288	0.27138549892318736	125.0	140.0	88.0	35.0	51.0	16.0
subimage_E2	12085	0.3389902786310578	0.39852049478535045	0.19230769230769232	0.34810126582278483	0.4365781710914454	0.21621621621621623	0.35816618911174786	0.45535714285714285	0.2560386473429952	121.0	152.0	74.0	45.0	74.0	30.0
subimage_D2	9945	0.3419089476739365	0.3948185148185148	0.19047619047619047	0.35127478753541075	0.4404432132963989	0.2077562326869806	0.36	0.45375722543352603	0.25784429196607056	125.0	157.0	73.0	50.0	81.0	31.0
subimage_C2	11582	0.3400581220465947	0.3972602739726027	0.19197707736389685	0.35103244837758113	0.4410958904109589	0.20689655172413793	0.3601190476190476	0.45321637426900585	0.2563481326068459	123.0	155.0	72.0	49.0	80.0	31.0
subimage_B2	9939	0.3384615384615385	0.393397406596579	0.18731021915311946	0.34576271186440677	0.4362017804154303	0.2184873949579832	0.35733333333333334	0.460431654676259	0.2616309193878781	115.0	147.0	71.0	42.0	72.0	29.0
subimage_A2	5108	0.3359315550672445	0.3894827462729324	0.20723684210526316	0.3448275862068966	0.4314868804664723	0.2235294117647059	0.35264019620840514	0.4461292065452299	0.2679188055332219	116.0	146.0	76.0	40.0	70.0	29.0
subimage_H3	5355	0.3343465045592705	0.39311232768473187	0.2129032258064516	0.34177215189873417	0.43	0.22865853658536586	0.34986073834000103	0.4420518688024409	0.26216216216216215	109.0	137.0	73.0	35.0	64.0	28.0
subimage_G3	14777	0.3395638629283489	0.396938695207366	0.1895424836601307	0.35106382978723405	0.444743935309973	0.20273972602739726	0.36	0.4570446735395189	0.2577677505966587	123.0	155.0	71.0	51.0	84.0	32.0
