subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	347	0.3212974595941313	0.34815714499925027	0.27096009442217295	0.3292307692307692	0.37943262411347517	0.2907488986784141	0.37382368283776735	0.3837911231224988	0.29831505483549353	98.0	112.0	86.0	12.0	26.0	15.0
subimage_G1	6811	0.3230769230769231	0.38858695652173914	0.22602626517610291	0.34421364985163205	0.41637010676156583	0.2410958904109589	0.35658914728682173	0.4273972602739726	0.27214152313758044	123.0	147.0	85.0	37.0	60.0	26.0
subimage_F1	4632	0.3274647887323944	0.36417418819379604	0.24487086870146288	0.34154387865655467	0.3933333333333333	0.2670228397791632	0.36363636363636365	0.4090909090909091	0.2857142857142857	107.0	123.0	82.0	25.0	39.0	17.0
subimage_E1	5064	0.32653061224489793	0.38596491228070173	0.2413793103448276	0.33554817275747506	0.40955631399317405	0.25396825396825395	0.35365853658536583	0.4186046511627907	0.277639290846838	108.0	131.0	81.0	26.0	50.0	23.0
subimage_D1	4711	0.32939430965264443	0.37833874930649125	0.23547893854197494	0.34076433121019106	0.4078549848942598	0.253125	0.35755375900566466	0.4205607476635514	0.2792626558045558	113.0	136.0	83.0	30.0	51.0	23.0
subimage_C1	3262	0.32706766917293234	0.36	0.2571428571428571	0.34074074074074073	0.38833283288292797	0.2698961937716263	0.3651452282157676	0.402875155705824	0.2881944444444444	98.0	112.0	78.0	20.0	34.0	14.0
subimage_B1	1397	0.32388818012936726	0.35164126196384266	0.26492537313432835	0.3333333333333333	0.38620689655172413	0.27697841726618705	0.36420331239291837	0.4034729064039409	0.2916874480465503	94.0	109.0	78.0	16.0	31.0	16.0
subimage_A1	8393	0.32081911262798635	0.3795868571783048	0.23477200424178155	0.331306990881459	0.41533546325878595	0.25089605734767023	0.35931816717148934	0.43478260869565216	0.28050217050155907	107.0	134.0	80.0	27.0	53.0	28.0
subimage_H2	5473	0.32459016393442625	0.38235294117647056	0.24489795918367346	0.3322784810126582	0.40923076923076923	0.2578616352201258	0.3524199951669141	0.42207792207792205	0.2779291553133515	108.0	133.0	83.0	24.0	49.0	25.0
subimage_G2	6296	0.3224600709849157	0.3983889360940924	0.21691176470588236	0.3304093567251462	0.4260459204933744	0.24375	0.347953216374269	0.4490566037735849	0.26370757180156656	107.0	138.0	79.0	28.0	59.0	31.0
subimage_F2	2012	0.33221476510067116	0.36027899166078275	0.25369647273200574	0.33993399339933994	0.3859107666131014	0.2719033232628399	0.3722225266338424	0.3963963963963964	0.2849148998324134	110.0	125.0	88.0	22.0	36.0	15.0
subimage_E2	5511	0.3263157894736842	0.38287153652392947	0.2457625170935751	0.3371104815864023	0.4	0.2627986348122867	0.3557006641946131	0.41155234657039713	0.2803738317757009	110.0	130.0	85.0	25.0	45.0	20.0
subimage_D2	5833	0.32371794871794873	0.3882978723404255	0.2257142857142857	0.3370165745856354	0.41761363636363635	0.2440944881889764	0.35617884121878046	0.43343653250773995	0.2753063407181054	118.0	146.0	84.0	32.0	60.0	28.0
