subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	8617	0.3265165860158496	0.3901693942004019	0.2141057934508816	0.33762886597938147	0.42857142857142855	0.23443223443223443	0.35279187817258884	0.4478786230898907	0.2702313836034766	112.0	142.0	76.0	32.0	61.0	29.0
subimage_G1	6564	0.3245297953900533	0.3856749311294766	0.21923651929465882	0.3369714115544967	0.4224137931034483	0.2409972299168975	0.3552952043432363	0.4424360140140675	0.27296587926509186	111.0	138.0	79.0	31.0	60.0	28.0
subimage_F1	8522	0.3191489361702128	0.3949387318652101	0.22635135135135134	0.3299319727891156	0.4262020024205083	0.24390243902439024	0.344311377245509	0.4426751592356688	0.2734795520862649	104.0	135.0	76.0	27.0	57.0	30.0
subimage_E1	10560	0.3269230769230769	0.3859275053304904	0.21306818181818182	0.3401360544217687	0.4266666666666667	0.23591549295774647	0.3554987212276215	0.44376899696048633	0.2682926829268293	111.0	139.0	77.0	33.0	60.0	28.0
subimage_D1	5048	0.3242320819112628	0.38095238095238093	0.22291021671826625	0.3344262295081967	0.42201834862385323	0.242575265069976	0.356803523405807	0.4397163120567376	0.2768103435559292	109.0	138.0	78.0	29.0	57.0	28.0
subimage_C1	5719	0.32558139534883723	0.37980506515342577	0.2287390029325513	0.3333333333333333	0.42356687898089174	0.24381625441696114	0.352365141097926	0.4358974358974359	0.2860938842821638	110.0	138.0	80.0	29.0	57.0	29.0
subimage_B1	7197	0.3270440251572327	0.38613861386138615	0.21655471501239076	0.3380281690140845	0.4258064516129032	0.23684210526315788	0.35342938119981104	0.4402730375426621	0.27440633245382584	111.0	139.0	78.0	32.0	60.0	28.0
subimage_A1	13463	0.3166023166023166	0.39779306607253073	0.2222222222222222	0.3295774647887324	0.43521594684385384	0.23529411764705882	0.3413173652694611	0.445859872611465	0.2712224176527023	104.0	136.0	73.0	29.0	62.0	32.0
subimage_H2	14259	0.3210702341137124	0.3966263262599469	0.21645886421550783	0.329153605015674	0.43478260869565216	0.23588039867109634	0.3456496954298185	0.4492753623188406	0.2692307692307692	106.0	139.0	76.0	29.0	62.0	33.0
subimage_G2	7223	0.3288135593220339	0.38666666666666666	0.21630094043887146	0.33793103448275863	0.43174603174603177	0.23013698630136986	0.35513753186066266	0.4460431654676259	0.26719013846673423	104.0	134.0	71.0	33.0	62.0	29.0
subimage_F2	8800	0.3238993710691824	0.3939393939393939	0.2247173232826056	0.3333333333333333	0.4273255813953488	0.23839009287925697	0.34838709677419355	0.44200626959247646	0.26750162337662337	111.0	142.0	78.0	31.0	62.0	31.0
subimage_E2	5419	0.3258426966292135	0.3925729442970822	0.22535211267605634	0.33236994219653176	0.4277456647398844	0.23964497041420119	0.3431091663742941	0.4428620860108749	0.27058823529411763	112.0	144.0	81.0	31.0	63.0	32.0
subimage_D2	16607	0.3188405797101449	0.39718704751875744	0.22189349112426035	0.328042328042328	0.4339622641509434	0.23776223776223776	0.34324324324324323	0.4472843450479233	0.2701069518716577	106.0	140.0	76.0	28.0	62.0	33.0
subimage_C2	6854	0.32673267326732675	0.3892755397456035	0.2280130293159609	0.335243553008596	0.41444404931247036	0.24850299401197604	0.3553459119496855	0.43534625206549493	0.26840763098831355	109.0	135.0	80.0	28.0	54.0	26.0
subimage_B2	7052	0.3254523288139278	0.38639627343935434	0.2211993769470405	0.33827893175074186	0.4227129337539432	0.23941905798883073	0.35583539160226274	0.43730886850152906	0.2739670013453585	118.0	147.0	83.0	34.0	62.0	29.0
subimage_A2	9457	0.32519756666098126	0.38863980284491334	0.2178988326848249	0.3333333333333333	0.43322475570032576	0.23333333333333334	0.35547695592787654	0.449401810489924	0.2725045045045045	105.0	137.0	73.0	31.0	61.0	30.0
subimage_H3	9311	0.32735954093867764	0.38221688034188034	0.2097902097902098	0.3353115727002967	0.428125	0.23708206686930092	0.3559870550161812	0.45075757575757575	0.2735136247171258	109.0	139.0	77.0	32.0	62.0	30.0
subimage_G3	8271	0.3235294117647059	0.38516746411483255	0.211864406779661	0.33171912832929784	0.4268292682926829	0.24269005847953215	0.3492063492063492	0.45454545454545453	0.27205882352941174	106.0	137.0	77.0	29.0	58.0	30.0
subimage_F3	1256	0.3255216629499841	0.3443129964509042	0.26975385983348155	0.35587188612099646	0.3559322033898305	0.284375	0.3744493392070485	0.39015461997019374	0.29891200973865406	110.0	120.0	89.0	24.0	28.0	-1.0
subimage_E3	6828	0.32625994694960214	0.3953488372093023	0.2193180531975099	0.3391812865497076	0.4227405247813411	0.2369146005509642	0.3546511627906977	0.43834059775840595	0.2689679040196882	122.0	152.0	85.0	36.0	67.0	30.0
subimage_D3	7986	0.32948805008529736	0.39704035712783664	0.2175226586102719	0.33618233618233617	0.42735042735042733	0.23646723646723647	0.34980880572006834	0.4406779661016949	0.2619906135531136	117.0	149.0	82.0	34.0	66.0	32.0
subimage_C3	17078	0.32326283987915405	0.4	0.21725239616613418	0.3303834808259587	0.4358288770053476	0.2318840579710145	0.34948229291716687	0.44871794871794873	0.26649176968511845	111.0	146.0	78.0	32.0	68.0	35.0
subimage_B3	2390	0.34615384615384615	0.3500418994413408	0.23378269617706238	0.35687062937062936	0.39325842696629215	0.25210084033613445	0.37240571120689653	0.41359773371104813	0.28815904139433546	141.0	156.0	96.0	40.0	52.0	14.0
subimage_A3	9263	0.3272058823529412	0.3831818085489648	0.19375702247191012	0.33753943217665616	0.4272300469483568	0.23452768729641693	0.3643724696356275	0.45214142103865557	0.27618770764119605	114.0	142.0	78.0	33.0	62.0	29.0
subimage_H4	9364	0.32525951557093424	0.3813953488372093	0.20383093191515678	0.33440514469453375	0.4265927977839335	0.23927475898334793	0.35279187817258884	0.4558303886925795	0.2727272727272727	114.0	145.0	81.0	32.0	64.0	31.0
subimage_G4	4631	0.33423180592991913	0.3689075630252101	0.2088732163359029	0.3469387755102041	0.41968911917098445	0.2340909090909091	0.37333333333333335	0.44173441734417346	0.27081112295664533	129.0	157.0	87.0	42.0	69.0	27.0
subimage_F4	2258	0.3562091503267974	0.3409406050719264	0.26878239344008664	0.3688394276629571	0.345	0.2859504132231405	0.38488576449912126	0.34766355140186916	0.30151150347779565	224.0	209.0	174.0	51.0	36.0	-15.0
subimage_E4	6526	0.32423466749405316	0.3917455065427398	0.21686746987951808	0.33829369473109233	0.4245810055865922	0.2364217252396166	0.35391923990498814	0.4417910447761194	0.2714995269631031	121.0	152.0	84.0	36.0	67.0	30.0
subimage_D4	8634	0.32974910394265233	0.3966314273505626	0.20802599564604943	0.3380281690140845	0.43243243243243246	0.22847682119205298	0.3553921568627451	0.45054945054945056	0.2627551020408163	109.0	139.0	74.0	34.0	64.0	30.0
subimage_C4	8431	0.32974422143322946	0.38275444694699134	0.20804144417772988	0.33756345177664976	0.43103448275862066	0.23184357541899442	0.3568543205910697	0.44744744744744747	0.2762696631722321	120.0	153.0	82.0	37.0	70.0	33.0
subimage_B4	1380	0.3543913713405239	0.3413078149920255	0.27783680911779157	0.3580441640378549	0.3440514469453376	0.2981072555205047	0.3735291313963242	0.3495575221238938	0.3035439137134052	225.0	215.0	187.0	37.0	28.0	-9.0
subimage_A4	7161	0.32142857142857145	0.3923076923076923	0.21804511278195488	0.3303834808259587	0.4326923076923077	0.2367601246105919	0.3401360544217687	0.4524714828897338	0.2719033232628399	103.0	135.0	74.0	29.0	61.0	32.0
subimage_H5	12339	0.31985294117647056	0.3983717502010185	0.22295081967213115	0.33015873015873015	0.42765273311897106	0.24242424242424243	0.347128819010184	0.44336569579288027	0.2696629213483146	109.0	141.0	78.0	29.0	60.0	31.0
subimage_G5	2579	0.356663082437276	0.3421470342522974	0.26150415419003836	0.37681159420289856	0.346483704974271	0.2764084507042254	0.3898916967509025	0.35	0.3007205693950178	214.0	197.0	159.0	58.0	40.0	-17.0
subimage_F5	6527	0.3291139240506329	0.37278069033461175	0.20534239735760648	0.3375	0.42857142857142855	0.23492063492063492	0.35926773455377575	0.45123801188783136	0.2782895816242822	111.0	141.0	77.0	34.0	64.0	30.0
subimage_E5	17707	0.3222036595067621	0.4010989010989011	0.21875	0.33156498673740054	0.4340175953079179	0.23322683706070288	0.34770114942528735	0.45	0.2654370218587616	112.0	146.0	78.0	33.0	67.0	34.0
subimage_D5	10353	0.32941176470588235	0.3959478888530266	0.20958083832335328	0.3389423076923077	0.42896174863387976	0.23195876288659795	0.3539325842696629	0.44390136986301365	0.26370757180156656	122.0	153.0	84.0	38.0	70.0	32.0
subimage_C5	4475	0.34263323105637483	0.34545454545454546	0.21750663129973474	0.35800344234079173	0.3868131868131868	0.2562814070351759	0.37319883589010017	0.42777777777777776	0.29739130434782607	144.0	162.0	101.0	42.0	50.0	12.0
subimage_B5	4623	0.33604336043360433	0.35518209560617225	0.2076608691703374	0.34626865671641793	0.41823056300268097	0.2394736842105263	0.36660229622651097	0.4376731301939058	0.279383429672447	124.0	151.0	85.0	38.0	64.0	27.0
subimage_A5	10481	0.32786885245901637	0.3834296724470135	0.21902017291066284	0.3356401384083045	0.4263322884012539	0.23728813559322035	0.35834896810506567	0.4429530201342282	0.27525252525252525	114.0	145.0	80.0	33.0	63.0	30.0
subimage_H6	6793	0.32934131736526945	0.35217854252736486	0.22033898305084745	0.3389355742296919	0.4221105527638191	0.23978201634877383	0.38018433179723504	0.43952802359882004	0.288563994914703	126.0	157.0	88.0	37.0	68.0	31.0
subimage_G6	2253	0.3545516732250134	0.34217981913017376	0.24730014025245442	0.3762135922330097	0.3616557734204793	0.2589641434262948	0.3969298245614035	0.3886138613861386	0.29401408450704225	170.0	163.0	116.0	51.0	45.0	-7.0
subimage_F6	1459	0.3544695957233545	0.3418324182464864	0.2905982905982906	0.3583617747440273	0.3441226575809199	0.2976190476190476	0.36363636363636365	0.3472565435925663	0.3021346469622332	212.0	203.0	175.0	36.0	27.0	-9.0
subimage_E6	6673	0.329923273657289	0.3902439024390244	0.22598870056497175	0.3373860182370821	0.42021276595744683	0.24068767908309455	0.35714285714285715	0.43663490376219577	0.2681581949550006	121.0	152.0	85.0	35.0	64.0	30.0
subimage_D6	2961	0.3552	0.3418940609951846	0.28596187175043325	0.36106750392464676	0.34488188976377954	0.2938388625592417	0.36824324324324326	0.34683098591549294	0.3019169329073482	227.0	217.0	186.0	43.0	32.0	-10.0
