subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	12589	0.3295880149812734	0.39949748743718594	0.1967741935483871	0.3443708609271523	0.43973941368078173	0.2147239263803681	0.35691911946574323	0.4558303886925795	0.2638190954773869	107.0	137.0	67.0	40.0	69.0	30.0
subimage_G1	9466	0.33574007220216606	0.39806975567109926	0.19148936170212766	0.347967677709057	0.4438040345821326	0.20875420875420875	0.3590504451038576	0.4551971326164875	0.25958702064896755	114.0	144.0	67.0	43.0	73.0	30.0
subimage_F1	9369	0.3333333333333333	0.3973684210526316	0.19312063594371037	0.34502923976608185	0.44011976047904194	0.21710526315789475	0.35964912280701755	0.45544554455445546	0.2613952606911431	111.0	141.0	67.0	40.0	69.0	30.0
subimage_E1	7580	0.3343558282208589	0.3922077922077922	0.2027491408934708	0.34576271186440677	0.4339622641509434	0.22020004636836354	0.3649425287356322	0.44816104494656983	0.2625713142569239	109.0	136.0	68.0	39.0	66.0	27.0
subimage_D1	16528	0.336231884057971	0.40476190476190477	0.19169329073482427	0.3475609756097561	0.4447852760736196	0.20615384615384616	0.3588039867109635	0.4576271186440678	0.25408901585945426	112.0	142.0	66.0	44.0	75.0	31.0
subimage_C1	8586	0.3356643356643357	0.39264925931467903	0.19756838905775076	0.34527687296416937	0.43573667711598746	0.21983619875721847	0.3595505617977528	0.4503311258278146	0.26384364820846906	109.0	138.0	68.0	39.0	67.0	28.0
subimage_B1	10719	0.33687002652519893	0.392940657057525	0.19230769230769232	0.34551495016611294	0.4391891891891892	0.21498371335504887	0.3554006968641115	0.45864661654135336	0.266197240507877	109.0	140.0	67.0	41.0	71.0	30.0
subimage_A1	5053	0.3375188916876575	0.39659780952971746	0.19648093841642228	0.35	0.4406779661016949	0.20930232558139536	0.3560830860534125	0.45110410094637227	0.2595812319708	118.0	148.0	70.0	47.0	77.0	30.0
subimage_H2	9946	0.3350319221309331	0.40112218754738965	0.196875	0.34415584415584416	0.4386503067484663	0.21671826625386997	0.35777126099706746	0.45483870967741935	0.25729121063068167	111.0	141.0	69.0	40.0	70.0	30.0
subimage_G2	8148	0.3333333333333333	0.39243498817966904	0.19666666666666666	0.3448275862068966	0.43666666666666665	0.21846153846153846	0.3609111889515261	0.4542372881355932	0.2660474187713831	113.0	143.0	71.0	41.0	70.0	30.0
subimage_F2	3070	0.35543700905776676	0.3436426116838488	0.2703180212014134	0.3682402952690911	0.3471698113207547	0.28389054448376483	0.3799982854273572	0.35125448028673834	0.3	211.0	200.0	162.0	47.0	35.0	-11.0
subimage_E2	11921	0.33815028901734107	0.39863325740318906	0.1927710843373494	0.34726688102893893	0.4409937888198758	0.20977011494252873	0.36227544910179643	0.4565916398713826	0.25679012345679014	115.0	146.0	68.0	45.0	76.0	31.0
subimage_D2	12767	0.3345323741007194	0.40161725067385445	0.19197707736389685	0.3451086956521739	0.4448051948051948	0.21016949152542372	0.3586206896551724	0.45874587458745875	0.2554884896125772	111.0	142.0	66.0	43.0	74.0	31.0
subimage_C2	10407	0.3356530044030044	0.3956900737079048	0.18672029891718772	0.3442622950819672	0.44200626959247646	0.21348314606741572	0.3624161073825503	0.4585987261146497	0.2607449856733524	110.0	140.0	67.0	41.0	70.0	30.0
