subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4788	0.3218390804597701	0.38652482269503546	0.23809523809523808	0.3311036789297659	0.41329479768786126	0.2558922558922559	0.34469132817537074	0.4336283185840708	0.27906976744186046	102.0	128.0	80.0	23.0	48.0	25.0
subimage_G1	14766	0.3204225352112676	0.39495253164556965	0.22742474916387959	0.32831325301204817	0.4298507462686567	0.24092409240924093	0.3427074053852122	0.44193548387096776	0.27247191011235955	106.0	138.0	77.0	28.0	60.0	32.0
subimage_F1	6251	0.3227848101265823	0.3851851851851852	0.22970585426415815	0.33088235294117646	0.4222873900293255	0.24758842443729903	0.34626935248186896	0.4412811387900356	0.2702702702702703	105.0	135.0	79.0	27.0	56.0	29.0
subimage_E1	16044	0.3184931506849315	0.3962765957446808	0.22811795424403183	0.3293051359516616	0.4290322580645161	0.24290220820189273	0.34285714285714286	0.44047619047619047	0.2724458204334365	109.0	140.0	80.0	27.0	59.0	32.0
subimage_D1	20842	0.31802120141342755	0.3982808022922636	0.22611464968152867	0.33217993079584773	0.4315068493150685	0.23659305993690852	0.3458823529411765	0.44224422442244227	0.27102803738317754	112.0	144.0	79.0	32.0	65.0	33.0
subimage_C1	10468	0.3279742765273312	0.38739502214078486	0.20751182643684413	0.3365695792880259	0.42955326460481097	0.23381294964028776	0.3499604966139954	0.4520080495356037	0.27365728900255754	112.0	142.0	75.0	32.0	60.0	29.0
subimage_B1	7907	0.30982049157691244	0.4034582132564842	0.2290748898678414	0.3247588424437299	0.4232081911262799	0.25301204819277107	0.336734693877551	0.44635193133047213	0.27005999696766225	92.0	120.0	72.0	21.0	49.0	29.0
subimage_A1	11682	0.3189383090846603	0.39628482972136225	0.22697368421052633	0.329073482428115	0.42962962962962964	0.24210526315789474	0.34055643879173286	0.44089456869009586	0.27323943661971833	103.0	134.0	75.0	27.0	57.0	31.0
subimage_H2	11233	0.3188927622437288	0.40289020957147326	0.22745098039215686	0.3302752293577982	0.42483660130718953	0.24434389140271492	0.33811712807404504	0.44913470115967885	0.264456064863375	103.0	132.0	77.0	26.0	56.0	30.0
subimage_G2	13761	0.3210702341137124	0.39945652173913043	0.22402597402597402	0.32941176470588235	0.4341736694677871	0.23615160349854228	0.34153005464480873	0.44625407166123776	0.26804123711340205	109.0	144.0	78.0	30.0	64.0	34.0
subimage_F2	8010	0.33513513513513515	0.34215007215007215	0.22494432071269488	0.3486005089058524	0.4119106699751861	0.23779840505411423	0.3700508972348739	0.4274193548387097	0.29009009009009007	137.0	164.0	95.0	42.0	69.0	24.0
subimage_E2	4167	0.3261070234113712	0.38792996655242185	0.23265119990879554	0.3333333333333333	0.4200626959247649	0.24758842443729903	0.3454366028708134	0.43205574912891986	0.2729944745728026	110.0	138.0	81.0	29.0	57.0	29.0
