subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	971	0.3549266456845015	0.34400674145256194	0.2127927190919317	0.37782340862423	0.35174953959484345	0.2672897196261682	0.4125385480738556	0.38639330643247094	0.29946507067233274	191.0	181.0	137.0	55.0	43.0	-9.0
subimage_G1	6440	0.33421750663129973	0.39328256145083934	0.16776315789473684	0.34430481142977204	0.44642857142857145	0.20903954802259886	0.3561273074971705	0.4816053511705686	0.26700251889168763	115.0	150.0	70.0	45.0	79.0	34.0
subimage_F1	2854	0.33061943476577627	0.38991997316465404	0.16206896551724137	0.34502923976608185	0.45	0.2052327350167326	0.3576388888888889	0.4850843722245979	0.27301075268817204	119.0	155.5	71.0	49.0	85.0	37.0
subimage_E1	5092	0.340940897524867	0.3823913650971077	0.18136699264088507	0.3547486033519553	0.4310560884971048	0.21390961857379767	0.38010204081632654	0.44836940772608724	0.26666666666666666	128.0	154.0	78.0	49.0	76.0	27.0
subimage_D1	12866	0.335243553008596	0.4009932008238418	0.14067278287461774	0.35453434096465886	0.4732394366197183	0.16997167138810199	0.3669724770642202	0.4984709480122324	0.2563321097933534	121.0	161.0	58.0	61.0	101.0	40.0
subimage_C1	8627	0.32967032967032966	0.3951219512195122	0.14381958125257707	0.34563758389261745	0.46319018404907975	0.19197707736389685	0.3595890410958904	0.5018050541516246	0.2654639175257732	110.0	149.0	60.0	48.0	86.0	37.0
subimage_B1	8364	0.331192782681713	0.3932120650158176	0.14579271502263397	0.3450134770889488	0.45987654320987653	0.1949419038482038	0.3580515297906602	0.5031816899137306	0.26602188305453073	114.0	153.0	63.0	48.0	86.0	37.0
subimage_A1	4989	0.3333333333333333	0.35842293906810035	0.1837270341207349	0.3559322033898305	0.43316831683168316	0.21502590673575128	0.38083123391938245	0.4570509982501634	0.27058476948004123	140.0	171.0	84.0	57.0	84.0	31.0
subimage_H2	6483	0.33967391304347827	0.38202777188891246	0.1753846153846154	0.35492957746478876	0.42363112391930835	0.2222222222222222	0.3723691776883266	0.4578228406584082	0.2697985263642643	122.0	147.0	76.0	45.0	68.0	24.0
subimage_G2	6258	0.3399933774834437	0.3973711400499064	0.15076254180602006	0.35459183673469385	0.4592391304347826	0.1875	0.3699731903485255	0.48249153764182284	0.2587796697626419	134.0	172.0	68.0	61.0	98.0	38.0
subimage_F2	2472	0.32805429864253394	0.36571071455375753	0.1871508379888268	0.34710743801652894	0.4185428458787418	0.2362083957296749	0.37664785443222726	0.4566234049514669	0.2813766891891891	132.0	159.0	88.0	42.0	67.0	28.0
subimage_E2	5389	0.3291072710491232	0.34448160535117056	0.18181818181818182	0.3435114503816794	0.434375	0.22391857506361323	0.3623417721518987	0.4678203984537615	0.2975494783543031	121.0	154.0	77.0	41.0	71.0	31.0
subimage_D2	6960	0.33012664924072693	0.3932569639513109	0.1450605503722552	0.3479385394793854	0.4557377049180328	0.19724605394131867	0.36623603141044997	0.5034494731800766	0.2651523663602315	118.0	154.0	66.0	50.0	86.0	36.0
subimage_C2	8768	0.3305283797729618	0.387770663821084	0.15654952076677317	0.34626865671641793	0.4433492155018057	0.21	0.36556603773584906	0.4921135646687697	0.2714257382670556	125.0	160.0	75.0	48.0	83.0	35.0
subimage_B2	8059	0.3290808176305666	0.4	0.14666666666666667	0.3448275862068966	0.45738636363636365	0.19756838905775076	0.35755990133897114	0.5017667844522968	0.2641563036020583	115.0	153.0	66.0	49.0	86.0	38.0
subimage_A2	9725	0.335149863760218	0.4036048009606585	0.1419753086419753	0.34838709677419355	0.4676923076923077	0.18322981366459629	0.3628048780487805	0.5	0.25528980190755673	117.0	157.0	61.0	55.0	95.0	40.0
subimage_H3	8978	0.34017595307917886	0.392916783609318	0.1450551926109484	0.35650224215246634	0.45892351274787535	0.18591549295774648	0.37261045209152005	0.48607456140350874	0.2600395969786963	136.0	173.0	67.0	61.0	98.0	37.0
subimage_G3	9086	0.3383675113200975	0.39965357967667436	0.15029345012234477	0.3569620253164557	0.4621212121212121	0.18075801749271136	0.3706321334503951	0.484375	0.2536984867578292	129.0	165.0	64.0	61.0	97.0	37.0
subimage_F3	4704	0.33481759087626084	0.38954869358669836	0.1616560203817893	0.35046774365898914	0.44846078741061945	0.20212765957446807	0.36616621244565567	0.47800309854479056	0.2665289256198347	129.0	164.0	71.0	52.0	87.0	35.0
subimage_E3	2065	0.3333333333333333	0.35386583565688046	0.21513102725366878	0.36268343815513626	0.39664804469273746	0.24342105263157895	0.38852586720432575	0.4136355591858961	0.28595287801968383	114.0	127.0	77.0	38.0	48.0	11.0
subimage_D3	6154	0.3323529411764706	0.3904689598182006	0.14864702871612523	0.3430155856906179	0.44516129032258067	0.21070234113712374	0.3597970133016862	0.5018867924528302	0.26973223509509053	112.0	148.0	70.0	44.0	78.0	34.0
subimage_C3	5777	0.3235294117647059	0.3866603023070803	0.1487832079842146	0.34120734908136485	0.4342857142857143	0.22112211221122113	0.365058654044042	0.512015458937198	0.2718165620884654	116.0	148.0	76.0	40.0	72.0	32.0
subimage_B3	3588	0.3233170426065163	0.3866781609195402	0.1792852313339129	0.3407202216066482	0.42857142857142855	0.23099003376987068	0.3565217391304348	0.46882440476190473	0.2791327913279133	115.0	146.0	77.5	37.0	66.0	30.0
subimage_A3	4537	0.324252356976312	0.391304347826087	0.16129032258064516	0.34124629080118696	0.45394736842105265	0.2057877813504823	0.3569871545348384	0.489213060320974	0.27353993038078633	109.0	145.0	65.0	42.0	78.0	36.0
subimage_H4	1577	0.3401714530004275	0.36172824408118526	0.20466748017083589	0.3508771929824561	0.41254125412541254	0.23636363636363636	0.3680349029326725	0.43914865577227197	0.28094479968680675	111.0	131.0	75.0	36.0	56.0	20.0
subimage_G4	6174	0.337894088861876	0.3932316138917263	0.1624398477339654	0.3516169254283646	0.4540879627285157	0.1935483870967742	0.3656865671641791	0.4801586067485616	0.2615175410363695	128.0	164.0	70.0	56.0	93.0	37.0
subimage_F4	1877	0.356065999392138	0.3434343434343434	0.24342440510640564	0.3839835728952772	0.35148514851485146	0.262350936967632	0.39896373056994816	0.36208315595288776	0.3	224.0	207.0	156.0	70.0	51.0	-18.0
