subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	632	0.3271694517736734	0.36980075707777044	0.24472268646629589	0.3374806501547988	0.399403841711534	0.26301369863013696	0.36066947508788944	0.4131054131054131	0.2873872943767637	118.0	141.0	92.0	27.0	48.0	22.0
subimage_G1	1323	0.3580755839072865	0.34765625	0.23751470588235293	0.38724373576309795	0.3577586206896552	0.2540983606557377	0.39804624161745567	0.36790123456790125	0.2936554847903216	184.0	171.0	122.0	63.0	50.0	-12.0
subimage_F1	654	0.3303030303030303	0.3527988614800759	0.25	0.3392857142857143	0.3890675241157556	0.2693498452012384	0.37621666170329177	0.4013377926421405	0.28790654676863603	112.0	129.0	90.0	24.0	40.0	17.0
subimage_E1	4710	0.33762057877813506	0.3921318411355261	0.16945718697519244	0.3487654320987654	0.4404432132963989	0.21176470588235294	0.36601816105703877	0.46765598927701946	0.26390738498789346	121.0	153.0	73.0	47.0	78.0	32.0
subimage_D1	3046	0.3408450704225352	0.3927474892395983	0.1617161716171617	0.3558632543926662	0.4397270972732257	0.20491803278688525	0.3698630136986301	0.47096774193548385	0.2630092486432775	130.0	160.0	75.0	55.0	86.0	31.0
subimage_C1	1523	0.331840549228144	0.3787203720372037	0.22691394357621272	0.34324324324324323	0.40931372549019607	0.24739583333333334	0.3556242590659925	0.4277829217134974	0.28868412725005116	130.0	154.0	93.0	34.0	58.0	24.0
subimage_B1	2512	0.3301142021409012	0.3923705722070845	0.20800751185271843	0.3438485804416404	0.42547004662593213	0.23076923076923078	0.3550488808850013	0.4444444444444444	0.2692307692307692	116.0	144.0	78.0	38.0	66.0	28.0
subimage_A1	7517	0.3407202216066482	0.39214872671060125	0.18689320388349515	0.3595238095238095	0.4334862385321101	0.20842572062084258	0.3716577540106952	0.4467005076142132	0.26106748422260473	148.0	176.0	83.0	59.0	86.0	29.0
subimage_H2	451	0.32766433350687413	0.3490389951066942	0.24698525601771162	0.3377659574468085	0.3914285714285714	0.2706422018348624	0.38800062438676297	0.4020113199919143	0.29076800561238514	121.0	141.0	97.0	25.0	43.0	20.0
subimage_G2	2067	0.3397419208355408	0.3808324681653495	0.19843947673010148	0.35434782608695653	0.4177215189873418	0.2282051282051282	0.3739450010970526	0.4423437822231388	0.2656025717703349	142.0	168.0	92.0	52.0	76.0	27.0
subimage_F2	739	0.3401699856782377	0.34507763799161284	0.24848484848484848	0.3501577287066246	0.3857677902621723	0.2646048109965636	0.3726789457921533	0.4048348822379494	0.2946100293071693	112.0	126.0	84.0	29.0	39.0	12.0
subimage_E2	598	0.3358208955223881	0.3488430658637912	0.2649078215195798	0.34558823529411764	0.3804134697357204	0.27635279233688775	0.36363636363636365	0.38915423901940754	0.2936403860192654	95.0	105.0	76.0	20.0	29.0	10.0
subimage_D2	2002	0.33535024675836445	0.34011627906976744	0.21994134897360704	0.36151603498542273	0.39886840167739046	0.2438423645320197	0.375	0.4204463109354414	0.2982958323969565	141.0	156.0	94.0	47.0	57.0	15.0
subimage_C2	1722	0.33229861442904923	0.3692837649518058	0.21607396870554765	0.35376044568245124	0.4112903225806452	0.23777362702444135	0.3642337729793904	0.4308545038849366	0.2753931009655561	133.0	155.0	89.0	44.0	65.0	22.0
subimage_B2	4049	0.3323491744834031	0.38654982913087654	0.18600397050482131	0.34523809523809523	0.44077134986225897	0.21428571428571427	0.36217948717948717	0.4622527503847689	0.2702429702429702	116.0	149.0	71.0	44.0	76.0	32.0
subimage_A2	764	0.338550484386757	0.35587491997169524	0.22755291005291003	0.3537155320143325	0.39760470453241537	0.25059714850898146	0.369074510152397	0.4175490787453389	0.2847164150824228	140.0	159.0	98.0	41.0	59.0	18.0
subimage_H3	1435	0.33598125	0.36004850966299135	0.2376237623762376	0.3448275862068966	0.39935064935064934	0.2549019607843137	0.37009234435507893	0.4130368316268487	0.27711876075731495	106.0	123.0	78.0	28.0	44.0	17.0
subimage_G3	514	0.3352601156069364	0.34198909942079997	0.26247536338999755	0.3554594934834123	0.3673469387755102	0.27586206896551724	0.3761755562032449	0.39180919241959583	0.29577464788732394	110.0	121.5	86.0	23.0	31.0	3.0
subimage_F3	4454	0.33985330073349634	0.38547878769716404	0.18578974967333745	0.3561795369135653	0.43380281690140843	0.2109181141439206	0.37532452296332075	0.45048510048510043	0.2643046341522684	131.0	159.0	76.0	52.0	80.0	29.0
subimage_E3	888	0.33620689655172414	0.34823091247672255	0.25172010042972337	0.35569220001749713	0.35914185182771874	0.2826747720364742	0.38337473091571445	0.38804322237393474	0.2959845588235294	142.5	139.0	102.0	32.0	33.0	-2.0
subimage_D3	2988	0.3369968969953833	0.3530547525482934	0.2034817763584797	0.35555555555555557	0.4178272980501393	0.22572178477690288	0.37278384026004185	0.4440993788819876	0.2883193537044599	136.0	161.0	85.0	47.0	72.0	23.0
subimage_C3	5167	0.33853006681514475	0.39191897911274304	0.16863905325443787	0.35276073619631904	0.4523809523809524	0.19428571428571428	0.36752136752136755	0.47289156626506024	0.26344024247706965	124.0	159.0	67.0	54.0	89.0	35.0
