subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	3844	0.34448880354322176	0.38259373349762366	0.2010178117048346	0.3565217391304348	0.4222217966116535	0.21867601708148404	0.3719293062436556	0.44565217391304346	0.2635950321579064	147.0	176.0	90.5	57.0	84.0	26.0
subimage_G1	2704	0.35714285714285715	0.34268196133448986	0.25397677258142376	0.38128872984801065	0.35060449050086356	0.26798561151079137	0.3931034482758621	0.35412474849094566	0.29927915684001544	220.0	204.0	155.0	65.0	48.0	-18.0
subimage_F1	5065	0.34586819991154355	0.3879501490939674	0.18976545842217485	0.35910224438902744	0.42857142857142855	0.20963855421686747	0.37659574468085105	0.442159383033419	0.2649323236853909	155.0	184.0	91.0	63.0	93.0	28.0
subimage_E1	3459	0.3293051359516616	0.3934718312368599	0.1924198250728863	0.3450134770889488	0.42406876790830944	0.23163841807909605	0.37037037037037035	0.44327176781002636	0.2688196957539832	121.0	149.0	81.0	39.0	66.0	28.0
subimage_D1	2913	0.3390879074501626	0.34365325077399383	0.20186335403726707	0.34796238244514105	0.42857142857142855	0.22598870056497175	0.3672388240683355	0.44546587369017276	0.2971342383107089	124.0	155.0	81.0	44.0	71.0	29.0
subimage_C1	9283	0.33974713132171697	0.3912042124542125	0.17955801104972377	0.3520710059171598	0.444141689373297	0.2048611111111111	0.36312849162011174	0.4610951008645533	0.2636165577342048	127.0	159.0	72.0	51.0	83.0	32.0
subimage_B1	860	0.33753746056782336	0.3785144039499858	0.22294977550381123	0.34563758389261745	0.41279785727479834	0.24183006535947713	0.36137729805625024	0.43042071197411	0.2756880603467892	106.0	128.0	74.0	32.0	53.0	21.0
subimage_A1	3372	0.33229375571954284	0.39093571823802536	0.1985951516050115	0.3411764705882353	0.4257703081232493	0.23323615160349853	0.3532531055900621	0.45372807851789854	0.2692307692307692	113.0	142.0	79.0	36.0	65.0	29.0
subimage_H2	3428	0.343906955736224	0.3762993722785845	0.19519519519519518	0.35324675324675325	0.4308510638297872	0.2170637171487994	0.36392066349243213	0.44542772861356933	0.27422509837386805	136.0	165.0	84.0	52.0	82.0	30.0
subimage_G2	4768	0.3391812865497076	0.3852104131633283	0.16185698839772114	0.35124812392036925	0.4438040345821326	0.20679886685552407	0.3688036077460429	0.47351663881496153	0.27252574002574	123.0	156.0	72.0	49.0	82.0	33.0
