subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	7724	0.3357664233576642	0.38461538461538464	0.19328199681359534	0.35014836795252224	0.43896103896103894	0.21182178089304257	0.3587570621468927	0.45519342479297986	0.27125076388358416	128.0	160.0	77.0	49.0	81.0	32.0
subimage_G1	1188	0.3312108118971061	0.3488843813387424	0.23454713983050848	0.34014611607447315	0.39668738006031257	0.2609379272627837	0.3822162916920028	0.413230042937259	0.29259147869674185	110.0	129.0	84.0	26.0	44.0	19.0
subimage_F1	12416	0.3333333333333333	0.3925881159482852	0.16666666666666666	0.34935897435897434	0.44729710925083677	0.20242914979757085	0.3646112600536193	0.4806930630022542	0.25992065810537635	118.0	151.0	68.0	48.0	80.0	33.0
subimage_E1	12652	0.33472803347280333	0.40253164556962023	0.1746031746031746	0.347953216374269	0.455497733144835	0.1951219512195122	0.36187845303867405	0.47249190938511326	0.2536772479110247	116.0	152.0	64.0	49.0	85.0	34.0
subimage_D1	14868	0.3343405537041784	0.4056689093657062	0.1830601092896175	0.3472222222222222	0.452991452991453	0.19883040935672514	0.3562005277044855	0.4670487106017192	0.252864399235462	120.0	156.0	68.0	50.0	87.0	36.0
subimage_C1	6897	0.33601720430107523	0.3785328185328185	0.20527859237536658	0.3455056179775281	0.4297994269340974	0.22551928783382788	0.3608856852875991	0.44482758620689655	0.2789432051890523	119.0	149.0	76.0	41.0	68.0	28.0
subimage_B1	18014	0.3333333333333333	0.40575916230366493	0.18333333333333332	0.34674922600619196	0.45180722891566266	0.19946091644204852	0.35967302452316074	0.46646341463414637	0.2536443148688047	116.0	151.0	67.0	49.0	83.0	34.0
subimage_A1	8290	0.3359883597883598	0.38232039294591075	0.18823529411764706	0.3475177304964539	0.44321329639889195	0.21067041198501874	0.36538461538461536	0.45857988165680474	0.2690659061085669	121.0	155.0	71.0	47.0	78.0	32.0
subimage_H2	13742	0.336986301369863	0.39921318835416986	0.18944099378881987	0.3481781376518219	0.44385026737967914	0.20634920634920634	0.3603591021188786	0.4594594594594595	0.25342372438505467	126.0	160.0	75.0	50.0	85.0	34.0
subimage_G2	11298	0.3374233128834356	0.38051654482493263	0.18207282913165265	0.34988179669030733	0.4488778054862843	0.20303030303030303	0.3601108033240997	0.4653222114118926	0.2765957446808511	127.0	163.0	73.0	51.0	84.0	35.0
subimage_F2	3613	0.33444816053511706	0.37703164723415444	0.22145733461169703	0.3438395415472779	0.40372670807453415	0.2523076923076923	0.3733396913473209	0.4236971329003643	0.27321534692930965	110.0	130.0	80.0	30.0	48.0	19.0
subimage_E2	10980	0.33469942925512136	0.40102636870370845	0.18064374023021174	0.34705882352941175	0.44662921348314605	0.20448179271708683	0.36059479553903345	0.46835443037974683	0.25527372262773707	120.0	155.0	70.0	48.0	80.0	34.0
subimage_D2	14091	0.3350125944584383	0.3855140186915888	0.16577517162471395	0.3469387755102041	0.4476744186046512	0.20606060606060606	0.36363636363636365	0.48059701492537316	0.2682665131372344	120.0	154.0	70.0	47.0	80.0	34.0
subimage_C2	7787	0.33791208791208793	0.38308457711442784	0.1755485893416928	0.35	0.44805194805194803	0.20202020202020202	0.37037037037037035	0.47058823529411764	0.2743142144638404	116.0	150.0	66.0	48.0	80.0	32.0
subimage_B2	13795	0.3333333333333333	0.3995401783809158	0.1864406779661017	0.3463687150837989	0.44931506849315067	0.2026578073089701	0.35962877030162416	0.4658385093167702	0.25679854096520766	123.0	158.0	72.0	49.0	85.0	36.0
subimage_A2	13076	0.3344798164057903	0.39947607995910867	0.18553459119496854	0.34674922600619196	0.45179063360881544	0.2	0.35911602209944754	0.46504559270516715	0.25518139367816095	120.0	156.0	69.0	50.0	87.0	36.0
subimage_H3	13733	0.3359294250645995	0.40428972873774155	0.18003324099722992	0.3488372093023256	0.4524421593830334	0.1975	0.359375	0.46987951807228917	0.25063330504246867	127.0	163.0	71.0	53.0	91.0	37.0
subimage_G3	15927	0.3333333333333333	0.4045862320280925	0.18313953488372092	0.3472222222222222	0.45144356955380577	0.20057306590257878	0.3558897243107769	0.4666666666666667	0.2541436464088398	124.0	160.0	71.0	52.0	89.0	36.0
subimage_F3	11895	0.3366902356902357	0.38951825636496024	0.15750050474459923	0.34782608695652173	0.4519774011299435	0.2	0.36329588014981273	0.4855072463768116	0.2639593908629442	117.0	150.0	67.0	48.0	81.0	34.0
subimage_E3	9915	0.33621884988983025	0.39764427975914773	0.18406593406593408	0.34770114942528735	0.44808743169398907	0.20461095100864554	0.3606060606060606	0.46356264360048655	0.2587094144817279	125.0	160.0	73.0	50.0	85.0	35.0
subimage_D3	7370	0.3343558282208589	0.38566420530452883	0.16878980891719744	0.3472222222222222	0.4382716049382716	0.21714285714285714	0.3646907993966817	0.4713804713804714	0.2654462242562929	117.0	148.0	73.0	44.0	75.0	31.0
