subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9956	0.33444816053511706	0.4019917991896529	0.19533527696793002	0.3463687150837989	0.43974922491268	0.2148997134670487	0.35457494517992616	0.4550898203592814	0.25763360428917326	120.0	152.0	73.0	43.0	74.0	31.0
subimage_G1	11808	0.33964058654634943	0.400475922579472	0.1626114721354826	0.3524027459954233	0.4425481515998757	0.20537897310513448	0.36775249857804504	0.47513445658123316	0.2546916890080429	127.0	160.0	74.0	51.0	83.0	32.0
subimage_F1	11543	0.3325254331769406	0.4101804434027388	0.167971875	0.34285714285714286	0.44983818770226536	0.208955223880597	0.35294117647058826	0.4817813765182186	0.25156846857275145	106.0	140.0	65.0	42.0	75.0	33.0
subimage_E1	18558	0.3333333333333333	0.40554154995331465	0.18620378999689347	0.3482142857142857	0.44886363636363635	0.20260589084118497	0.35714285714285715	0.4631268436578171	0.2540983606557377	123.0	158.0	71.0	52.0	87.0	35.0
subimage_D1	3680	0.3301572039072039	0.3800481734243276	0.22535211267605634	0.34121621621621623	0.4031746031746032	0.25559105431309903	0.36338834050818225	0.4223875689138891	0.2790087369908775	103.0	122.0	77.0	26.0	44.0	19.0
subimage_C1	1675	0.3314917127071823	0.37910302693696196	0.2296662740478995	0.34035087719298246	0.40625	0.25	0.36004195804195804	0.42607448816611004	0.27904013113957865	104.0	125.0	76.0	27.0	47.0	20.0
subimage_B1	10623	0.3387129490283321	0.35568559909186986	0.19452054794520549	0.34974093264248707	0.4393939393939394	0.21108179419525067	0.363616339607529	0.454247258225324	0.2826551688526283	131.0	164.0	77.0	50.0	82.0	33.0
subimage_A1	1001	0.3344947735191638	0.34306569343065696	0.24041811846689895	0.3527272727272727	0.3804347826086957	0.26700251889168763	0.3953488372093023	0.40893470790378006	0.29707112970711297	108.0	123.0	82.0	26.0	39.0	10.0
subimage_H2	19599	0.3333333333333333	0.4086514057008981	0.18662952646239556	0.35036496350364965	0.448	0.20057306590257878	0.35844155844155845	0.4606413994169096	0.25	128.0	163.0	73.0	54.0	90.0	35.0
subimage_G2	8082	0.3333333333333333	0.4014607529394844	0.17687074829931973	0.3442622950819672	0.4481707317073171	0.20766773162939298	0.3560346468684561	0.47440273037542663	0.25575156204474087	111.0	145.0	67.0	44.0	77.0	33.0
subimage_F2	8017	0.3371104815864023	0.3989839024321783	0.19444444444444445	0.34402332361516036	0.4327485380116959	0.22343324250681199	0.35454545454545455	0.4554140127388535	0.25728723102254014	123.0	155.0	80.0	43.0	75.0	32.0
subimage_E2	12304	0.3346774193548387	0.39901657617489483	0.1867816091954023	0.3469387755102041	0.4438202247191011	0.20954907161803712	0.36085626911314983	0.46175637393767704	0.25396825396825395	124.0	157.0	74.0	47.0	80.0	34.0
subimage_D2	11124	0.3333333333333333	0.4	0.18584070796460178	0.34584450402144773	0.4472934472934473	0.20689655172413793	0.3557422969187675	0.4629080118694362	0.2570054299587532	121.0	156.0	72.0	47.0	81.0	35.0
subimage_C2	8166	0.3396875947831362	0.39086903066379386	0.1908831908831909	0.35149863760217986	0.43024981022703745	0.21763085399449036	0.3662399702208619	0.45204419186564315	0.26291079812206575	124.0	152.0	76.0	46.0	74.0	27.0
subimage_B2	12524	0.3386243386243386	0.39437075036425445	0.1831976671204967	0.35	0.44761904761904764	0.20266666666666666	0.36103151862464183	0.4624277456647399	0.2559649331018025	125.0	160.0	72.0	52.0	85.0	34.0
subimage_A2	1582	0.33225806451612905	0.36175233167141124	0.24068675072343945	0.34516129032258064	0.39365079365079364	0.26172647771183466	0.3621768251128716	0.4086360875933269	0.2857142857142857	106.0	122.0	81.0	26.0	41.0	16.0
subimage_H3	9073	0.33659109350389005	0.4	0.16083916083916083	0.34770114942528735	0.44510385756676557	0.2077562326869806	0.36385780746749374	0.48223350253807107	0.25507111935683363	117.0	150.0	69.0	46.0	79.0	33.0
subimage_G3	9851	0.3398430849071381	0.3934065934065934	0.16	0.3489010989010989	0.44321329639889195	0.2084507042253521	0.3627605616379044	0.4833023543990087	0.25969491562907754	122.0	155.0	73.0	50.0	84.0	33.0
subimage_F3	9795	0.33741583121352686	0.3842887473460722	0.16374919058925103	0.34782608695652173	0.4418604651162791	0.21066666666666667	0.3598844370968265	0.48500736660047394	0.26879271070615035	120.0	152.0	72.0	47.0	79.0	32.0
subimage_E3	12472	0.33771929824561403	0.4026005182293985	0.1746987951807229	0.34770114942528735	0.45507246376811594	0.19642857142857142	0.3573487031700288	0.47635135135135137	0.2536834776554544	117.0	152.0	66.0	49.0	83.0	35.0
