subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	10840	0.34220469158571554	0.39436619718309857	0.16727208023293433	0.35223276330896125	0.44385026737967914	0.20317041504376598	0.36259541984732824	0.472	0.25866865671641787	123.0	154.0	71.0	50.0	80.0	31.0
subimage_G1	20374	0.3366013071895425	0.4050218098692574	0.18028169014084508	0.3543307086614173	0.44854881266490765	0.19633507853403143	0.3620253164556962	0.4633431085043988	0.25227514506769827	131.0	166.0	73.0	59.0	94.0	35.0
subimage_F1	15152	0.3333333333333333	0.4007880498706187	0.17492278382357185	0.3469945355191257	0.44959128065395093	0.2028169014084507	0.36637753455935274	0.4721354742560454	0.2559368652674339	123.0	155.0	69.0	46.0	80.0	34.0
subimage_E1	16447	0.3333333333333333	0.397033279813166	0.15770609318996415	0.35218508997429304	0.45345345345345345	0.19434628975265017	0.3660477453580902	0.4835164835164835	0.25956284153005466	116.0	147.0	65.0	49.0	81.0	33.0
subimage_D1	1686	0.33221476510067116	0.35981797207992805	0.21410654562828474	0.3447204968944099	0.41324921135646686	0.24267069871080693	0.3684210526315789	0.4331988215523144	0.27913902605283725	108.0	130.0	76.0	32.0	53.0	22.0
subimage_C1	1384	0.3548922056384743	0.34394904458598724	0.26870336356331076	0.3627450980392157	0.34838709677419355	0.2892561983471074	0.375	0.35578583765112265	0.3001555209953344	220.0	211.0	175.0	45.0	36.0	-9.0
subimage_B1	2410	0.3550834597875569	0.3425925925925926	0.27357709225179105	0.3610271903323263	0.3460949464012251	0.2929535710341088	0.37413337675495734	0.3528428093645485	0.3009118541033435	233.0	224.0	190.0	44.0	34.0	-10.0
subimage_A1	2678	0.33076923076923076	0.3903438142815163	0.21234808434808433	0.3492957746478873	0.4161676646706587	0.2351143827436931	0.3621647609147609	0.43408734016301503	0.2686369680851064	123.0	146.0	83.0	39.0	62.0	23.0
subimage_H2	16943	0.3363914373088685	0.3995500113359685	0.17804154302670624	0.35185185185185186	0.4528301886792453	0.193717277486911	0.36153846153846153	0.46938775510204084	0.2543352601156069	127.0	163.0	70.0	56.0	93.0	36.0
subimage_G2	11352	0.331607455684053	0.38443693061612194	0.1782178217821782	0.34210526315789475	0.44871794871794873	0.20945945945945946	0.3570307631018748	0.4753780882013391	0.2701041270280554	110.0	143.0	66.0	42.0	76.0	34.0
