subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	12281	0.33574007220216606	0.4014084507042254	0.18042813455657492	0.34705882352941175	0.4527777777777778	0.2	0.35502958579881655	0.4676923076923077	0.25853658536585367	118.0	154.0	67.0	50.0	86.0	35.0
subimage_G1	15851	0.3333333333333333	0.3972942468427796	0.18904109589041096	0.3464788732394366	0.4482758620689655	0.20396600566572237	0.3548387096774194	0.46131805157593125	0.26447321856069284	122.0	157.0	71.0	49.0	85.0	35.0
subimage_F1	6382	0.3333333333333333	0.39012401040801636	0.20178041543026706	0.34362747324280546	0.43062041017834735	0.22570532915360503	0.3575418994413408	0.44970414201183434	0.2679403737140458	118.0	149.0	76.0	40.0	69.0	29.0
subimage_E1	15030	0.33660492042844986	0.40713286077789895	0.18181818181818182	0.34951456310679613	0.45454545454545453	0.1945288753799392	0.35846851261945595	0.4667679558011048	0.24937027707808565	124.0	162.0	69.0	55.0	93.0	37.0
subimage_D1	15586	0.33220338983050846	0.40476190476190477	0.18208092485549132	0.35	0.4540682414698163	0.19484240687679083	0.35844155844155845	0.4671744215539836	0.2519633909397689	126.0	163.0	69.0	55.0	93.0	37.0
subimage_C1	13534	0.3394495412844037	0.4044943820224719	0.1660377358490566	0.35017442779175634	0.45244956772334294	0.1968503937007874	0.36	0.4826388888888889	0.24929727778518906	123.0	156.0	70.0	51.0	87.0	35.0
subimage_B1	13529	0.3388778146917682	0.4050420762322325	0.17845117845117844	0.3512064343163539	0.45325779036827196	0.1954674220963173	0.3597560975609756	0.46706586826347307	0.24887775427644396	123.0	159.0	68.0	53.0	89.0	35.0
subimage_A1	6614	0.3380281690140845	0.38897152301042465	0.20178041543026706	0.35082872928176795	0.42990654205607476	0.2193877551020408	0.35978835978835977	0.4441026627385487	0.2647058823529412	131.0	159.0	81.0	48.0	77.0	29.0
subimage_H2	11309	0.336283185840708	0.4004819445414542	0.18506493506493507	0.3472222222222222	0.4496124031007752	0.20125786163522014	0.35737704918032787	0.463768115942029	0.25743282034187087	124.0	158.0	72.0	49.0	85.0	35.0
subimage_G2	11525	0.3373493975903614	0.40459195718895097	0.17681159420289855	0.3485714285714286	0.453551912568306	0.1974921630094044	0.3593314763231198	0.46777807897352486	0.25126398464530136	123.0	159.0	68.0	52.0	88.0	36.0
subimage_F2	14827	0.33455882352941174	0.40050131993095744	0.17971014492753623	0.3489010989010989	0.4532967032967033	0.1977401129943503	0.35967302452316074	0.4668587896253602	0.2559439178515007	124.0	160.0	70.0	51.0	88.0	36.0
subimage_E2	6940	0.3408450704225352	0.38694295900178255	0.16181229773462782	0.35428571428571426	0.4467770363842377	0.19805143453642488	0.37037037037037035	0.4764900801582125	0.26434666538501866	120.0	152.0	66.0	52.0	83.0	31.0
subimage_D2	13938	0.33808445252987945	0.4013516903507607	0.1801566579634465	0.3495702005730659	0.4535211267605634	0.1962864721485411	0.3597733711048159	0.46647352476505366	0.25202362703279124	126.0	163.0	70.0	54.0	90.0	36.0
subimage_C2	13102	0.3375796178343949	0.40369702825572606	0.1712075582325036	0.3477088948787062	0.4527363184079602	0.19872805953247594	0.35751295336787564	0.48135593220338985	0.25120772946859904	121.0	155.5	70.0	49.0	84.0	36.0
subimage_B2	14856	0.3381818181818182	0.40617577197149646	0.18258426966292135	0.3508771929824561	0.4525316455696203	0.19557195571955718	0.3578746994389527	0.46397694524495675	0.2505669287252536	129.0	166.0	71.0	57.0	94.0	36.0
subimage_A2	14819	0.33519553072625696	0.39328267722900334	0.18956043956043955	0.34782608695652173	0.44192634560906513	0.20984455958549222	0.3569682151589242	0.45879120879120877	0.2675736961451247	131.0	165.0	77.0	51.0	85.0	34.0
subimage_H3	16676	0.336949197234267	0.40474636329727715	0.1813186813186813	0.3506849315068493	0.45209580838323354	0.19559228650137742	0.36069651741293535	0.4657534246575342	0.2527116511997721	130.0	167.0	72.0	56.0	94.0	37.0
subimage_G3	15259	0.33972602739726027	0.4061839768902552	0.17955801104972377	0.35	0.4528301886792453	0.19602272727272727	0.3597733711048159	0.46601941747572817	0.2493952537727687	129.0	167.0	72.0	56.0	94.0	37.0
subimage_F3	19219	0.33933933933933935	0.38957617068771366	0.1576923076923077	0.3507246376811594	0.44974874371859297	0.1981981981981982	0.3663101604278075	0.4851521818848551	0.26150493574222383	126.0	160.0	71.0	53.0	87.0	35.0
subimage_E3	18346	0.33653846153846156	0.40554782138403833	0.17613636363636365	0.35349276827713544	0.4493119121267597	0.19736842105263158	0.3638888888888889	0.46742209631728043	0.24768518518518517	135.0	172.0	75.0	60.0	96.0	36.0
subimage_D3	13424	0.3409090909090909	0.39211819298485057	0.17133030520880987	0.35	0.4561933534743202	0.19345238095238096	0.36127167630057805	0.47368421052631576	0.26116256157635453	124.0	162.0	69.0	54.0	90.0	37.0
subimage_C3	4747	0.3311897106109325	0.3887846291331546	0.21875	0.3485342019543974	0.4158730158730159	0.23743016759776536	0.35802469135802467	0.4295774647887324	0.26893632758726965	122.0	144.0	83.0	40.0	63.0	24.0
subimage_B3	12994	0.34253699117292186	0.4023809523809524	0.1778399356797211	0.35294117647058826	0.45217391304347826	0.19338422391857507	0.3620253164556962	0.4657142857142857	0.24887252831251375	133.0	170.0	72.0	59.0	95.0	36.0
subimage_A3	3534	0.3342776203966006	0.3900985715209101	0.2101351756084899	0.3457142857142857	0.4228395061728395	0.23142857142857143	0.3577402665522256	0.43963782427671616	0.26682427565696226	120.0	147.0	80.0	40.0	66.0	27.0
subimage_H4	11132	0.33608815426997246	0.39908909304672624	0.17771084337349397	0.34615384615384615	0.45518477320479545	0.1986970684039088	0.35656836461126007	0.4713375796178344	0.2571428571428571	119.0	155.0	67.0	48.0	84.0	36.0
subimage_G4	7428	0.33618233618233617	0.38177526901253434	0.15064102564102563	0.3487105593733836	0.4470588235294118	0.2072072072072072	0.3695652173913043	0.48562300319488816	0.2709677419354839	118.0	152.0	69.0	46.0	79.0	33.0
subimage_F4	13905	0.3395545636304459	0.4020618556701031	0.16927899686520376	0.3495702005730659	0.4583333333333333	0.18947368421052632	0.36469917881682584	0.476735850629324	0.25129007653665075	124.0	163.0	68.0	55.0	95.0	38.0
subimage_E4	17645	0.339582282312582	0.4058372712620742	0.17575757575757575	0.351123595505618	0.45481927710843373	0.1928020565552699	0.36180904522613067	0.47101449275362317	0.24932249322493225	130.0	168.0	71.0	57.0	95.0	37.0
subimage_D4	9237	0.33812537362660017	0.38795180722891565	0.15924131744200948	0.3487654320987654	0.44857142857142857	0.2028169014084507	0.36432550348642434	0.48303671596124415	0.2647754137115839	119.0	153.0	70.0	50.0	84.0	34.0
subimage_C4	15448	0.3391959798994975	0.40399692287109507	0.17955801104972377	0.3542713567839196	0.4491525423728814	0.19597989949748743	0.36312849162011174	0.46503004427577477	0.2511520737327189	139.0	176.0	76.0	62.0	98.0	37.0
subimage_B4	12756	0.3373134328358209	0.40501061914215797	0.17714285714285713	0.34782608695652173	0.45569620253164556	0.19558359621451105	0.35768261964735515	0.47126436781609193	0.25129533678756477	124.0	161.0	69.0	52.0	90.0	37.0
subimage_A4	9007	0.3381727017929325	0.39111111111111113	0.18101657628159215	0.3516819571865443	0.44837758112094395	0.2011173184357542	0.3617021276595745	0.46111111111111114	0.26052166887875805	132.0	168.0	75.0	56.0	91.0	36.0
subimage_H5	8435	0.33691756272401435	0.38862207310778474	0.19360828270728161	0.3473389355742297	0.4358974358974359	0.21568627450980393	0.36753522753522755	0.45714285714285713	0.2621359223300971	123.0	153.0	76.0	45.0	76.0	31.0
subimage_G5	10880	0.3393939393939394	0.40333931868329803	0.17073170731707318	0.35	0.4588235294117647	0.19142857142857142	0.36033519553072624	0.47509876014373764	0.2494281770679286	120.0	157.0	65.0	53.0	89.0	37.0
subimage_F5	12915	0.33875338753387535	0.40629937923250564	0.1763085399449036	0.3526315789473684	0.4543147208121827	0.19230769230769232	0.36296830484330483	0.4682080924855491	0.24790129204981956	132.0	170.0	72.0	59.0	97.0	38.0
subimage_E5	10620	0.3407397147840361	0.3874697421681181	0.17272400261608895	0.3507692307692308	0.4515235457063712	0.19642857142857142	0.3612565445026178	0.4738675958188153	0.2634146341463415	123.0	158.0	69.0	52.0	87.0	34.0
subimage_D5	15222	0.3402071544841485	0.40599557476798265	0.1749271137026239	0.35294117647058826	0.45558739255014324	0.19	0.36299724136781486	0.47093023255813954	0.2461174121498473	131.0	168.5	71.0	59.0	98.0	38.0
subimage_C5	12304	0.3398876404494382	0.40278265677855846	0.17679558011049723	0.3492462311557789	0.45408163265306123	0.19592875318066158	0.3582089552238806	0.4716417910447761	0.2534816452046896	125.0	162.0	69.0	53.0	89.0	36.0
subimage_B5	13206	0.3390804597701149	0.4031413612565445	0.16929133858267717	0.35082872928176795	0.458730735458867	0.1883656509695291	0.3590504451038576	0.4770992366412214	0.2531969309462916	123.0	161.0	67.0	55.0	92.0	37.0
subimage_A5	2870	0.3285430634347602	0.3795379537953795	0.22875816993464052	0.3487654320987654	0.4055727554179567	0.24610591900311526	0.3619784582072565	0.4185303514376997	0.2831444055793065	112.0	130.0	78.0	33.0	51.0	18.0
subimage_H6	12956	0.33663366336633666	0.4035875536648702	0.18404375426039538	0.34974093264248707	0.44752233817611353	0.20176740069758967	0.3605263157894737	0.4631346064275733	0.2528346436262682	127.0	161.0	72.0	51.0	85.0	35.0
subimage_G6	12878	0.33956919945725916	0.4029765093404151	0.17647058823529413	0.35142118863049093	0.4562334217506631	0.19130434782608696	0.35989717223650386	0.4700637187164133	0.2512973713479641	129.0	166.0	70.0	57.0	95.0	37.0
subimage_F6	12336	0.3433734939759036	0.40298642697932335	0.17415730337078653	0.3539325842696629	0.45454545454545453	0.18956043956043955	0.3639344262295082	0.4715909090909091	0.2489999523786847	130.0	166.0	69.0	59.0	96.0	36.0
subimage_E6	15368	0.3430493273542601	0.4056603773584906	0.16951205207905695	0.3569553805774278	0.4488778054862843	0.1919055419055419	0.3669064748201439	0.47487430904697087	0.24571250898069827	140.0	176.0	75.0	64.0	99.0	35.0
subimage_D6	7940	0.34674922600619196	0.3947815051590785	0.18009281747646744	0.36231884057971014	0.44041450777202074	0.19725399019731055	0.3691588785046729	0.4576271186440678	0.25308718561406734	150.0	181.0	80.0	67.0	98.0	31.0
subimage_C6	13138	0.3400576368876081	0.4014934953257251	0.17522658610271905	0.3504043126684636	0.45430809399477806	0.1940700808625337	0.35904255319148937	0.4730215758958274	0.2531969309462916	127.0	163.0	70.0	54.0	90.0	36.0
subimage_B6	9758	0.3422671207658321	0.40175751400916965	0.1786743515850144	0.3562005277044855	0.4447513812154696	0.19651741293532338	0.36593042676956744	0.4647503611412062	0.25073898082910034	136.0	168.0	75.0	59.0	91.0	32.0
subimage_A6	3992	0.33430232558139533	0.3887591000247246	0.19584569732937684	0.3460410557184751	0.4336875634231593	0.22	0.3672449908925319	0.45045045045045046	0.2668974046374229	127.0	158.0	81.0	46.0	78.0	32.0
subimage_H7	10249	0.3423512182132872	0.354636443150215	0.1903485254691689	0.35537190082644626	0.43617021276595747	0.20923913043478262	0.36700004975867045	0.4487534626038781	0.27877715205148834	130.0	160.0	75.0	53.0	81.0	29.0
subimage_G7	15584	0.3377690027610849	0.4054154901169827	0.17804262864587103	0.3523809523809524	0.4534005037783375	0.19293478260869565	0.3626666666666667	0.4673913043478261	0.25	133.0	170.0	72.0	57.0	96.0	37.0
subimage_F7	8032	0.33798882681564246	0.3815789473684211	0.16129032258064516	0.3484848484848485	0.4447852760736196	0.20607084357084357	0.36486486486486486	0.47947731866157645	0.2721238938053097	118.0	151.0	70.0	47.0	80.0	32.0
subimage_E7	8992	0.3412802591203546	0.3867953489396375	0.16943521594684385	0.35340314136125656	0.45014245014245013	0.19492598154902382	0.36798764044943816	0.4722222222222222	0.2671081677704194	135.0	170.0	73.0	55.0	89.0	34.0
subimage_D7	7760	0.3385093167701863	0.38358888743967656	0.182722655251725	0.3489010989010989	0.4423076923076923	0.20967741935483872	0.3659305993690852	0.4632352941176471	0.2661954548510723	125.0	158.0	74.0	49.0	81.0	33.0
subimage_C7	11002	0.337037037037037	0.40250158227848104	0.17404129793510326	0.3495702005730659	0.4581005586592179	0.19197707736389685	0.3597733711048159	0.47093023255813954	0.25326285985554914	125.0	162.0	68.0	54.0	91.0	37.0
subimage_B7	16393	0.3387096774193548	0.4083682822430715	0.17696629213483145	0.3532608695652174	0.45569620253164556	0.18974358974358974	0.36103896103896105	0.467966573816156	0.24701379039286384	133.0	170.0	71.0	61.0	99.0	38.0
subimage_A7	1104	0.3286118980169972	0.35082804537234913	0.2084507042253521	0.34523809523809523	0.4266666666666667	0.22796352583586627	0.3828913601368689	0.4450322671816854	0.28396405610753944	125.0	154.0	81.0	42.0	70.0	30.0
