subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	11535	0.3390345240529252	0.40288192628635094	0.17897727272727273	0.3531073446327684	0.4523809523809524	0.193717277486911	0.3602197018995383	0.4653179190751445	0.25197339246119727	128.0	164.0	69.0	58.0	95.0	36.0
subimage_G1	5248	0.33078880407124683	0.39098367957809216	0.2043343653250774	0.34210526315789475	0.4265536723163842	0.23011363636363635	0.36061381074168797	0.44904458598726116	0.2704648332001977	121.0	150.0	81.0	40.0	69.0	30.0
subimage_F1	7941	0.34124629080118696	0.392	0.19083969465648856	0.3559322033898305	0.43552311435523117	0.20903954802259886	0.36523929471032746	0.4517133956386293	0.25721153846153844	138.0	168.0	80.0	55.0	84.0	30.0
subimage_E1	9078	0.3357487922705314	0.40046757090814467	0.1824525841631105	0.34705882352941175	0.45288753799392095	0.2	0.35714285714285715	0.4664310954063604	0.25800605268587934	122.0	159.0	69.0	51.0	86.0	36.0
subimage_D1	9018	0.3372324492130058	0.3893924227544005	0.18452380952380953	0.3469387755102041	0.44473684210526315	0.20670391061452514	0.36103896103896105	0.4662576687116564	0.264521249359959	123.0	159.0	73.0	50.0	85.0	35.0
subimage_C1	2727	0.3560371517027864	0.34316770186335405	0.25544300328827185	0.3685064935064935	0.3476923076923077	0.2837209302325581	0.3891028641643018	0.35555555555555557	0.29969741350724	238.0	223.0	183.0	54.0	41.0	-13.0
subimage_B1	4369	0.32848837209302323	0.3891445402544182	0.20612813370473537	0.3438395415472779	0.4305177111716621	0.22530864197530864	0.35714285714285715	0.44982698961937717	0.27183497566762704	119.0	147.0	77.0	38.0	68.0	29.0
subimage_A1	7184	0.3377713051166505	0.3989521711340486	0.17737789203084833	0.35659881304490715	0.4470899470899471	0.1960541040237435	0.36724565756823824	0.4617924328670885	0.25591826716573596	134.0	168.0	73.0	57.0	89.0	33.0
subimage_H2	12122	0.3389261744966443	0.3935518188057653	0.1787709497206704	0.3493697367724167	0.45161290322580644	0.1977077363896848	0.3605263157894737	0.4684385382059801	0.2597402597402597	124.0	161.0	70.0	51.0	86.0	35.0
subimage_G2	6476	0.3379863936308956	0.38962556306306306	0.1702127659574468	0.34894725177304964	0.4444444444444444	0.20850096403467488	0.36363636363636365	0.47356811145510835	0.2629237698566447	125.0	159.0	74.0	50.0	84.0	34.0
subimage_F2	10974	0.33858267716535434	0.4022133623293464	0.18028169014084508	0.34805194805194806	0.4526627218934911	0.19888728972251885	0.3584905660377358	0.46853916523727845	0.2542935192731444	125.0	162.0	71.0	53.0	89.0	37.0
subimage_E2	9615	0.34138813317787275	0.3932679729368574	0.1838628807619732	0.35344827586206895	0.4458128078817734	0.2	0.36386138613861385	0.4605012189875233	0.25928367928367924	140.0	176.0	79.0	60.0	96.0	36.0
subimage_D2	12499	0.3425925925925926	0.39751081059831744	0.18204488778054864	0.3553299492385787	0.44607843137254904	0.1988472622478386	0.36507936507936506	0.46153846153846156	0.2520930203798969	143.0	179.0	79.0	62.0	97.0	36.0
