subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4418	0.3354632587859425	0.3847809152872444	0.2036392261070564	0.34948538238824944	0.4117647058823529	0.2387320013394352	0.3706936835320657	0.43613707165109034	0.26767909867909867	116.0	136.0	78.0	36.0	56.0	21.0
subimage_G1	10510	0.34317343173431736	0.3834234590697265	0.17251461988304093	0.3556701030927835	0.449453143676787	0.19616956612869418	0.36619718309859156	0.4657142857142857	0.2666005873715124	126.0	160.0	67.0	54.0	86.0	32.0
subimage_F1	10856	0.3394435528301435	0.39407024311143324	0.17079889807162535	0.3640719318781703	0.44364508393285373	0.1928020565552699	0.37538461538461537	0.4595375722543353	0.2545454545454545	139.0	168.0	74.0	63.0	92.0	30.0
subimage_E1	2396	0.329073482428115	0.36510832431335405	0.23484348764691773	0.347205243140451	0.3932291666666667	0.2610974274767378	0.366481731173051	0.412	0.2875099840255591	116.0	129.0	88.0	29.0	42.0	17.0
subimage_D1	10417	0.33217993079584773	0.3956043956043956	0.17388453314326444	0.3439306358381503	0.4532871972318339	0.20394736842105263	0.3592009820332552	0.4737165991902832	0.26154684552504714	109.0	143.0	62.0	41.0	74.0	33.0
subimage_C1	2812	0.3352200704225352	0.37588427353528026	0.20498602484472048	0.35034013605442177	0.4055727554179567	0.24375	0.3763781882324318	0.4304400008572837	0.27631578947368424	115.0	134.0	80.0	34.0	51.0	19.0
subimage_B1	1418	0.3333333333333333	0.35135135135135137	0.2276368592413114	0.34256055363321797	0.4037735849056604	0.2528518759488181	0.3803032515576323	0.416988416988417	0.27928682872816946	101.0	118.0	73.0	26.0	43.0	18.0
subimage_A1	12186	0.33630952380952384	0.404625590694293	0.17127253480464488	0.35	0.4573170731707317	0.1935483870967742	0.36139531070667325	0.4735099337748344	0.2524752475247525	112.0	146.0	61.0	50.0	83.0	34.0
subimage_H2	1765	0.336425522095304	0.35963409676107877	0.21299773988083007	0.3465909090909091	0.4144144144144144	0.23880597014925373	0.37199515795490845	0.4337748344370861	0.274700128247039	114.0	136.0	78.0	36.0	57.0	23.0
subimage_G2	15569	0.34230619682481106	0.4052554730409221	0.1771923822556734	0.356353591160221	0.44923857868020306	0.1945945945945946	0.36666666666666664	0.4636118598382749	0.2474747474747475	136.0	172.0	74.0	61.0	96.0	36.0
