subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	929	0.31943731820132565	0.35114814911570313	0.24591914569031273	0.33079847908745247	0.39649122807017545	0.26811594202898553	0.3875781709337751	0.4132841328413284	0.29518072289156627	95.0	113.0	76.0	18.0	37.0	20.0
subimage_G1	4838	0.31746031746031744	0.3926553672316384	0.23728813559322035	0.3294460641399417	0.4123076923076923	0.257396449704142	0.34394904458598724	0.43564356435643564	0.27648578811369506	109.0	137.0	85.0	24.0	52.0	27.0
subimage_F1	1642	0.3239015856143148	0.3532943576569259	0.239067055393586	0.3371266693646297	0.4046242774566474	0.2597208761387866	0.3664855116172461	0.4192634560906516	0.28791745529534735	120.0	143.0	91.0	28.0	49.0	25.0
subimage_E1	7266	0.32432432432432434	0.38372093023255816	0.20569620253164558	0.3343108504398827	0.4388059701492537	0.22727272727272727	0.3524590163934426	0.4597014925373134	0.2767129252204847	119.0	156.0	80.0	38.0	74.0	37.0
subimage_D1	5685	0.3194888178913738	0.38930437557337166	0.21185451094468857	0.3323076923076923	0.434640522875817	0.23397435897435898	0.347953216374269	0.45482866043613707	0.2701616161616162	112.0	146.0	79.0	32.0	67.0	35.0
subimage_C1	8372	0.3159722222222222	0.39080174927113703	0.2315112540192926	0.32439678284182305	0.4251497005988024	0.2508250825082508	0.33771659673861326	0.4419475655430712	0.2797427652733119	101.0	132.0	78.0	23.0	54.0	31.0
subimage_B1	2037	0.3181818181818182	0.3526623459143475	0.2514434440814809	0.3284132841328413	0.4014336917562724	0.27044025157232704	0.36593067683618263	0.41017628205128204	0.2866941931788348	92.0	112.0	75.0	16.0	36.0	20.0
subimage_A1	2130	0.3222591362126246	0.3182116788321168	0.25	0.3312397704640019	0.3904761904761905	0.2799456521739131	0.3727821939586645	0.40411783338612606	0.3225134516397148	100.0	119.0	85.0	17.0	34.0	18.0
subimage_H2	851	0.31381962864721485	0.34763785104649925	0.2525956529549129	0.32550335570469796	0.39361702127659576	0.2805755395683453	0.373308563552466	0.4068965517241379	0.29671497873869557	97.0	118.0	83.0	14.0	33.0	21.0
subimage_G2	4160	0.3137254901960784	0.34344967244328267	0.23075854700854703	0.33903133903133903	0.4098360655737705	0.25448028673835127	0.36507936507936506	0.4271219351653776	0.29555933584290767	119.0	143.0	89.0	31.0	51.0	25.0
subimage_F2	2762	0.3181818181818182	0.37941266192766643	0.22525428654460913	0.3324465827083628	0.41568627450980394	0.25290697674418605	0.35883827409591806	0.4377861677123239	0.27586206896551724	110.0	135.0	84.0	27.0	50.0	26.0
subimage_E2	1173	0.31875	0.38005390835579517	0.25047021943573666	0.3333333333333333	0.3952802359882006	0.2715736040609137	0.35950256878090936	0.41009463722397477	0.28715973425018737	112.0	133.0	91.0	21.0	41.0	21.0
subimage_D2	4845	0.32448377581120946	0.3543441226575809	0.21428571428571427	0.339572192513369	0.42933333333333334	0.22926829268292684	0.36576322971558045	0.45454545454545453	0.28320425094618645	122.0	154.0	83.0	39.0	70.0	31.0
subimage_C2	9178	0.3213213213213213	0.3824228028503563	0.1994219653179191	0.336986301369863	0.43699731903485256	0.22946175637393768	0.34849094158745636	0.4603658536585366	0.27962403384331563	121.0	157.0	81.0	37.0	72.0	36.0
subimage_B2	9447	0.3274336283185841	0.4015404900414773	0.2127659574468085	0.33676092544987146	0.43922651933701656	0.2236180904522613	0.3458823529411765	0.45012787723785164	0.2600725374037879	130.0	169.0	86.0	43.0	81.0	38.0
subimage_A2	1160	0.32831096422162814	0.3526407995866434	0.2513188028113401	0.3384146341463415	0.3941018766756032	0.26628895184135976	0.36324634770646996	0.40849872469312926	0.29141104294478526	114.0	134.0	90.0	25.0	43.0	19.0
subimage_H3	5830	0.332272920289562	0.3697674418604651	0.20421372076301655	0.34523809523809523	0.421893210955711	0.2320952279882557	0.36556603773584906	0.45674637892485664	0.27030583214793746	129.0	153.0	85.0	41.0	65.0	27.0
subimage_G3	3289	0.31965770876400174	0.38361661984822437	0.23775551594862024	0.3333333333333333	0.4034582132564842	0.26126126126126126	0.3610048384439085	0.42955326460481097	0.27873563218390807	105.0	129.0	82.0	23.0	45.0	23.0
subimage_F3	6476	0.33249210448925315	0.3611707422990418	0.21195652173913043	0.34549878345498786	0.42643391521197005	0.2283464566929134	0.3804112893121163	0.44080604534005036	0.27297255627505396	139.0	171.0	90.0	48.0	77.5	32.0
subimage_E3	1650	0.35714285714285715	0.3430633830610151	0.27073588000937426	0.3664	0.34726688102893893	0.2864364193850609	0.3774745709548774	0.3541284403669725	0.2975900346020761	220.0	208.0	173.0	48.0	37.0	-12.0
subimage_D3	8246	0.3173076923076923	0.39800995024875624	0.1956521739130435	0.3295774647887324	0.4405797101449275	0.22888283378746593	0.34794520547945207	0.4725839229263887	0.2704672343785247	116.0	154.0	80.0	35.0	74.0	39.0
subimage_C3	7736	0.31493506493506496	0.38613861386138615	0.2112559847534049	0.33045977011494254	0.4290076834135243	0.24	0.35635029020143394	0.45454545454545453	0.27143846458250886	108.0	140.5	78.0	30.0	61.0	32.0
subimage_B3	8976	0.3263157894736842	0.3851508120649652	0.2	0.33618233618233617	0.4360313315926893	0.23015873015873015	0.3479381443298969	0.4645581014729951	0.27294259732878656	121.0	157.0	82.0	36.0	72.0	36.0
subimage_A3	13531	0.32228915662650603	0.4008859629328022	0.20555555555555555	0.3333333333333333	0.4483870967741935	0.21694915254237288	0.3473684210526316	0.4606741573033708	0.2622962821492233	122.0	164.0	79.0	42.0	85.0	41.0
subimage_H4	4325	0.31778904908342986	0.3837335009428033	0.21212121212121213	0.3294460641399417	0.4227405247813411	0.2471590909090909	0.3626683175978951	0.4507936507936508	0.2777777777777778	112.0	144.0	83.0	28.0	60.0	31.0
subimage_G4	5510	0.33099695735387935	0.3745689400475082	0.2222222222222222	0.3449367088607595	0.39935064935064934	0.25625	0.37037037037037035	0.4292325164147199	0.2782874617737003	115.0	132.0	84.5	30.0	46.0	19.0
subimage_F4	3663	0.34408602150537637	0.34578531175186966	0.2299168975069252	0.3579454253611557	0.3883495145631068	0.2475	0.37458137293804206	0.42048517520215634	0.29362117557142514	156.0	166.0	105.0	43.0	58.0	12.0
subimage_E4	3239	0.34269662921348315	0.348738732753084	0.22458348187759952	0.35648148148148145	0.4047058823529412	0.23834196891191708	0.37526698703569233	0.4175257731958763	0.2893772893772894	149.0	167.0	98.0	47.0	68.0	20.0
subimage_D4	3837	0.32969428391771716	0.3474178403755869	0.22672064777327935	0.3503184713375796	0.39552238805970147	0.25573770491803277	0.3848797250859107	0.42034761956169703	0.28468167072181666	112.0	126.0	81.0	30.0	45.0	16.0
subimage_C4	2413	0.3137254901960784	0.3954366230228299	0.2009132420091324	0.3231939163498099	0.43812709030100333	0.23859649122807017	0.34268622984341085	0.47767857142857145	0.26921090589270014	98.0	134.0	73.0	26.0	61.0	35.0
subimage_B4	2137	0.3157894736842105	0.3782894736842105	0.25460442488126955	0.3344594594594595	0.3853820598006645	0.27835051546391754	0.35522870769929593	0.4135608806188132	0.29276315789473684	97.0	113.0	81.0	16.0	32.0	15.0
subimage_A4	4462	0.32459016393442625	0.35968379446640314	0.22364650457572968	0.3323529411764706	0.428125	0.240625	0.36385937374225225	0.44224422442244227	0.2794834087481146	109.0	140.0	78.0	31.0	60.0	31.0
