experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_inoc,date_germ,date_ster,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,1,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,1,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,1,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,1,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,1,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,1,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,1,WCS365,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,1,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,2,ATL4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,2,ATR3A3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,2,MOCK,ATR2A1,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,2,ATL4B3,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,2,ATD3B1,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,2,ATY4B2,ATR2A1,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
