experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,1,WCS365,N2C3,col0,0.1,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,1,WCS365,N2C3,col0,0.01,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,1,WCS365,N2C3,col0,0.001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,1,WCS365,N2C3,col0,0.0001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,1,WCS365,N2C3,col0,0.1,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,1,WCS365,N2C3,col0,0.01,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,1,WCS365,N2C3,col0,0.001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,1,WCS365,N2C3,col0,0.0001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,2,WCS365,N2C3,col0,0.1,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,2,WCS365,N2C3,col0,0.01,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,2,WCS365,N2C3,col0,0.001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,2,WCS365,N2C3,col0,0.0001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,2,WCS365,N2C3,col0,0.1,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,2,WCS365,N2C3,col0,0.01,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,2,WCS365,N2C3,col0,0.001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,2,WCS365,N2C3,col0,0.0001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,3,WCS365,N2C3,col0,0.1,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,3,WCS365,N2C3,col0,0.01,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,3,WCS365,N2C3,col0,0.001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,3,WCS365,N2C3,col0,0.0001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,3,WCS365,N2C3,col0,0.1,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,3,WCS365,N2C3,col0,0.01,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,3,WCS365,N2C3,col0,0.001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,3,WCS365,N2C3,col0,0.0001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,4,WCS365,N2C3,col0,0.1,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,4,WCS365,N2C3,col0,0.01,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,4,WCS365,N2C3,col0,0.001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,4,WCS365,N2C3,col0,0.0001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,4,WCS365,N2C3,col0,0.1,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,4,WCS365,N2C3,col0,0.01,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,4,WCS365,N2C3,col0,0.001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,4,WCS365,N2C3,col0,0.0001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,5,WCS365,N2C3,col0,0.1,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,5,WCS365,N2C3,col0,0.01,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,5,WCS365,N2C3,col0,0.001,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,5,WCS365,N2C3,col0,0.0001,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,5,WCS365,N2C3,col0,0.1,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,5,WCS365,N2C3,col0,0.01,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,5,WCS365,N2C3,col0,0.001,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,5,WCS365,N2C3,col0,0.0001,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,6,WCS365,MOCK,col0,0.1,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,6,WCS365,MOCK,col0,0.01,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,6,WCS365,MOCK,col0,0.001,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,6,WCS365,MOCK,col0,0.0001,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,6,WCS365,MOCK,col0,0.1,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,6,WCS365,MOCK,col0,0.01,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,6,WCS365,MOCK,col0,0.001,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,6,WCS365,MOCK,col0,0.0001,0,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,7,WCS365,N2C3,col0,0.1,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,7,WCS365,N2C3,col0,0.01,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,7,WCS365,N2C3,col0,0.001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,7,WCS365,N2C3,col0,0.0001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,7,WCS365,N2C3,col0,0.1,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,7,WCS365,N2C3,col0,0.01,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,7,WCS365,N2C3,col0,0.001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,7,WCS365,N2C3,col0,0.0001,0.1,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,8,WCS365,N2C3,col0,0.1,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,8,WCS365,N2C3,col0,0.01,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,8,WCS365,N2C3,col0,0.001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,8,WCS365,N2C3,col0,0.0001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,8,WCS365,N2C3,col0,0.1,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,8,WCS365,N2C3,col0,0.01,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,8,WCS365,N2C3,col0,0.001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,8,WCS365,N2C3,col0,0.0001,0.01,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,9,WCS365,N2C3,col0,0.1,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,9,WCS365,N2C3,col0,0.01,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,9,WCS365,N2C3,col0,0.001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,9,WCS365,N2C3,col0,0.0001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,9,WCS365,N2C3,col0,0.1,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,9,WCS365,N2C3,col0,0.01,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,9,WCS365,N2C3,col0,0.001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,9,WCS365,N2C3,col0,0.0001,0.001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,10,WCS365,N2C3,col0,0.1,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,10,WCS365,N2C3,col0,0.01,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,C,10,WCS365,N2C3,col0,0.001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,D,10,WCS365,N2C3,col0,0.0001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,E,10,WCS365,N2C3,col0,0.1,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,F,10,WCS365,N2C3,col0,0.01,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,G,10,WCS365,N2C3,col0,0.001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,H,10,WCS365,N2C3,col0,0.0001,0.0001,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,A,11,WCS365,N2C3,col0,0.1,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
2023-05-24_age_concentration,N2C3_WCS365_5day001_a,B,11,WCS365,N2C3,col0,0.01,1E-05,2023-05-15,2023-05-19,2023-05-24,2023-05-31,12_12,140,23_20,0.5,0.5,5.8,
