experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,A,1,WCS365,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,B,1,WCS365,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,C,1,WCS365,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,D,1,MOCK,N2C3-L,col0,0,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,E,1,MOCK,N2C3-L,col0,0,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,F,1,CHAO,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,G,1,CHAO,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,H,1,CHAO,N2C3-L,col0,0.001,0.001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,A,2,WCS365,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,B,2,WCS365,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,C,2,WCS365,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,D,2,MOCK,N2C3-L,col0,0,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,E,2,MOCK,N2C3-L,col0,0,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,F,2,CHAO,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,G,2,CHAO,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,H,2,CHAO,N2C3-L,col0,0.001,0.01,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,A,3,WCS365,N2C3-L,col0,0.001,0.0001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,B,3,WCS365,N2C3-L,col0,0.001,0.0001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,C,3,WCS365,N2C3-L,col0,0.001,0.0001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,D,3,MOCK,N2C3-L,col0,0,0.0001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
2023-07-05_plantmutants,scan_col0_allstrains_5day001_a,E,3,MOCK,N2C3-L,col0,0,0.0001,2023-06-26,2023-06-30,2023-07-05,2023-07-12,12_12,110,23_23,0.5,0.5,5.8,
