experiment,plate,row,col,protect,protect_v2,protect2,path,path_v2,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,1,WCS365,WCS365,NA,N2C3,N2C3,col0,0.01,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,B,1,WCS365,WCS365,NA,N2C3,N2C3,col0,0.01,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,C,1,WCS365,WCS365,NA,N2C3,N2C3,col0,0.01,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,D,1,WCS365,WCS365,NA,MOCK,N2C3,col0,0.01,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,E,1,CHAO,CHAO,NA,N2C3,N2C3,col0,0.01,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,F,1,CHAO,CHAO,NA,N2C3,N2C3,col0,0.01,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,G,1,CHAO,CHAO,NA,N2C3,N2C3,col0,0.01,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,H,1,CHAO,CHAO,NA,MOCK,N2C3,col0,0.01,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,2,WCS365,WCS365,NA,N2C3,N2C3,col0,0.001,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,B,2,WCS365,WCS365,NA,N2C3,N2C3,col0,0.001,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,C,2,WCS365,WCS365,NA,N2C3,N2C3,col0,0.001,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
