plate	experiment	row	col	StrainMix	protect	path	lacZ_path	plant	protect_od	path_od	date_inoc	date_germ	date_ster	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	protect_v2	path_v2	protect2	path_od_adj	path_od_actual	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	subimage.all_plant_pixels.ratio_r_q5.ratio_g_q5.ratio_b_q5.ratio_r_median.ratio_g_median.ratio_b_median.ratio_r_q95.ratio_g_q95.ratio_b_q95.pix_r_median.pix_g_median.pix_b_median.diff_rb_median.diff_gb_median.diff_gr_median
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	C	3	MOCK-MOCK	MOCK	MOCK	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	C3	8043	0.355679702048417	0.340753424657534	0.220788677342075	0.381551362683438	0.349473684210526	0.267822736030829	0.414965986394558	0.369439071566731	0.302768166089965	203	187	141	60	43	-15	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	G	3	WCS365-MOCK	WCS365	MOCK	NA	col0	8.33333333333333e-06	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1e-05	4.99999999999999	1	4.99999999999999-1	3340.10416666667	668.020833333335	4008.125	3.52389001598632	2.82543964192452	3.6030495972742	6	G3	6729	0.340061518159501	0.379567669437295	0.187861271676301	0.355889724310777	0.423913043478261	0.219814241486068	0.373225958622549	0.450793650793651	0.267561761546724	127	152	78	47	71	24	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	C	4	MOCK-MOCK	MOCK	MOCK	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	C4	8691	0.355885652925102	0.349075975359343	0.191709844559585	0.381067961165049	0.375870069605568	0.230337078651685	0.403225806451613	0.424170616113744	0.293501048218029	174	175	111	67	67	-3	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	G	4	WCS365-MOCK	WCS365	MOCK	NA	col0	8.33333333333333e-06	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1e-05	4.99999999999999	1	4.99999999999999-1	3340.10416666667	668.020833333335	4008.125	3.52389001598632	2.82543964192452	3.6030495972742	6	G4	31343	0.328813559322034	0.395607062840073	0.191575469750155	0.343108504398827	0.440251572327044	0.216129032258065	0.36231884057971	0.462783171521036	0.265345029064541	112	144	71	41	72	32	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	H	4	MOCK-MOCK	MOCK	MOCK	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	H4	32	0.328931202588374	0.382395418504722	0.234256712438906	0.333782569631626	0.411942959001783	0.252055153612247	0.336675101214575	0.432053559678905	0.283612184587406	106.5	132.5	83	25	49	24.5	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	C	5	MOCK-N2C3	MOCK	N2C3	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	C5	7721	0.346820809248555	0.372315035799523	0.197568389057751	0.368956743002545	0.404040404040404	0.223194748358862	0.384105960264901	0.439344262295082	0.27007299270073	146	159	90	55	72	13	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	G	5	WCS365-N2C3	WCS365	N2C3	NA	col0	8.33333333333333e-06	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1e-05	4.99999999999999	1	4.99999999999999-1	3340.10416666667	668.020833333335	4008.125	3.52389001598632	2.82543964192452	3.6030495972742	6	G5	17622	0.33641975308642	0.386793489529339	0.149295774647887	0.353099730458221	0.447887323943662	0.2	0.377643504531722	0.487257063530949	0.26436663840211	122	153	68	51	82	31	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	C	6	MOCK-N2C3	MOCK	N2C3	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	C6	10272	0.333333333333333	0.387096774193548	0.173228937127854	0.348591549295775	0.435782500377472	0.215170694284618	0.363636363636364	0.474539714190761	0.266666666666667	113	141	71	43	71	28	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	G	6	WCS365-N2C3	WCS365	N2C3	NA	col0	8.33333333333333e-06	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1e-05	4.99999999999999	1	4.99999999999999-1	3340.10416666667	668.020833333335	4008.125	3.52389001598632	2.82543964192452	3.6030495972742	6	G6	20303	0.337142857142857	0.374407582938389	0.171779141104294	0.352617079889807	0.439169139465875	0.21038961038961	0.370687356321839	0.465559988600741	0.270880361173815	126	157	74	49	79	31	NA
final_scan_polymyxan2c3001_cropped	2022-12-06_athal_96_polymyxan2c3	A	7	MOCK-MOCK	MOCK	MOCK	NA	col0	0	1.66666666666667e-06	2022-11-29	2022-11-23	2022-11-21	2022-12-06	NA	NA	NA	0.5	0.5	5.8	NA	NA	NA	NA	1.66666666666667e-06	1.66666666666667e-06	1.66666666666667e-06	0	1	0-1	0	668.020833333335	668.020833333335	0	2.82543964192452	2.82543964192452	6	A7	10933	0.334355828220859	0.354401805869074	0.209269338611249	0.358744394618834	0.393188854489164	0.245098039215686	0.384441393338418	0.442028985507246	0.286909304630824	121	135	84	37	51	11	NA
