person,set,rank,id,healthy
AB,1,1,7713,F
AB,1,2,1295,F
AB,1,3,939,F
AB,1,4,2641,F
AB,1,5,1275,F
AB,1,6,81,T
AB,1,7,2603,T
AB,1,8,3344,T
AB,1,9,1361,T
AB,1,10,,
AB,2,1,7045,F
AB,2,2,7596,F
AB,2,3,7619,F
AB,2,4,7396,F
AB,2,5,60,F
AB,2,6,3208,F
AB,2,7,1639,F
AB,2,8,4277,T
AB,2,9,2603,T
AB,2,10,6588,T
AB,3,1,7713,F
AB,3,2,6719,F
AB,3,3,1571,F
AB,3,4,911,T
AB,3,5,6255,T
AB,3,6,6034,T
AB,3,7,1951,T
AB,3,8,2603,T
AB,3,9,1149,T
AB,3,10,6797,T
AB,4,1,465,T
AB,4,2,6470,T
AB,4,3,4512,T
AB,4,4,366,T
AB,4,5,3443,T
AB,4,6,5158,F
AB,4,7,3419,F
AB,4,8,2069,F
AB,4,9,2603,F
AB,4,10,5033,F
AB,5,1,4766,F
AB,5,2,5942,F
AB,5,3,3256,F
AB,5,4,4337,T
AB,5,5,6782,T
AB,5,6,4735,T
AB,5,7,2395,T
AB,5,8,5158,T
AB,5,9,1439,T
AB,5,10,2603,T
AB,6,1,7713,T
AB,6,2,6750,T
AB,6,3,2376,T
AB,6,4,618,T
AB,6,5,1560,T
AB,6,6,7085,T
AB,6,7,1529,F
AB,6,8,2603,F
AB,6,9,1000,F
AB,6,10,3849,F
AB,7,1,1321,F
AB,7,2,60,F
AB,7,3,6879,F
AB,7,4,6598,F
AB,7,5,1922,F
AB,7,6,1907,F
AB,7,7,2603,T
AB,7,8,4167,T
AB,7,9,5344,T
AB,7,10,3082,T
AB,8,1,3150,F
AB,8,2,7713,F
AB,8,3,6496,F
AB,8,4,944,F
AB,8,5,4095,F
AB,8,6,5158,T
AB,8,7,1816,T
AB,8,8,3749,T
AB,8,9,7293,T
AB,8,10,6724,T
AB,9,1,11,F
AB,9,2,270,F
AB,9,3,7713,F
AB,9,4,4000,F
AB,9,5,7647,F
AB,9,6,1940,F
AB,9,7,5158,T
AB,9,8,1693,T
AB,9,9,2121,T
AB,9,10,2757,T
AB,10,1,7274,F
AB,10,2,6967,F
AB,10,3,7713,F
AB,10,4,3235,F
AB,10,5,60,F
AB,10,6,363,F
AB,10,7,6071,F
AB,10,8,1356,T
AB,10,9,4505,T
AB,10,10,5324,T
LF,1,1,7713,F
LF,1,2,939,F
LF,1,3,2641,F
LF,1,4,1275,T
LF,1,5,1295,T
LF,1,6,81,T
LF,1,7,2603,T
LF,1,8,1361,T
LF,1,9,3344,T
LF,1,10,,
LF,2,1,7045,F
LF,2,2,7596,F
LF,2,3,60,F
LF,2,4,7619,F
LF,2,5,7396,T
