UniqueID,experiment,plate,well,Healthiness,row
ID__2023_05_03_age_concentration__age_concentration_n2c3001_cropped__A__11,2023-05-03_age_concentration,age_concentration_n2c3001_cropped,A11,538.56577397885,81
ID__2023_05_03_age_concentration__age_concentration_n2c3001_cropped__C__2,2023-05-03_age_concentration,age_concentration_n2c3001_cropped,C2,43.8800765506182,11
ID__2023_05_03_age_concentration__age_concentration_n2c3001_cropped__D__8,2023-05-03_age_concentration,age_concentration_n2c3001_cropped,D8,137.517146980279,60
ID__2023_05_10_age_concentration__N2C3_MYC003_cropped__A__1,2023-05-10_age_concentration,N2C3_MYC003_cropped,A1,304.303915284202,366
ID__2023_05_10_age_concentration__WCS365_IH002_cropped__A__1,2023-05-10_age_concentration,WCS365_IH002_cropped,A1,296.537737125476,270
ID__2023_05_10_age_concentration__WCS365_IH002_cropped__F__12,2023-05-10_age_concentration,WCS365_IH002_cropped,F12,546.264941170204,363
ID__2023_05_10_age_concentration__WCS365_MYC004_cropped__D__1,2023-05-10_age_concentration,WCS365_MYC004_cropped,D1,249.623159616595,465
ID__2023_05_16_basiceffects_n2c3__IH_300_002_cropped__B__10,2023-05-16_basiceffects_n2c3,IH_300_002_cropped,B10,458.092286561218,911
ID__2023_05_16_basiceffects_n2c3__MYC_275_003_cropped__E__8,2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E8,495.691368884728,618
ID__2023_05_16_basiceffects_n2c3__MYC_SH_275_005_cropped__C__2,2023-05-16_basiceffects_n2c3,MYC_SH_275_005_cropped,C2,490.691786465106,944
ID__2023_05_16_basiceffects_n2c3__MYC_SH_275_005_cropped__C__9,2023-05-16_basiceffects_n2c3,MYC_SH_275_005_cropped,C9,533.041801329275,1000
ID__2023_05_16_basiceffects_n2c3__MYC_SH_275_005_cropped__F__1,2023-05-16_basiceffects_n2c3,MYC_SH_275_005_cropped,F1,132.766053153166,939
ID__2023_05_24_age_concentration__N2C3_WCS365_5day001_b__H__3,2023-05-24_age_concentration,N2C3_WCS365_5day001_b,H3,541.073656253078,1149
ID__2023_05_24_age_concentration__N2C3_WCS365_6day002_cropped__B__10,2023-05-24_age_concentration,N2C3_WCS365_6day002_cropped,B10,507.158488774161,1295
ID__2023_05_24_age_concentration__N2C3_WCS365_6day002_cropped__F__7,2023-05-24_age_concentration,N2C3_WCS365_6day002_cropped,F7,428.056853713279,1275
ID__2023_05_24_age_concentration__N2C3_WCS365_DAY7_003_a__D__1,2023-05-24_age_concentration,N2C3_WCS365_DAY7_003_a,D1,30.6063957309591,1321
ID__2023_05_24_age_concentration__N2C3_WCS365_DAY7_003_a__D__6,2023-05-24_age_concentration,N2C3_WCS365_DAY7_003_a,D6,613.662570476616,1361
ID__2023_05_24_age_concentration__N2C3_WCS365_DAY7_003_a__G__5,2023-05-24_age_concentration,N2C3_WCS365_DAY7_003_a,G5,517.517005680331,1356
ID__2023_05_24_age_concentration__N2C3_WCS365_DAY7_003_b__B__4,2023-05-24_age_concentration,N2C3_WCS365_DAY7_003_b,B4,544.158449394289,1439
ID__2023_05_30_ccppwn__CH267_CHA0_001_a__C__10,2023-05-30_ccppwn,CH267_CHA0_001_a,C10,289.22094236593,1529
ID__2023_05_30_ccppwn__CH267_CHA0_001_b__B__12,2023-05-30_ccppwn,CH267_CHA0_001_b,B12,423.694123520047,1639
ID__2023_05_30_ccppwn__CH267_CHA0_001_b__B__2,2023-05-30_ccppwn,CH267_CHA0_001_b,B2,296.870896466563,1560
ID__2023_05_30_ccppwn__CH267_CHA0_001_b__E__3,2023-05-30_ccppwn,CH267_CHA0_001_b,E3,395.513022250031,1571
ID__2023_05_30_ccppwn__PF5_PO6_002_a__E__7,2023-05-30_ccppwn,PF5_PO6_002_a,E7,376.633975370054,1693
ID__2023_05_30_ccppwn__PF5_PO6_002_b__H__10,2023-05-30_ccppwn,PF5_PO6_002_b,H10,379.828635357745,1816
ID__2023_05_30_ccppwn__WCS365_PAO1_003_a__C__12,2023-05-30_ccppwn,WCS365_PAO1_003_a,C12,407.994724162197,1922
ID__2023_05_30_ccppwn__WCS365_PAO1_003_a__D__10,2023-05-30_ccppwn,WCS365_PAO1_003_a,D10,449.895570273073,1907
ID__2023_06_07_ccpwn__ccpwn001_a__A__4,2023-06-07_ccpwn,ccpwn001_a,A4,568.952989558222,1951
ID__2023_06_07_ccpwn__ccpwn001_a__F__2,2023-06-07_ccpwn,ccpwn001_a,F2,354.814139583485,1940
ID__2023_06_07_ccpwn__ccpwn001_b__G__6,2023-06-07_ccpwn,ccpwn001_b,G6,508.31174735514,2069
ID__2023_06_07_ccpwn__ccpwn002_a__C__1,2023-06-07_ccpwn,ccpwn002_a,C1,444.563155636365,2121
ID__2023_06_14_age_concentration_Pf5_PROPER__N2C3_PF5_5day_001_a__H__8,2023-06-14_age_concentration_Pf5_PROPER,N2C3_PF5_5day_001_a,H8,457.797562051291,2757
ID__2023_06_14_age_concentration_Pf5_PROPER__N2C3_WCS365_5day_002_a__B__9,2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,B9,436.527401229172,2376
ID__2023_06_14_age_concentration_Pf5_PROPER__N2C3_WCS365_5day_002_a__E__11,2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,E11,463.338759161029,2395
ID__2023_06_14_age_concentration_Pf5_PROPER__N2C3_WCS365_5day_002_b__C__6,2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_b,C6,34.5757914699576,2641
ID__2023_06_14_age_concentration_Pf5_PROPER__N2C3_WCS365_5day_002_b__E__1,2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_b,E1,465.567179596749,2603
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_CHAO_CH267_Day6_004_a__A__12,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_CHAO_CH267_Day6_004_a,A12,295.036485437612,3550
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_CHAO_CH267_Day7_003_a__C__10,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_CHAO_CH267_Day7_003_a,C10,756.446868045364,3344
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_CHAO_CH267_Day7_003_b__F__10,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_CHAO_CH267_Day7_003_b,F10,720.210782689452,3443
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_CHAO_CH267_Day7_003_b__F__7,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_CHAO_CH267_Day7_003_b,F7,557.744072267504,3419
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_Day5_002_a__A__10,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_Day5_002_a,A10,341.580371688,3150
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_Day5_002_a__E__1,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_Day5_002_a,E1,686.533270793886,3082
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_Day5_002_b__C__5,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_Day5_002_b,C5,612.517405034944,3208
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_Day5_002_b__E__11,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_Day5_002_b,E11,137.402832184432,3258
ID__2023_06_21_ac_ccpwn__scan_Pf5_WCS365_Day5_002_b__F__8,2023-06-21_ac_ccpwn,scan_Pf5_WCS365_Day5_002_b,F8,134.011418593398,3235
ID__2023_06_27_ac_ccpwn__scan_WCS365_CHAO_PF5_CH267_Day5001_a__H__12,2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,H12,681.538640201967,3749
ID__2023_06_27_ac_ccpwn__scan_WCS365_CHAO_PF5_CH267_Day6002_a__D__1,2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day6002_a,D1,743.815391473531,3849
ID__2023_06_27_ac_ccpwn__scan_WCS365_CHAO_PF5_CH267_Day6002_b__C__8,2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day6002_b,C8,431.690662308646,4000
ID__2023_06_27_ac_ccpwn__scan_WCS365_CHAO_PF5_CH267_Day7003_a__B__8,2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day7003_a,B8,633.270898888918,4095
