plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
WCS365Neon-N2C3Crim-A,A,1,45927,63968,1066.66666666667,3866.66666666667
WCS365Neon-N2C3Crim-A,B,1,123170,2291,4266.66666666667,133.333333333333
WCS365Neon-N2C3Crim-A,C,1,209159,1781,2733.33333333333,0
WCS365Neon-N2C3Crim-A,D,1,134731,2293,1833.33333333333,0
WCS365Neon-N2C3Crim-A,E,1,118779,113072,,
WCS365Neon-N2C3Crim-A,F,1,308886,4845,,
WCS365Neon-N2C3Crim-A,G,1,149894,2293,,
WCS365Neon-N2C3Crim-A,H,1,121516,4082,,
WCS365Neon-N2C3Crim-A,A,2,16415,73751,66.6666666666667,5200
WCS365Neon-N2C3Crim-A,B,2,75555,47102,2400,2400
WCS365Neon-N2C3Crim-A,C,2,182908,4327,1633.33333333333,100
WCS365Neon-N2C3Crim-A,D,2,145399,4077,1400,0
WCS365Neon-N2C3Crim-A,E,2,20686,165597,,
WCS365Neon-N2C3Crim-A,F,2,141632,48194,,
WCS365Neon-N2C3Crim-A,G,2,165399,3059,,
WCS365Neon-N2C3Crim-A,H,2,108467,3316,,
WCS365Neon-N2C3Crim-A,A,3,17520,139596,0,4166.66666666667
WCS365Neon-N2C3Crim-A,B,3,20112,77135,133.333333333333,2600
WCS365Neon-N2C3Crim-A,C,3,190595,78917,366.666666666667,633.333333333333
WCS365Neon-N2C3Crim-A,D,3,301168,17838,1166.66666666667,0
WCS365Neon-N2C3Crim-A,E,3,15216,120273,,
WCS365Neon-N2C3Crim-A,F,3,22930,179540,,
WCS365Neon-N2C3Crim-A,G,3,182152,50995,,
WCS365Neon-N2C3Crim-A,H,3,150722,8165,,
WCS365Neon-N2C3Crim-A,A,4,14921,102262,0,4700
WCS365Neon-N2C3Crim-A,B,4,18367,220214,0,4566.66666666667
WCS365Neon-N2C3Crim-A,C,4,24745,168822,53.3333333333333,1833.33333333333
WCS365Neon-N2C3Crim-A,D,4,17176,140402,766.666666666667,0
WCS365Neon-N2C3Crim-A,E,4,24055,238563,,
WCS365Neon-N2C3Crim-A,F,4,21319,167763,,
WCS365Neon-N2C3Crim-A,G,4,16763,143059,,
WCS365Neon-N2C3Crim-A,H,4,15154,112765,,
WCS365Neon-N2C3Crim-A,A,5,92212,146548,1566.66666666667,2033.33333333333
WCS365Neon-N2C3Crim-A,B,5,195271,10437,3433.33333333333,100
WCS365Neon-N2C3Crim-A,C,5,327055,3310,1233.33333333333,0
WCS365Neon-N2C3Crim-A,D,5,300431,2803,1100,0
WCS365Neon-N2C3Crim-A,E,5,131556,89710,,
WCS365Neon-N2C3Crim-A,F,5,437930,9434,,
WCS365Neon-N2C3Crim-A,G,5,237682,4080,,
WCS365Neon-N2C3Crim-A,H,5,444880,3826,,
WCS365Neon-N2C3Crim-A,A,6,23040,234053,66.6666666666667,14333.3333333333
WCS365Neon-N2C3Crim-A,B,6,190977,119389,3366.66666666667,2833.33333333333
WCS365Neon-N2C3Crim-A,C,6,536142,8403,2266.66666666667,66.6666666666667
WCS365Neon-N2C3Crim-A,D,6,566550,4841,566.666666666667,0
WCS365Neon-N2C3Crim-A,E,6,33107,321453,,
WCS365Neon-N2C3Crim-A,F,6,224037,104787,,
WCS365Neon-N2C3Crim-A,G,6,137917,4590,,
WCS365Neon-N2C3Crim-A,H,6,139245,4847,,
WCS365Neon-N2C3Crim-A,A,7,20530,122788,0,3266.66666666667
WCS365Neon-N2C3Crim-A,B,7,21229,99275,200,14000
WCS365Neon-N2C3Crim-A,C,7,222584,102128,766.666666666667,733.333333333333
WCS365Neon-N2C3Crim-A,D,7,534817,8154,316.666666666667,0
WCS365Neon-N2C3Crim-A,E,7,25036,362206,,
WCS365Neon-N2C3Crim-A,F,7,24679,168535,,
WCS365Neon-N2C3Crim-A,G,7,73927,123445,,
WCS365Neon-N2C3Crim-A,H,7,256817,9948,,
WCS365Neon-N2C3Crim-A,A,8,18842,170129,0,1533.33333333333
WCS365Neon-N2C3Crim-A,B,8,20535,185300,0,33333
WCS365Neon-N2C3Crim-A,C,8,26977,241460,66.6666666666667,1133.33333333333
WCS365Neon-N2C3Crim-A,D,8,22715,108022,473.333333333333,0
WCS365Neon-N2C3Crim-A,E,8,22651,164925,,
WCS365Neon-N2C3Crim-A,F,8,16207,104020,,
WCS365Neon-N2C3Crim-A,G,8,14800,73961,,
WCS365Neon-N2C3Crim-A,H,8,16558,80350,,
WCS365Neon-N2C3Crim-A,A,9,98193,60022,,
WCS365Neon-N2C3Crim-A,B,9,175178,9163,,
WCS365Neon-N2C3Crim-A,C,9,207921,3056,,
WCS365Neon-N2C3Crim-A,D,9,254397,4076,,
WCS365Neon-N2C3Crim-A,E,9,122038,105786,,
WCS365Neon-N2C3Crim-A,F,9,326528,7393,,
WCS365Neon-N2C3Crim-A,G,9,205348,2806,,
WCS365Neon-N2C3Crim-A,H,9,187081,3061,,
WCS365Neon-N2C3Crim-A,A,10,15835,86246,,
WCS365Neon-N2C3Crim-A,B,10,141516,131330,,
WCS365Neon-N2C3Crim-A,C,10,368388,3566,,
WCS365Neon-N2C3Crim-A,D,10,389230,4331,,
WCS365Neon-N2C3Crim-A,E,10,22791,154714,,
WCS365Neon-N2C3Crim-A,F,10,225941,100187,,
WCS365Neon-N2C3Crim-A,G,10,396567,4591,,
WCS365Neon-N2C3Crim-A,H,10,224267,2806,,
WCS365Neon-N2C3Crim-A,A,11,15546,152161,,
WCS365Neon-N2C3Crim-A,B,11,18567,132537,,
WCS365Neon-N2C3Crim-A,C,11,238076,80752,,
WCS365Neon-N2C3Crim-A,D,11,124276,7640,,
WCS365Neon-N2C3Crim-A,E,11,18934,130267,,
WCS365Neon-N2C3Crim-A,F,11,16064,104488,,
WCS365Neon-N2C3Crim-A,G,11,219844,70148,,
