subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	1273	0.358911149825784	0.34634918942791654	0.24810294968189706	0.3817427385892116	0.3557692307692308	0.2589118198874296	0.39407395236432596	0.36774193548387096	0.29372230273244704	196.0	183.0	134.0	62.0	50.0	-11.0
subimage_G1	1760	0.33157060518731984	0.3856994047619048	0.21288229577545303	0.35097493036211697	0.41849838969404185	0.2286107831562377	0.36385211940218193	0.4339622641509434	0.272078173374613	128.0	152.0	83.0	44.0	68.0	24.0
subimage_F1	1922	0.325235222065962	0.38502747863184555	0.24	0.33774834437086093	0.40752351097178685	0.25617283950617287	0.35436820315461093	0.41860093617653615	0.27850471702162355	107.0	130.0	81.0	26.0	48.0	22.0
subimage_E1	2178	0.32437362905191325	0.38958988380041015	0.218534698647671	0.33724340175953077	0.41690962099125367	0.24620060790273557	0.35172714514835607	0.43630573248407645	0.27806560134566866	115.0	143.0	84.0	31.0	58.0	27.0
subimage_D1	1041	0.32781456953642385	0.3645320197044335	0.23202614379084968	0.3395638629283489	0.402555910543131	0.25806451612903225	0.3614931237721022	0.4217687074829932	0.28807339449541286	115.0	137.0	87.0	28.0	49.0	22.0
subimage_C1	1954	0.33915211970074816	0.36410544424205626	0.22093949515876707	0.35276073619631904	0.40860215053763443	0.23821989528795812	0.37639372056839504	0.42670002651113464	0.2761548846939768	127.0	149.0	86.0	42.0	61.0	20.0
subimage_B1	947	0.32054945054945055	0.36506349365063495	0.24074836683603182	0.3424317617866005	0.3983739837398374	0.25977653631284914	0.36295732280503856	0.41911362564827914	0.2867142708766099	128.0	148.0	96.0	32.0	51.0	21.0
subimage_A1	764	0.3310380134164999	0.34808750138989725	0.22543818466353677	0.34499782925716066	0.3951048951048951	0.2571428571428571	0.3946581356109361	0.4280701754385965	0.28726817764967905	108.0	125.0	81.0	30.0	44.0	17.0
subimage_H2	1178	0.32497881355932207	0.3558564878182316	0.1858581777039834	0.3442028985507246	0.4331557939695937	0.22434678755971532	0.38669991149839994	0.467680608365019	0.2786167002012072	98.0	126.0	63.0	37.0	59.0	27.0
subimage_G2	5025	0.3388212266202697	0.39658952370576733	0.1712709708765612	0.35311572700296734	0.4486486486486487	0.19705882352941176	0.36794582392776526	0.47058823529411764	0.26069301270584766	131.0	164.0	74.0	56.0	90.0	35.0
subimage_F2	5281	0.34349030470914127	0.3825910931174089	0.1872146118721461	0.35714285714285715	0.4303534303534304	0.2076923076923077	0.376953125	0.4521276595744681	0.268389662027833	154.0	182.0	89.0	60.0	92.0	29.0
subimage_E2	4964	0.33746130030959753	0.3862528246132453	0.17755318238239953	0.35135135135135137	0.4451219512195122	0.20539760466119983	0.36867303314641053	0.46534653465346537	0.2639128544047932	129.0	161.0	74.0	51.0	84.0	34.0
subimage_D2	5525	0.3408378243738961	0.3902541936811773	0.1797752808988764	0.35097493036211697	0.444743935309973	0.20437956204379562	0.3660477453580902	0.46467391304347827	0.260349725396124	130.0	166.0	74.0	53.0	87.0	34.0
subimage_C2	2029	0.3577456571520252	0.3450381679389313	0.24028619038802337	0.3790446841294299	0.34968354430379744	0.27099841521394613	0.39572719369879616	0.3690072018814572	0.2963068479576183	229.0	212.0	167.0	66.0	49.0	-16.0
subimage_B2	7024	0.3380869944719232	0.3923493252086596	0.18076295893660127	0.350946607740086	0.44476744186046513	0.20121035669816156	0.36363636363636365	0.47005988023952094	0.25742885280311684	128.0	161.0	72.0	53.0	87.0	34.0
subimage_A2	2016	0.33128359513001193	0.3867812798471824	0.22798529411764706	0.34036144578313254	0.40384615384615385	0.2562114197530864	0.3549520621108303	0.42333941605839415	0.275	108.0	129.0	82.0	27.0	47.0	20.0
subimage_H3	5847	0.34204430782605993	0.3870967741935484	0.18231007361545185	0.3581267217630854	0.43942992874109266	0.20215633423180593	0.3746898263027295	0.45454545454545453	0.2633832976445396	142.0	170.0	79.0	57.0	89.0	31.0
subimage_G3	5542	0.3393939393939394	0.39301761782864025	0.17574257425742573	0.3575268817204301	0.4479768786127168	0.19480519480519481	0.3664890522693798	0.46306589812920196	0.2653061224489796	141.0	174.0	75.0	61.0	94.0	35.0
subimage_F3	7032	0.3384987194438728	0.39293883911180366	0.16863905325443787	0.3507692307692308	0.4540059347181009	0.19571865443425077	0.36472197389594135	0.4759036144578313	0.25913442940038683	122.0	158.0	67.0	54.0	89.0	36.0
subimage_E3	6799	0.34055727554179566	0.3861866583638203	0.17989417989417988	0.3540772532188841	0.4479166666666667	0.2	0.3661616161616162	0.460156516595764	0.2702903896452283	138.0	174.0	75.0	57.0	91.0	35.0
subimage_D3	2355	0.35347856952702106	0.3479713249835201	0.22949631741506296	0.3727598566308244	0.3660531697341513	0.25919117647058826	0.3997188755020079	0.40047004894724575	0.2910207768744354	194.0	190.0	134.0	59.0	56.0	-4.0
subimage_C3	6455	0.3403226790661346	0.39121631214558333	0.17607656270055191	0.3543307086614173	0.4508816120906801	0.195906432748538	0.36446164672765646	0.4659739288385511	0.25949932196675346	131.0	164.0	71.0	55.0	89.0	34.0
subimage_B3	3306	0.35630597484396626	0.3481350754488679	0.21869241400491402	0.3746866853032635	0.36770428015564205	0.2545454545454545	0.38954710144927535	0.4105793450881612	0.28899963086009595	186.0	181.0	125.0	59.0	55.0	-4.0
subimage_A3	1559	0.3311897106109325	0.36406043545700006	0.24502644561980533	0.3392857142857143	0.3961038961038961	0.26245847176079734	0.36242449664429527	0.41233766233766234	0.2837589976006398	104.0	122.0	79.0	24.0	41.0	18.0
subimage_H4	628	0.3304521243651678	0.3789828634604754	0.23869095816464236	0.3391003460207612	0.40540540540540543	0.25501380808107893	0.35662438336856944	0.4207465815427128	0.2802429906542056	102.0	122.0	76.5	26.0	45.0	20.0
subimage_G4	2655	0.3322343068514327	0.38473945409429283	0.19299863201094392	0.3463855421686747	0.4322033898305085	0.2206703910614525	0.37411764705882355	0.44639233954451346	0.2727272727272727	122.0	153.0	78.0	44.0	74.0	30.0
subimage_F4	4962	0.3430245593909688	0.39332092823977205	0.18604651162790697	0.35714285714285715	0.4295612009237875	0.21227621483375958	0.38163148017827825	0.44412607449856734	0.2544022728053009	135.0	161.0	80.0	53.0	81.0	27.0
subimage_E4	3542	0.3333333333333333	0.39474358974358975	0.19485470306333397	0.34323878333779323	0.44508670520231214	0.2125748502994012	0.35276073619631904	0.4582043343653251	0.26424139763518	115.0	149.0	71.0	44.0	78.0	34.0
subimage_D4	9280	0.34065934065934067	0.40195959739828135	0.1727559649652673	0.3512064343163539	0.45722713864306785	0.191044776119403	0.3609467455621302	0.47214076246334313	0.25404345462082184	124.0	161.0	67.0	55.0	91.0	36.0
subimage_C4	7096	0.3431952662721893	0.3790155244089033	0.183995670995671	0.3640897755610973	0.4360587002096436	0.1987704918032787	0.37423312883435583	0.45714285714285713	0.2695783396028344	164.0	191.0	88.0	68.0	97.0	31.0
subimage_B4	7496	0.33955661812649424	0.38833938018120273	0.16025641025641027	0.3531073446327684	0.44173441734417346	0.20689655172413793	0.37142857142857144	0.47383944543828266	0.26270214860873203	126.5	157.0	73.0	53.0	85.0	32.0
subimage_A4	1551	0.33450817243592906	0.36690875189908384	0.2305245377675284	0.3496932515337423	0.40168539325842695	0.2484076433121019	0.36669761734106554	0.41846153846153844	0.2807952348017559	119.0	138.0	84.0	35.0	52.0	19.0
subimage_H5	1725	0.35962698544468424	0.3474178403755869	0.23177785265049416	0.3799019607843137	0.3647959183673469	0.2486910994764398	0.3995359223406985	0.38635118306351185	0.29139294221261436	161.0	154.0	103.0	54.0	49.0	-7.0
subimage_G5	1821	0.3431818181818182	0.3775933609958506	0.20631067961165048	0.3626062322946176	0.4128878281622912	0.2236842105263158	0.3830227743271222	0.4301675977653631	0.26515151515151514	147.0	166.0	88.0	55.0	75.0	20.0
subimage_F5	2584	0.3364485981308411	0.3541201379226907	0.2122979270448337	0.3483483483483483	0.4072948328267477	0.24411764705882352	0.392173829130211	0.4215686274509804	0.2797808586031777	115.0	135.0	81.0	34.0	54.0	20.0
