subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	13	0.35576970016032927	0.34081206150171667	0.29432244107362965	0.35748031496062993	0.34285714285714286	0.3	0.3615606369330617	0.34438155136268345	0.30291843760216935	228.0	217.0	190.0	36.0	27.0	-10.0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	10	0.3567922374429224	0.33943418094480055	0.2867217909121679	0.3604147822716113	0.34123293722997206	0.29773811953848695	0.3693925579624302	0.3439157958199357	0.30296803652968035	231.5	219.5	191.0	40.0	28.5	-13.0
subimage_E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D1	3096	0.3488230289279637	0.34782608695652173	0.20958423760147898	0.36775006094092794	0.372994422994423	0.2572505714370529	0.3840324571521075	0.4278481012658228	0.28640194174757283	191.0	191.5	132.0	59.0	59.0	1.0
subimage_C1	3101	0.3346303501945525	0.37942122186495175	0.2217573221757322	0.35	0.3914590747330961	0.2572463768115942	0.358695652173913	0.4329501915708812	0.2757475083056478	104.0	117.0	78.0	28.0	41.0	12.0
subimage_B1	2612	0.3286219081272085	0.3894230769230769	0.20588235294117646	0.34765625	0.41235439817914044	0.2398843930635838	0.3589041095890411	0.4453594393222876	0.2692307692307692	116.0	137.0	80.0	35.0	56.0	21.0
subimage_A1	4312	0.3324396782841823	0.38723152307064107	0.22907881764878843	0.34173669467787116	0.40771349862258954	0.25	0.35347432024169184	0.42679127725856697	0.27372636296195363	118.0	141.0	87.0	31.0	54.0	23.0
subimage_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F2	2	0.35704250705380985	0.3285417660898032	0.3137074155007996	0.35725349341504864	0.32889592176759685	0.3138505848173545	0.3574644797762875	0.32925007744539053	0.31399375413390934	214.0	197.0	188.0	26.0	9.0	-17.0
subimage_E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D2	10738	0.3304093567251462	0.38265863681029094	0.14760147601476015	0.34265734265734266	0.44694533762057875	0.2138364779874214	0.36496675258290195	0.5	0.2692307692307692	114.0	149.0	71.0	42.0	76.0	35.0
subimage_C2	3569	0.33163503894795315	0.36036036036036034	0.2175226586102719	0.3487654320987654	0.39892183288409705	0.25072886297376096	0.38081035351717185	0.4267176220806794	0.27910758177349215	123.0	142.0	88.0	35.0	51.0	19.0
subimage_B2	3623	0.3322379135950626	0.35388270476823397	0.22700741228155058	0.3550420168067227	0.3973509933774834	0.25	0.37326171722451523	0.4128093188777621	0.2878713968957871	116.0	131.0	82.0	34.0	47.0	14.0
subimage_A2	3052	0.32058674894273476	0.36038961038961037	0.23920265780730898	0.3564356435643564	0.38461538461538464	0.26591760299625467	0.3709090909090909	0.40390879478827363	0.2922446781143482	108.0	117.0	81.0	28.0	35.0	9.0
subimage_H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G3	236	0.35428322114185984	0.34055727554179566	0.2818638141519497	0.35769828926905134	0.346005250861093	0.2954750204750205	0.3710932978353976	0.35116154679204414	0.30448967820856543	226.0	215.0	180.5	37.0	30.0	-8.5
subimage_F3	6	0.35422998986828774	0.3386715189123121	0.30326704545454547	0.35525465990843685	0.33999693861931735	0.3050002551150569	0.35727928822829674	0.34078820116054154	0.30582953752895287	249.0	237.5	213.0	35.0	24.5	-10.5
subimage_E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D3	12059	0.3391945105645185	0.40240963855421685	0.1461794019933555	0.35064935064935066	0.4525316455696203	0.19618528610354224	0.36674816625916873	0.49802526544214526	0.2472885032537961	122.0	158.0	69.0	52.0	87.0	35.0
subimage_C3	14410	0.33518005540166207	0.3847826086956522	0.1404175167589624	0.3563636363636364	0.45224719101123595	0.1912751677852349	0.3695652173913043	0.5	0.26734966128191767	130.0	164.0	70.0	56.0	90.0	34.0
subimage_B3	5101	0.3423913043478261	0.35333333333333333	0.20967741935483872	0.3684210526315789	0.3986013986013986	0.22839506172839505	0.391578947368421	0.4270833333333333	0.2841918294849023	152.0	164.0	95.0	52.0	68.0	11.0
subimage_A3	6089	0.3301282051282051	0.3947326766810064	0.17796610169491525	0.3396825396825397	0.44108761329305135	0.2191358024691358	0.3548387096774194	0.48068669527896996	0.2587114337568058	106.0	137.0	69.0	38.0	70.0	32.0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	31	0.354101966873706	0.3398423766553381	0.27862365378915127	0.3578125	0.3424	0.300163132137031	0.36272040302267	0.35839343938346013	0.30468963631391854	220.0	210.0	183.0	33.0	25.0	-9.0
subimage_F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D4	12741	0.33507853403141363	0.3991130820399113	0.18133333333333335	0.3468208092485549	0.45161290322580644	0.20054945054945056	0.3598130841121495	0.4682080924855491	0.25900900900900903	131.0	169.0	75.0	53.0	92.0	39.0
