subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	7665	0.337037037037037	0.3473162184571581	0.17973856209150327	0.34946236559139787	0.4377104377104377	0.21448467966573817	0.36807817589576547	0.46149267399267385	0.2932120476130466	121.0	151.0	72.0	45.0	76.0	30.0
subimage_G1	14517	0.3326546862689219	0.3990797292152871	0.1788039333734698	0.3457142857142857	0.45706371191135736	0.19692307692307692	0.35809018567639256	0.475	0.2554133416784019	120.0	157.0	67.0	50.0	87.0	38.0
subimage_F1	8819	0.32270916334661354	0.39371980676328505	0.18709457976739083	0.3375	0.44776119402985076	0.21529745042492918	0.34987593052109184	0.4715447154471545	0.26396609204067617	107.0	143.0	68.0	39.0	73.0	34.0
subimage_E1	5840	0.3270440251572327	0.3963357109986194	0.1948009086622948	0.3445121951219512	0.4289772727272727	0.22814700704225352	0.36039338568408336	0.45396825396825397	0.2631578947368421	117.0	146.0	77.0	40.0	69.0	29.0
subimage_D1	4906	0.329073482428115	0.38273081694134325	0.22560975609756098	0.34328358208955223	0.4108761329305136	0.24550898203592814	0.36030020703933746	0.4329896907216495	0.2727272727272727	112.0	135.0	80.0	31.0	54.0	22.0
subimage_C1	2879	0.3313253012048193	0.3795811518324607	0.2267080745341615	0.35789473684210527	0.3932926829268293	0.25	0.37142857142857144	0.41391783017674105	0.27655459494076207	124.0	135.0	85.0	37.0	48.0	12.0
subimage_B1	8045	0.33851905216223055	0.3840939193257074	0.1743119266055046	0.3561643835616438	0.4393530997304582	0.20396600566572237	0.37333333333333335	0.4716981132075472	0.2612783805182855	121.0	149.0	69.0	50.0	78.0	28.0
subimage_A1	5014	0.34194753429736746	0.3879563272196274	0.17105263157894737	0.35260115606936415	0.4289772727272727	0.21979723063314394	0.3684210526315789	0.46997703180212014	0.2604574472124141	123.0	149.0	76.0	45.0	71.0	26.0
subimage_H2	8331	0.3387315324766151	0.38652375201288247	0.18699186991869918	0.3594936708860759	0.43686868686868685	0.20284697508896798	0.3717277486910995	0.4560260586319218	0.2644444444444444	140.0	167.0	79.0	57.0	85.0	30.0
subimage_G2	8712	0.3300653594771242	0.39422113243104334	0.18800129481150532	0.3436619718309859	0.4482758620689655	0.20886902204448557	0.359375	0.46418338108882523	0.262425788646064	121.0	156.0	72.0	45.0	80.0	36.0
subimage_F2	5800	0.3250617546729103	0.38685667056704004	0.18366245778887094	0.33783783783783783	0.44135802469135804	0.22115384615384615	0.36065573770491804	0.4682274247491639	0.2736318407960199	107.0	139.0	70.0	37.0	69.0	33.0
subimage_E2	4262	0.3265900819369027	0.370116658088866	0.22619380154296356	0.3547486033519553	0.39649634289806146	0.2514124293785311	0.37003058103975534	0.415203373015873	0.2842273889543874	125.0	138.0	87.0	37.0	49.0	16.0
subimage_D2	5079	0.332392751927035	0.37930383864671435	0.19374007936507937	0.3465909090909091	0.4403409090909091	0.21364985163204747	0.36163608167485134	0.4565916398713826	0.2827188479231947	122.0	156.0	76.0	46.0	79.0	33.0
subimage_C2	7847	0.3268608414239482	0.3832199546485261	0.15293226669803828	0.34065934065934067	0.43788819875776397	0.22653721682847897	0.36398467432950193	0.4922898032200358	0.2705249740244438	111.0	144.0	74.0	38.0	69.0	33.0
subimage_B2	5866	0.3413173652694611	0.381294964028777	0.21433545563072026	0.35833333333333334	0.410958904109589	0.2299168975069252	0.3720316622691293	0.43125	0.26516799350357445	130.0	150.0	84.0	45.0	65.0	19.0
subimage_A2	9170	0.3284671532846715	0.3967856088742406	0.17781133482475764	0.33980582524271846	0.4473684210526316	0.2118380062305296	0.3573951393799546	0.4753521126760563	0.2615987022244725	109.0	143.0	67.0	41.0	74.0	34.0
subimage_H3	3981	0.321285140562249	0.36482084690553745	0.23103448275862068	0.35469107551487417	0.3865814696485623	0.2661596958174905	0.37057220708446864	0.41064638783269963	0.2895622895622896	104.0	113.0	77.0	26.0	36.0	10.0
subimage_G3	5460	0.3239418516238821	0.38509224066005376	0.2139792039707222	0.3448275862068966	0.40615384615384614	0.24896007732537068	0.35714285714285715	0.44635576333537713	0.27129577979533737	106.0	126.0	77.0	29.0	49.0	19.0
subimage_F3	3374	0.3233333333333333	0.37914269864814343	0.2251240458015267	0.3392330383480826	0.40406976744186046	0.25806451612903225	0.3684210526315789	0.41825095057034223	0.2858142857142857	114.0	134.0	85.0	28.0	46.0	21.0
subimage_E3	4856	0.3220728917541853	0.3783783783783784	0.2324561403508772	0.3467048710601719	0.39870331841203793	0.2549019607843137	0.36363636363636365	0.4247559944984838	0.2818519124788563	108.0	123.0	79.0	29.0	43.0	16.0
subimage_D3	4897	0.3393830193830194	0.35851981863390375	0.2169980161242666	0.3680203045685279	0.390745501285347	0.24161073825503357	0.38828389941729224	0.4203688613194525	0.27539503386004516	138.0	148.0	91.0	47.0	56.0	8.0
subimage_C3	5790	0.33774665974288437	0.37773993808049533	0.19306277156328003	0.35459183673469385	0.4274611398963731	0.22093023255813954	0.3805176767676768	0.4447592067988669	0.26970736833795483	132.0	159.0	79.0	47.0	74.0	27.0
subimage_B3	5946	0.3309395340870161	0.3870967741935484	0.1880597014925373	0.3443993156174857	0.4341317365269461	0.22580645161290322	0.3652641525459719	0.4542483660130719	0.2671446890014284	115.0	146.0	74.0	39.0	68.0	31.0
subimage_A3	4814	0.33068643637287276	0.3831578947368421	0.2047244094488189	0.34794520547945207	0.4151436031331593	0.23717948717948717	0.3701149425287356	0.4409448818897638	0.2720930048366316	120.0	140.0	82.0	34.0	57.0	22.0
subimage_H4	6822	0.328125	0.39378238341968913	0.18485263594852636	0.3391196728368489	0.43239268680445153	0.2289359458034157	0.3581081081081081	0.46258281814354407	0.26554816151590344	112.0	142.0	76.0	37.0	68.0	31.0
subimage_G4	8700	0.33557046979865773	0.4068241469816273	0.15872723012944415	0.3457388612132781	0.4520123839009288	0.20234604105571846	0.358974358974359	0.4899598393574297	0.24586482191993175	113.0	147.0	66.0	46.0	81.0	35.0
subimage_F4	3057	0.35832442067736187	0.34590163934426227	0.22936150823033546	0.37942122186495175	0.3526315789473684	0.2668918918918919	0.3902884682545226	0.385526281336245	0.29362795993040086	218.0	205.0	156.0	64.0	50.0	-15.0
subimage_E4	7440	0.33707865168539325	0.38425749222504946	0.18691588785046728	0.35013262599469497	0.4260869565217391	0.22527472527472528	0.3710247349823322	0.45425867507886436	0.26483099218326756	123.0	150.0	79.0	44.0	71.0	26.0
subimage_D4	9747	0.3389289944165586	0.39035087719298245	0.15462023085336202	0.35033259423503327	0.4489795918367347	0.20057306590257878	0.372972972972973	0.47956286615592597	0.26096845751792874	125.0	159.0	70.0	51.0	86.0	34.0
subimage_C4	9327	0.32646048109965636	0.3892516417695028	0.1884533551554828	0.3400576368876081	0.4405940594059406	0.21864951768488747	0.36523929471032746	0.46496815286624205	0.2688804554079695	116.0	150.0	73.0	40.0	73.0	33.0
subimage_B4	2350	0.3569785360107388	0.3432252030051484	0.26328006601756315	0.3717201166180758	0.3476923076923077	0.2800293255131965	0.3832955060726771	0.3566248945814885	0.2987719927508872	244.0	229.0	186.0	61.0	45.0	-15.0
subimage_A4	1150	0.3577643088279907	0.3394671340700584	0.21293399959415585	0.39286363814665703	0.34786126354298574	0.2576	0.44139610389610384	0.35428571428571426	0.3008509306301317	232.0	207.0	152.0	75.5	51.0	-24.0
subimage_H5	11332	0.33125	0.4	0.18356164383561643	0.3424657534246575	0.4517133956386293	0.20435967302452315	0.3557951482479784	0.4702194357366771	0.25983306398927203	119.0	156.0	70.0	47.0	85.0	37.0
subimage_G5	8976	0.33704477457959353	0.39604791512241533	0.14767224534873843	0.34971098265895956	0.45327249380005297	0.1978219622104514	0.36416616340263996	0.49466192170818507	0.2582238033822656	114.0	147.0	64.0	49.0	83.0	34.0
subimage_F5	5245	0.3345724907063197	0.3794237713085684	0.18705035971223022	0.3632075471698113	0.4151376146788991	0.22070844686648503	0.375285012727226	0.4610345586616773	0.25943187047650923	153.0	173.0	93.0	60.0	81.0	22.0
subimage_E5	4440	0.32960736485954834	0.38905656034982183	0.22099126300912245	0.3451086956521739	0.4123989218328841	0.24233983286908078	0.3653250773993808	0.4304658210798069	0.2699236677338464	120.0	142.0	84.0	35.0	57.0	24.0
subimage_D5	11137	0.3286219081272085	0.39596634074881615	0.18956043956043955	0.3405639913232104	0.444743935309973	0.21407624633431085	0.3553008595988539	0.46394984326018807	0.26634819823020456	119.0	155.0	73.0	43.0	78.0	35.0
subimage_C5	8539	0.3404255319148936	0.3946825731503272	0.14028776978417265	0.3506849315068493	0.4526627218934911	0.1962025316455696	0.36666666666666664	0.5019936318981104	0.25517241379310346	122.0	155.0	66.0	50.0	85.0	34.0
subimage_B5	6975	0.32894736842105265	0.39176136363636366	0.1710271646859083	0.3395638629283489	0.4423676012461059	0.2191358024691358	0.3585287524366471	0.4758441225483912	0.26671005061460584	110.0	143.0	70.0	38.0	71.0	33.0
subimage_A5	8849	0.3409090909090909	0.39355477483232193	0.16216216216216217	0.35751295336787564	0.44986449864498645	0.19195046439628483	0.3716577540106952	0.47246376811594204	0.2568832695331734	129.0	162.0	68.0	59.0	92.0	33.0
subimage_H6	10434	0.3323498865421539	0.39453597952942643	0.1689970859640602	0.3438485804416404	0.4438040345821326	0.21176470588235294	0.35613901572805684	0.48299319727891155	0.2630230950165426	118.0	151.0	72.0	45.0	79.0	34.0
subimage_G6	8650	0.3306972045161022	0.3932853717026379	0.18694362017804153	0.34181690596998815	0.44744744744744747	0.20903954802259886	0.359375	0.46827794561933533	0.2667488789237667	120.0	157.0	73.0	46.0	82.0	36.0
subimage_F6	4447	0.34794520547945207	0.34661309879291313	0.2113022113022113	0.35837245696400627	0.3797216699801193	0.25165562913907286	0.37290119607731986	0.4339957858442678	0.296875	171.0	181.0	120.0	50.0	62.0	5.0
subimage_E6	6453	0.33773087071240104	0.35714285714285715	0.17562053149871845	0.36147757255936674	0.42117117117117114	0.22685185185185186	0.3826530612244898	0.4596774193548387	0.27692307692307694	148.0	175.0	89.0	58.0	76.0	24.0
subimage_D6	11180	0.3333333333333333	0.4046569737352827	0.18233618233618235	0.34710743801652894	0.45012787723785164	0.20116618075801748	0.3618097610559922	0.4672897196261682	0.2542821834803869	128.0	166.0	74.0	53.0	90.0	37.0
subimage_C6	10377	0.32842775486578396	0.3984535668380463	0.19218009203982983	0.34185303514376997	0.44410876132930516	0.2128205128205128	0.3594957631551417	0.46202949408864935	0.26259089803947566	121.0	156.0	75.0	44.0	79.0	35.0
subimage_B6	3696	0.3333333333333333	0.3822528032619776	0.2020798536546568	0.3466666666666667	0.41939608943156503	0.23351648351648352	0.36780319901488157	0.4419488504722866	0.27407965194109773	126.5	154.0	84.0	42.0	69.0	27.0
subimage_A6	6261	0.33544303797468356	0.39408866995073893	0.18452380952380953	0.34576271186440677	0.4440789473684211	0.21212121212121213	0.3602058319039451	0.4633431085043988	0.25882352941176473	118.0	151.0	70.0	44.0	76.0	33.0
subimage_H7	11869	0.32978723404255317	0.4021390476372206	0.18692698078149697	0.34049079754601225	0.4481792717086835	0.21008403361344538	0.3568728598745943	0.46686746987951805	0.2587804250362324	115.0	151.0	70.0	43.0	79.0	36.0
subimage_G7	10983	0.33221476510067116	0.39467366036196133	0.18082191780821918	0.3434065934065934	0.45014245014245013	0.20555555555555555	0.36256069043167266	0.4696485623003195	0.26569685082270894	120.0	157.0	71.0	47.0	84.0	36.0
subimage_F7	8592	0.3322475570032573	0.35347900733572657	0.18181818181818182	0.34782608695652173	0.44598337950138506	0.20588235294117646	0.36949866696101075	0.46864686468646866	0.2831858407079646	129.0	164.0	76.0	49.0	85.0	36.0
subimage_E7	9354	0.3319672131147541	0.3827956989247312	0.14615384615384616	0.3415977961432507	0.44314868804664725	0.21646341463414634	0.36153846153846153	0.5020080321285141	0.27074235807860264	118.0	153.0	75.0	43.0	78.0	35.0
subimage_D7	8069	0.3286219081272085	0.38209606986899564	0.17391304347826086	0.34324324324324323	0.4391691394658754	0.2182890855457227	0.3618045282592739	0.4774826339204412	0.270502708007706	121.0	154.0	76.0	43.0	77.0	34.0
subimage_C7	9283	0.33711371914204774	0.3842887473460722	0.16918893795026727	0.34831460674157305	0.43854748603351956	0.21584699453551912	0.3638968481375358	0.47619047619047616	0.26521739130434785	124.0	157.0	76.0	47.0	79.0	33.0
subimage_B7	10828	0.33492168895402086	0.39026191211279204	0.18591549295774648	0.34908136482939633	0.44571428571428573	0.20408163265306123	0.3640897755610973	0.46308724832214765	0.26159312001875296	131.0	166.0	76.0	52.0	88.0	36.0
subimage_A7	10486	0.3356401384083045	0.3995049122681968	0.17687074829931973	0.3470234281868092	0.4479495268138801	0.2035623409669211	0.36855670103092786	0.46779661016949153	0.2540091655551341	118.0	152.0	70.0	48.0	82.0	34.0
subimage_H8	5828	0.33727810650887574	0.3910358083201685	0.1982680729110746	0.34593023255813954	0.4337705341016599	0.2204512742358818	0.3563726930762901	0.4530453904240312	0.263681592039801	128.0	159.0	80.0	45.0	78.0	32.0
subimage_G8	10653	0.3333333333333333	0.4017746661531186	0.18691588785046728	0.3448275862068966	0.4488778054862843	0.20533333333333334	0.3591622083924737	0.46449704142011833	0.2570394265630986	126.0	163.0	75.0	49.0	87.0	37.0
subimage_F8	8176	0.33692722371967654	0.3841173606602986	0.18611111111111112	0.34974093264248707	0.44537815126050423	0.20431399917287013	0.3656716417910448	0.46153846153846156	0.2729124236252546	134.0	170.0	78.0	54.0	91.0	36.0
subimage_E8	10501	0.32934131736526945	0.39518072289156625	0.185378590078329	0.34065934065934067	0.44483985765124556	0.21256038647342995	0.35772357723577236	0.4695121951219512	0.2669683257918552	120.0	155.0	73.0	43.0	80.0	35.0
subimage_D8	9030	0.3304708222811671	0.38522836001786054	0.18604651162790697	0.3421750663129973	0.4424552429667519	0.21450151057401812	0.363265306122449	0.4660644051130777	0.2692307692307692	121.0	155.0	74.0	43.0	78.0	34.0
subimage_C8	7134	0.3333333333333333	0.39422327394209356	0.18399169139465876	0.3460410557184751	0.44505494505494503	0.20875420875420875	0.3578773710927064	0.4636363636363636	0.2653586674536395	122.0	156.0	73.0	47.0	82.0	34.0
subimage_B8	2590	0.3561526662263789	0.34186746987951805	0.2728743744688887	0.3675344563552833	0.3453996983408748	0.2870229007633588	0.37788638355428794	0.3494363929146538	0.3008558504655003	240.0	226.0	188.0	53.0	38.0	-15.0
subimage_A8	10202	0.3281739722916194	0.39552238805970147	0.18037974683544303	0.3448275862068966	0.4456824512534819	0.2111801242236025	0.35919540229885055	0.46984126984126984	0.2604166666666667	116.0	149.0	69.0	44.0	76.0	33.0
subimage_H9	12118	0.3289902280130293	0.3994757068158114	0.18279148768915468	0.34097421203438394	0.4463768115942029	0.21221864951768488	0.3586387434554974	0.4676258992805755	0.2619047619047619	119.0	154.0	73.0	43.0	78.0	35.0
subimage_G9	10849	0.32608695652173914	0.40095063860345037	0.18391995711988565	0.340625	0.45058139534883723	0.2078853046594982	0.36055668016194337	0.46946564885496184	0.2611653166421208	118.0	155.0	70.0	44.0	81.0	37.0
subimage_F9	8661	0.33687002652519893	0.3898305084745763	0.15853658536585366	0.34908136482939633	0.45054945054945056	0.2	0.3660477453580902	0.4819672131147541	0.26424870466321243	123.0	158.0	70.0	52.0	87.0	35.0
subimage_E9	10081	0.3277777777777778	0.3958762886597938	0.1879432624113475	0.34035087719298246	0.4470588235294118	0.2108626198083067	0.3638676844783715	0.46598639455782315	0.2639138240574506	119.0	154.0	73.0	43.0	79.0	36.0
subimage_D9	8068	0.3390398982673661	0.38526315789473686	0.16439965063896295	0.35	0.44931506849315067	0.20057306590257878	0.36394167503066804	0.4793103448275862	0.2660285633216684	123.0	158.0	71.0	52.0	87.0	35.0
subimage_C9	7904	0.3323170731707317	0.39111111111111113	0.16187564234326823	0.34844192634560905	0.4491525423728814	0.20424403183023873	0.3629951247522969	0.48201438848920863	0.2630508992491706	116.0	151.0	69.0	49.0	82.0	34.0
subimage_B9	13608	0.3312302839116719	0.3867924528301887	0.1832797427652733	0.34421364985163205	0.44715447154471544	0.20699708454810495	0.3660477453580902	0.46710526315789475	0.2692307692307692	119.0	154.0	70.0	46.0	80.0	35.0
subimage_A9	11587	0.33158135189869964	0.3670496592015579	0.1815412087912088	0.34328358208955223	0.44680851063829785	0.20710059171597633	0.3780721683929168	0.47297297297297297	0.26814516129032256	116.0	151.0	70.0	45.0	80.0	35.0
subimage_H10	14139	0.3288089157185976	0.40188904354742494	0.18151815181518152	0.3431952662721893	0.455026455026455	0.20114942528735633	0.36056338028169016	0.4716981132075472	0.2590973111395646	119.0	155.0	68.0	47.0	85.0	37.0
subimage_G10	10933	0.3282442748091603	0.38702741662220475	0.1671696230095722	0.3425076452599388	0.449685534591195	0.20962199312714777	0.36063058152697997	0.4842105263157895	0.2686941776477593	117.0	153.0	70.0	44.0	79.0	36.0
subimage_F10	4195	0.33540372670807456	0.3796971303598648	0.22284122562674094	0.3460490463215259	0.41292134831460675	0.2404692082111437	0.36541835357624824	0.42900302114803623	0.27180980831466267	123.0	146.0	85.0	37.0	61.0	24.0
subimage_E10	4636	0.3562582671957672	0.3465491923641703	0.22975190726831865	0.37407131423524864	0.35191360216604894	0.26953748006379585	0.3878391115613719	0.4080672910400146	0.29355144183773213	223.0	210.0	162.0	61.0	50.0	-13.0
subimage_D10	13163	0.32840236686390534	0.4	0.19079179840059513	0.34049079754601225	0.4463276836158192	0.21159420289855072	0.36163905305230076	0.4637223974763407	0.2631578947368421	118.0	155.0	73.0	44.0	80.0	36.0
subimage_C10	9623	0.3400696150696151	0.38655656707127295	0.16854363080631968	0.35403726708074534	0.44476744186046513	0.20125786163522014	0.3766453885097953	0.4689655172413793	0.26352900112924754	136.0	165.0	75.0	53.0	85.0	33.0
subimage_B10	3353	0.3561212568406813	0.3422222222222222	0.26605504587155965	0.37351190476190477	0.3476968796433878	0.2784256559766764	0.3842455756248859	0.3514090656505517	0.3010401250006446	253.0	234.0	186.0	64.0	47.0	-17.0
subimage_A10	10229	0.32950191570881227	0.3853041695146958	0.18892508143322476	0.3395061728395062	0.4463768115942029	0.21221864951768488	0.3617351146297213	0.4698913951545531	0.2702860633207778	111.0	146.0	69.0	41.0	76.0	35.0
subimage_H11	12605	0.3302180685358255	0.40441583835750367	0.1798780487804878	0.34365325077399383	0.4550561797752809	0.20051413881748073	0.35693883861047737	0.471976401179941	0.25593837535013997	118.0	155.0	68.0	47.0	85.0	37.0
subimage_G11	8631	0.32752613240418116	0.39705882352941174	0.18088737201365188	0.344311377245509	0.45	0.20512820512820512	0.35968345103709054	0.4753521126760563	0.25925925925925924	113.0	146.0	68.0	42.0	77.0	35.0
subimage_F11	9233	0.3254081363345021	0.3912037037037037	0.1871086483277261	0.335423197492163	0.4423076923076923	0.2230769230769231	0.3591622083924737	0.46774193548387094	0.26968579352145694	109.0	143.0	71.0	36.0	69.0	34.0
subimage_E11	6086	0.33762057877813506	0.3951830627743329	0.18186925434116447	0.3475609756097561	0.4473684210526316	0.20364741641337386	0.37272727272727274	0.45987654320987653	0.2569593147751606	120.0	155.0	71.0	48.0	84.0	35.0
subimage_D11	15144	0.3333333333333333	0.39588688946015427	0.1678082191780822	0.34421364985163205	0.45	0.2042042042042042	0.3646112600536193	0.4794520547945205	0.26180257510729615	121.0	158.0	72.0	48.0	86.0	36.0
subimage_C11	14849	0.33407884151246986	0.3943103555252218	0.16473988439306358	0.35362997658079626	0.4478021978021978	0.19937694704049844	0.3707865168539326	0.47335423197492166	0.25957446808510637	130.0	163.0	71.0	57.0	91.0	33.0
subimage_B11	3093	0.3562801003497592	0.3425925925925926	0.2609103260869565	0.37479806138933763	0.3482810164424514	0.27697262479871176	0.3883495145631068	0.3518796992481203	0.30035265698402924	245.0	228.0	181.0	64.0	46.0	-17.0
subimage_A11	8473	0.33226424817066885	0.3855913235877169	0.17667844522968199	0.34355828220858897	0.43209876543209874	0.22448979591836735	0.37174721189591076	0.461002524341868	0.26732673267326734	109.0	136.0	71.0	37.0	65.0	27.0
subimage_H12	17987	0.3320754716981132	0.3926996099310447	0.18181818181818182	0.3495702005730659	0.45161290322580644	0.19718309859154928	0.35945945945945945	0.4691358024691358	0.2647796678152747	127.0	163.0	71.0	54.0	92.0	36.0
subimage_G12	9613	0.335978835978836	0.38604269137099473	0.1532567049808429	0.34649122807017546	0.44036697247706424	0.21487603305785125	0.36186770428015563	0.48908283084735005	0.26666666666666666	119.0	152.0	73.0	45.0	77.0	32.0
subimage_F12	3235	0.3557692307692308	0.35079707426856716	0.21377126740060048	0.37407407407407406	0.3835920177383592	0.23858921161825727	0.38862882378285224	0.41404204603180805	0.2913574403634987	168.0	169.0	104.0	52.0	58.0	2.0
subimage_E12	8311	0.3389071409312869	0.3843137254901961	0.1872037914691943	0.3548387096774194	0.43828715365239296	0.20823798627002288	0.3665893271461717	0.4534313725490196	0.2702999702999703	146.0	179.0	83.0	57.0	89.0	34.0
subimage_D12	6005	0.3423191777298096	0.38247863247863245	0.19125298904088756	0.35475578406169667	0.4198895027624309	0.22637362637362637	0.36756240727601114	0.44750053921324645	0.26741573033707866	143.0	169.0	91.0	50.0	76.0	26.0
subimage_C12	14454	0.3279742765273312	0.3958140941072999	0.18413597733711048	0.34190231362467866	0.44715447154471544	0.21067415730337077	0.3559045919884456	0.4695121951219512	0.26810389959057646	120.0	157.0	73.0	46.0	82.0	37.0
subimage_B12	7840	0.3400576368876081	0.3823464052287582	0.192	0.3514285714285714	0.43041237113402064	0.2184873949579832	0.36675461741424803	0.4479166666666667	0.27160850638692635	135.0	165.0	81.0	50.0	79.0	29.0
subimage_A12	1819	0.3341429222703442	0.3556447267674333	0.21468926553672316	0.3522167487684729	0.403954802259887	0.24423963133640553	0.38047142072968576	0.42638939011187293	0.2834480293145053	134.0	152.0	92.0	42.0	60.0	22.0
