subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2996	0.34410974067046174	0.3836141961251445	0.2121942901685667	0.3504531722054381	0.41714285714285715	0.23249299719887956	0.36274826686877243	0.4319856341328072	0.26536790991767295	118.0	140.0	78.0	39.0	61.0	22.0
subimage_G1	11527	0.3355048859934853	0.394119488855404	0.18354430379746836	0.3471337579617834	0.44694533762057875	0.20512820512820512	0.3614278897769294	0.46394984326018807	0.25833333333333336	110.0	142.0	65.0	45.0	76.0	31.0
subimage_F1	6471	0.34096692111959287	0.391304347826087	0.2022792022792023	0.3502415458937198	0.4327485380116959	0.21637426900584794	0.36096908830050867	0.44410407010564634	0.26281337445034547	121.0	149.0	75.0	46.0	74.0	28.0
subimage_E1	1925	0.3365695792880259	0.3473752563226248	0.2534439513795099	0.34519572953736655	0.38412698412698415	0.2706270627062706	0.374934036939314	0.3939186384391864	0.29196165191740414	104.0	117.0	82.0	23.0	34.0	12.0
subimage_D1	9997	0.34	0.38875305623471884	0.16544117647058823	0.35014005602240894	0.43283582089552236	0.2177650429799427	0.3663003663003663	0.4763636363636364	0.2624737532808399	117.0	144.0	74.0	45.0	74.0	28.0
subimage_C1	5093	0.34419756660474615	0.390051623486274	0.20359281437125748	0.35054347826086957	0.42857142857142855	0.22157434402332363	0.3590504451038576	0.4413913913913914	0.26080715623049716	124.0	151.0	78.0	46.0	73.0	27.0
subimage_B1	3396	0.3302107212131899	0.3805774278215223	0.21794871794871795	0.34191176470588236	0.4105263157894737	0.24496644295302014	0.358695652173913	0.4359861591695502	0.2798853625301052	105.0	128.0	75.0	31.0	51.0	21.0
subimage_A1	2069	0.3343199971725454	0.3633862591997609	0.2560893583439568	0.34560906515580736	0.38461538461538464	0.2691029900332226	0.36244217110835997	0.4013605442176871	0.2825873304134174	109.0	122.0	85.0	24.0	37.0	12.0
subimage_H2	11702	0.3344262295081967	0.4	0.18446601941747573	0.3458904109589041	0.4490566037735849	0.20440251572327045	0.3581656810746002	0.46474358974358976	0.2576661625002124	108.0	141.0	63.0	42.0	74.0	31.0
subimage_G2	15467	0.33557729496075533	0.403184836528643	0.18119168440006547	0.3492537313432836	0.4424778761061947	0.20666666666666667	0.36282376429958985	0.4646153846153846	0.2558139534883721	116.0	148.0	68.0	47.0	78.0	31.0
subimage_F2	8359	0.33915211970074816	0.3916256157635468	0.18787878787878787	0.35051546391752575	0.4378531073446328	0.21203438395415472	0.3638814016172507	0.45645645645645644	0.26340440047757124	122.0	152.0	73.0	48.0	78.0	30.0
subimage_E2	1759	0.35563380281690143	0.34210526315789475	0.2693239970092721	0.3684210526315789	0.34557595993322204	0.28596187175043325	0.38240574506283664	0.3514528626775721	0.3008849557522124	212.0	198.0	166.0	47.0	34.0	-13.0
subimage_D2	13203	0.3374620685416651	0.39851485148514854	0.1858463807578852	0.3515151515151515	0.4444444444444444	0.20277777777777778	0.36363636363636365	0.4590643274853801	0.2560646900269542	123.0	155.0	71.0	51.0	84.0	32.0
subimage_C2	6849	0.34210526315789475	0.3911301492843585	0.1821561338289963	0.3495440729483283	0.4289940828402367	0.2225609756097561	0.37050359712230213	0.45054945054945056	0.25703627032388837	113.0	139.0	72.0	41.0	67.0	25.0
subimage_B2	2414	0.3310580204778157	0.36909955257270693	0.2190924014541781	0.3605701516793066	0.4024729579941138	0.24169184290030213	0.37589872270723335	0.4203713558730106	0.27330645741847237	140.0	156.0	90.0	48.0	58.0	17.0
subimage_A2	2983	0.33788220731090596	0.3593487346180636	0.2236842105263158	0.35751295336787564	0.39634146341463417	0.24664879356568364	0.3794037940379404	0.4114249547920434	0.27860142186005904	131.0	145.0	89.0	41.0	54.0	15.0
subimage_H3	8502	0.3398876404494382	0.3937007874015748	0.1672473867595819	0.35034013605442177	0.43731778425655976	0.21282798833819241	0.36462093862815886	0.47330960854092524	0.2585208728934251	116.0	145.0	71.0	46.0	75.0	29.0
subimage_G3	3745	0.3343465045592705	0.37684709328028293	0.19555555555555557	0.34545454545454546	0.4233128834355828	0.23344947735191637	0.36623488445710667	0.4444444444444444	0.2766497461928934	108.0	133.0	74.0	34.0	56.0	22.0
subimage_F3	5370	0.3384146341463415	0.38483493471298347	0.17704918032786884	0.35380476169949854	0.41964285714285715	0.228486646884273	0.3812614966555184	0.4478114478114478	0.26823529411764707	119.0	141.0	76.0	42.0	64.0	22.0
subimage_E3	1858	0.33897451939483564	0.3565484564542245	0.25796178343949044	0.35646687697160884	0.37261146496815284	0.27070063694267515	0.3641534391534391	0.3979933110367893	0.284849326482433	109.0	115.0	83.0	26.0	31.0	5.0
subimage_D3	8703	0.33811302317107506	0.3862720179362243	0.16608996539792387	0.35195530726256985	0.43454038997214484	0.21543408360128619	0.36740562039512287	0.47278911564625853	0.2655042081297485	119.0	148.0	73.0	47.0	75.0	29.0
subimage_C3	8304	0.34049079754601225	0.38789491816425886	0.1881720430107527	0.35368956743002544	0.43882978723404253	0.20909090909090908	0.36578947368421055	0.4517225265871737	0.2648305084745763	131.0	161.0	75.0	52.0	81.0	31.0
subimage_B3	5762	0.3392330383480826	0.37443356606646017	0.1760299625468165	0.3510204081632653	0.4253968253968254	0.2260061919504644	0.37407266044670623	0.46096654275092935	0.2742661175957238	109.0	132.0	71.0	39.0	62.0	23.0
subimage_A3	2878	0.3333333333333333	0.3446597107311393	0.23749505277044855	0.3569551270996447	0.3838383838383838	0.2614942528735632	0.4033898305084746	0.40051220750080135	0.2895779101661454	119.0	123.0	84.0	32.0	37.0	10.0
