subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2265	0.3182132746146587	0.3937171066051977	0.20444444444444446	0.3273542600896861	0.43197278911564624	0.23986486486486486	0.3375796178343949	0.4674839179512076	0.280859337027316	98.0	129.0	72.0	26.0	56.0	31.0
subimage_G1	3512	0.33748280817789866	0.36804798896959917	0.22957498482088645	0.36134453781512604	0.38227146814404434	0.25316455696202533	0.3766052014143617	0.4219858156028369	0.27558151003567144	127.0	136.0	90.0	38.0	47.0	8.0
subimage_F1	10242	0.326007326007326	0.3937032480314961	0.19601654615334507	0.33865814696485624	0.44272445820433437	0.22077922077922077	0.3514644351464435	0.45937444787985865	0.26751398757090583	102.0	133.0	64.0	34.0	63.0	31.0
subimage_E1	1887	0.3289036544850498	0.3796112684922883	0.23342679127725857	0.3353115727002967	0.40668523676880225	0.25878594249201275	0.3554161566707466	0.4228395061728395	0.2835684382963232	109.0	131.0	85.0	25.0	48.0	23.0
subimage_D1	6370	0.3262411347517731	0.3882978723404255	0.19011406844106463	0.3367003367003367	0.4405144694533762	0.22435897435897437	0.35	0.4669260700389105	0.2759100829332169	100.0	131.0	66.0	33.0	64.0	31.0
subimage_C1	5276	0.33228592119360345	0.38141809290953543	0.19463087248322147	0.34185303514376997	0.4362017804154303	0.22258064516129034	0.35526315789473684	0.45348294723294724	0.28058471590074874	113.0	143.0	73.0	38.0	69.0	30.0
subimage_B1	1841	0.3235294117647059	0.37900874635568516	0.24381625441696114	0.3333333333333333	0.3950617283950617	0.27076923076923076	0.35737704918032787	0.40875912408759124	0.2844574780058651	106.0	126.0	86.0	20.0	40.0	19.0
subimage_A1	551	0.3551587301587302	0.3469190001582028	0.22847682119205298	0.3745173745173745	0.3531746031746032	0.2718631178707224	0.4139072847682119	0.35785288270377735	0.2970110920866523	190.0	180.0	137.0	51.0	40.0	-10.0
subimage_H2	8026	0.323943661971831	0.3930381514885466	0.20132013201320131	0.33691756272401435	0.4416058394160584	0.22372881355932203	0.3492063492063492	0.4551282051282051	0.26988636363636365	104.0	136.0	67.0	35.0	65.0	32.0
subimage_G2	6657	0.3265993265993266	0.3911829525198509	0.19732441471571907	0.3367003367003367	0.43670886075949367	0.22647058823529412	0.3513686210171833	0.45646114225117407	0.2727272727272727	105.0	135.0	70.0	34.0	65.0	31.0
subimage_F2	4274	0.32342007434944237	0.39052161558757864	0.2189977076672498	0.33583024725994093	0.4281097955689198	0.2354948805460751	0.3562630988023952	0.44730622009569376	0.2692127190882099	102.0	130.0	71.0	30.0	59.0	28.0
subimage_E2	2042	0.324	0.375	0.25412632423463344	0.3377926421404682	0.38819875776397517	0.2727272727272727	0.36082003483500447	0.40135940663890973	0.2888854382332643	102.0	118.0	82.0	20.0	35.0	15.0
subimage_D2	10412	0.32463768115942027	0.3994541730440263	0.2	0.33557046979865773	0.4440677966101695	0.2206896551724138	0.35	0.4583333333333333	0.26494505494505494	102.0	136.0	66.0	35.0	67.0	33.0
subimage_C2	10462	0.32558139534883723	0.39710144927536234	0.19814241486068113	0.33865814696485624	0.4459016393442623	0.21630094043887146	0.34782608695652173	0.45918367346938777	0.2668609406952963	103.0	137.0	65.0	38.0	70.0	33.0
subimage_B2	7829	0.3300970873786408	0.39285714285714285	0.20760233918128654	0.33980582524271846	0.43373493975903615	0.22658610271903323	0.3536443973135383	0.44680851063829785	0.26744186046511625	114.0	146.0	75.0	38.0	69.0	32.0
subimage_A2	373	0.32535804351650927	0.35268987636824733	0.2629420970266041	0.3381818181818182	0.37898089171974525	0.2829581993569132	0.37037037037037035	0.3857133850324696	0.2945072483042958	103.0	116.0	88.0	17.0	28.0	13.0
subimage_H3	6244	0.3224995228096965	0.3896471859438128	0.2130668694721424	0.3355263157894737	0.429042904290429	0.2360655737704918	0.35060975609756095	0.4477124183006536	0.27637199153663045	105.0	135.0	73.0	31.0	59.0	29.0
subimage_G3	4712	0.3212121212121212	0.38912777415143607	0.20189274447949526	0.3354632587859425	0.43981078954995234	0.22504019292604502	0.35223341909662664	0.46	0.2750616702236758	104.0	139.0	69.0	35.0	67.0	33.0
