experiment,rep,prop,fluor_cell,read_fluorcell
test3,1,0,crim,6277
test3,2,0,crim,2182
test3,3,0,crim,3002
test3,4,0,crim,3001
test3,1,0.2,crim,26731
test3,2,0.2,crim,29207
test3,3,0.2,crim,23729
test3,4,0.2,crim,30301
test3,1,0.5,crim,49396
test3,2,0.5,crim,57588
test3,3,0.5,crim,53212
test3,4,0.5,crim,52677
test3,1,0.8,crim,72581
test3,2,0.8,crim,79700
test3,3,0.8,crim,80210
test3,4,0.8,crim,84626
test3,1,1,crim,112423
test3,2,1,crim,108083
test3,3,1,crim,116792
test3,4,1,crim,117090
test3,1,0,crim,3302.8
test3,1,1,neon,1000462
test3,2,1,neon,985750
test3,3,1,neon,1001030
test3,4,1,neon,965143
test3,1,0.8,neon,693571
test3,2,0.8,neon,750034
test3,3,0.8,neon,621242
test3,4,0.8,neon,722095
test3,1,0.5,neon,483538
test3,2,0.5,neon,484567
test3,3,0.5,neon,482273
test3,4,0.5,neon,471455
test3,1,0.2,neon,247530
test3,2,0.2,neon,259414
test3,3,0.2,neon,270654
test3,4,0.2,neon,287613
test3,1,0,neon,31526
test3,2,0,neon,33596
test3,3,0,neon,33886
test3,4,0,neon,32833
test3,1,0,neon,27709.2
test2,1,1,crim,1642158
test2,2,1,crim,1464283
test2,3,1,crim,1408268
test2,1,0.9,crim,1118371
test2,2,0.9,crim,930990
test2,3,0.9,crim,1186917
test2,1,0.8,crim,965178
test2,2,0.8,crim,722756
test2,3,0.8,crim,901476
test2,1,0.7,crim,852810
test2,2,0.7,crim,652407
test2,3,0.7,crim,790773
test2,1,0.6,crim,628054
test2,2,0.6,crim,629752
test2,3,0.6,crim,691582
test2,1,0.5,crim,538709
test2,2,0.5,crim,529291
test2,3,0.5,crim,564877
test2,1,0.4,crim,428893
test2,2,0.4,crim,403657
test2,3,0.4,crim,460891
test2,1,0.3,crim,286521
test2,2,0.3,crim,285175
test2,3,0.3,crim,287594
test2,1,0.2,crim,239872
test2,2,0.2,crim,231951
test2,3,0.2,crim,176061
test2,1,0.1,crim,134508
test2,2,0.1,crim,98809
test2,3,0.1,crim,104333
test2,1,0,crim,3088
test2,2,0,crim,5833
test2,3,0,crim,1716
test2,1,0,crim,2059
test2,2,0,crim,2746
test2,3,0,crim,3089
test2,1,0,neon,45829
test2,2,0,neon,41914
test2,3,0,neon,38653
test2,1,0.1,neon,358172
test2,2,0.1,neon,302779
test2,3,0.1,neon,410377
test2,1,0.2,neon,670671
test2,2,0.2,neon,530140
test2,3,0.2,neon,633236
test2,1,0.3,neon,950666
test2,2,0.3,neon,728419
test2,3,0.3,neon,895467
test2,1,0.4,neon,1010388
test2,2,0.4,neon,1066654
test2,3,0.4,neon,1223049
test2,1,0.5,neon,1294395
test2,2,0.5,neon,1215556
test2,3,0.5,neon,1414956
test2,1,0.6,neon,1571292
test2,2,0.6,neon,1448144
test2,3,0.6,neon,1666431
test2,1,0.7,neon,1633613
test2,2,0.7,neon,1623710
test2,3,0.7,neon,1701804
test2,1,0.8,neon,2343648
test2,2,0.8,neon,2182618
test2,3,0.8,neon,1730658
test2,1,0.9,neon,2684297
test2,2,0.9,neon,2308751
test2,3,0.9,neon,2271194
test2,1,1,neon,2984640
test2,2,1,neon,3922033
test2,3,1,neon,3685169
test2,1,0,neon,15055
test2,2,0,neon,16818
test2,3,0,neon,15465
