experiment,plate,well,row,col,abs600,neon_btm,neon_top,crim_btm,crim_top,readtime
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A1,A,1,0.1627,53595,118126,57322,164327,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A2,A,2,0.2063,18439,55915,119449,334466,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A3,A,3,0.1574,6613,25768,71571,269405,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A4,A,4,0.1869,13966,49725,67909,259178,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A5,A,5,0.1372,3575,19298,62319,237605,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A6,A,6,0.1249,36696,174105,25534,196778,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A7,A,7,0.1556,16457,98182,80393,427785,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A8,A,8,0.1409,8636,57283,86337,460920,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A9,A,9,0.1258,5195,37579,49493,504680,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A10,A,10,0.1414,4116,40325,56231,465043,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A11,A,11,0.1643,6275,32090,96342,472587,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A12,A,12,0.1381,4454,20334,104961,278789,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B1,B,1,0.1469,7630,24821,54678,148874,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B2,B,2,0.1661,17350,47235,74334,240486,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B3,B,3,0.1905,6818,35470,108265,444494,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B4,B,4,0.171,21395,79275,89406,342163,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B5,B,5,0.1314,3846,22207,46864,176012,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B6,B,6,0.2199,32868,204320,83481,354447,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B7,B,7,0.1325,17682,109236,48730,254295,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B8,B,8,0.1722,20656,132539,90201,370642,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B9,B,9,0.1488,21324,158457,66772,392718,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B10,B,10,0.2313,89618,273590,96100,262749,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B11,B,11,0.2239,301025,761138,75095,183090,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B12,B,12,0.1964,153940,365543,128274,234043,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C1,C,1,0.1846,5471,23788,86627,261809,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C2,C,2,0.1365,4728,19602,37958,161342,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C3,C,3,0.1739,8848,33212,70817,290881,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C4,C,4,0.1664,7699,33064,71903,403872,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C5,C,5,0.202,10805,43374,125236,629298,7
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,C6,C,6,0.2388,5741,35001,99651,495026,7
