plate,experiment,well,row,col,readtime,abs600,neon_top,crim_top
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A1,A,1,7,0.2077,1505182,2731
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A2,A,2,7,0.4365,2596721,18694
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A3,A,3,7,0.0827,74441,4137
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A4,A,4,7,0.1262,879625,4972
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A5,A,5,7,0.2207,2955626,38423
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A6,A,6,7,0.3223,2989491,86011
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A7,A,7,7,0.1636,21392,245999
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A8,A,8,7,0.2417,89592,289525
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A9,A,9,7,0.1231,741879,18823
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A10,A,10,7,0.1552,316860,167806
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A11,A,11,7,0.1279,681328,134305
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A12,A,12,7,0.0922,6210,3047
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B1,B,1,7,0.2995,3199033,11644
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B2,B,2,7,0.0833,10486,2773
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B3,B,3,7,0.0842,12144,3049
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B4,B,4,7,0.0823,13870,2495
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B5,B,5,7,0.0803,12215,3326
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B6,B,6,7,0.0782,10141,4989
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B7,B,7,7,0.123,327560,84265
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B8,B,8,7,0.0777,11315,3326
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B9,B,9,7,0.0799,11107,2217
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B10,B,10,7,0.0838,12004,3325
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B11,B,11,7,0.0827,11795,4986
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B12,B,12,7,0.0885,8212,1384
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C1,C,1,7,0.1145,834507,2769
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,C2,C,2,7,0.1462,1464562,3048
