subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	104	0.3543307086614173	0.3393791567323378	0.28124943797771895	0.35663238010639264	0.34181240063593005	0.3017949311761151	0.37028651292802234	0.3489628934235881	0.3045321622946679	222.0	212.0	187.0	34.0	25.0	-9.0
subimage_G1	10570	0.337738733858708	0.38426394090719934	0.16029071468468228	0.3516346496396372	0.42996742671009774	0.22083954248998472	0.3738019169329074	0.46875	0.2672811059907834	116.0	141.0	71.0	41.0	67.0	25.0
subimage_F1	3121	0.356140350877193	0.3428063943161634	0.2694063926940639	0.36681222707423583	0.34587813620071683	0.2870544090056285	0.38122605363984674	0.3503787878787879	0.3	202.0	190.0	157.0	43.0	32.0	-11.0
subimage_E1	3412	0.35060975609756095	0.34382566585956414	0.2246376811594203	0.36195607305026123	0.35602383053839365	0.2786885245901639	0.38491987052972293	0.4147300031952284	0.29873417721518986	111.0	112.0	84.0	27.0	25.0	-2.0
subimage_D1	1	0.3547854785478548	0.33663366336633666	0.3085808580858086	0.3547854785478548	0.33663366336633666	0.3085808580858086	0.3547854785478548	0.33663366336633666	0.3085808580858086	215.0	204.0	187.0	28.0	17.0	-11.0
subimage_C1	5751	0.33617026413636586	0.3917525773195876	0.20306513409961685	0.34294871794871795	0.4276315789473684	0.23076923076923078	0.35572349745267234	0.4465296752204163	0.26253491620111735	106.0	132.0	71.0	35.0	61.0	26.0
subimage_B1	2954	0.34755397840863655	0.35309797306343216	0.22086915579829558	0.3607774741081703	0.4006689448762619	0.23564954682779457	0.3901639344262295	0.4200626959247649	0.2818891984106418	122.0	135.0	79.0	41.0	55.0	13.0
subimage_A1	7434	0.338368580060423	0.3877551020408163	0.1906158357771261	0.35012292433056075	0.43026706231454004	0.2195945945945946	0.3672316384180791	0.4510422070511091	0.265625	116.0	142.0	72.0	42.0	68.0	26.0
subimage_H2	4	0.35684826075271003	0.34045629193712473	0.29641566546777887	0.35858650273363435	0.3422025006967843	0.2989963546452747	0.35907893526455315	0.3449085529168686	0.302592792354994	216.0	206.0	180.0	36.0	26.0	-9.5
subimage_G2	11550	0.3447204968944099	0.3832923832923833	0.1757732949087416	0.36469239071775494	0.43672456575682383	0.19940476190476192	0.37623762376237624	0.4548153254417085	0.26551745208580185	139.0	161.0	74.0	59.0	85.0	26.0
subimage_F2	3170	0.3440514469453376	0.34561493975274477	0.25189261321242035	0.35785953177257523	0.3618421052631579	0.2779552715654952	0.375	0.3931034482758621	0.2956536113308285	111.0	113.0	86.0	25.0	26.0	1.0
subimage_E2	2474	0.3567212836266417	0.3436928702010969	0.26160734131394275	0.3741379310344828	0.3477508650519031	0.27806563039723664	0.38750827032136104	0.35195935551777185	0.2985637257065513	211.0	195.0	156.0	54.0	39.0	-15.0
subimage_D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C2	20617	0.33941163459411633	0.40211417432470065	0.18006430868167203	0.3504531722054381	0.4398826979472141	0.2084592145015106	0.3693379790940767	0.4604105571847507	0.25225772885347353	118.0	149.0	70.0	47.0	77.0	30.0
subimage_B2	4577	0.3470790378006873	0.3504186066845913	0.20078436141428269	0.36436170212765956	0.3843283582089552	0.25	0.3821241779296774	0.4407558578987151	0.2892603202736959	118.0	126.0	81.0	36.0	43.0	5.0
subimage_A2	4301	0.34185303514376997	0.3879598662207358	0.22145328719723184	0.3508771929824561	0.41346153846153844	0.23588039867109634	0.36	0.42474916387959866	0.2636986301369863	109.0	128.0	73.0	35.0	55.0	19.0
subimage_H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G3	8713	0.34649122807017546	0.3817427385892116	0.16165245267041675	0.35910224438902744	0.4383561643835616	0.2	0.3770674970235369	0.47	0.2682926829268293	125.0	152.0	68.0	53.0	80.0	26.0
subimage_F3	3350	0.35515548281505727	0.343801652892562	0.2425434221135056	0.36423841059602646	0.34717607973421927	0.28809333643937124	0.3843801614114114	0.37403687915138295	0.3	206.0	194.0	161.0	43.0	34.0	-8.0
subimage_E3	2786	0.35647005814577204	0.3447191633881871	0.21155239687848382	0.3720430107526882	0.3685147849462366	0.24554695846417818	0.398973669215377	0.4163743071655587	0.29569616480095384	147.0	153.0	94.0	52.0	46.0	-4.0
subimage_D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C3	10859	0.34594594594594597	0.38479755245903435	0.1641241502306003	0.3611111111111111	0.4268292682926829	0.21282798833819241	0.38320209973753283	0.4557377049180328	0.2617924528301887	129.0	154.0	76.0	53.0	76.0	23.0
subimage_B3	8812	0.3412802591203546	0.37661787065913455	0.15825289135779982	0.35976473433289574	0.43333333333333335	0.20970193156191785	0.38271604938271603	0.4642245215843345	0.2707107000600207	120.0	145.0	69.0	49.0	73.0	24.0
subimage_A3	8408	0.3552132531844855	0.3664240095714743	0.2045683783075714	0.3715083798882682	0.39789473684210525	0.22535211267605634	0.3931833307234575	0.4215650594846655	0.2726648841354723	152.0	162.0	96.0	58.0	71.0	7.0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	7011	0.3464759511425399	0.3824884792626728	0.15960912052117263	0.3656884875846501	0.43089430894308944	0.20461095100864554	0.38120825699984134	0.46383560558021564	0.2657952069716776	134.0	158.0	75.0	59.0	83.0	24.0
subimage_F4	79	0.35584987082304176	0.33446759939425447	0.22320658781916658	0.39303482587064675	0.35324675324675325	0.25210084033613445	0.4221688587634116	0.3642252824276408	0.3068963969020092	144.0	127.0	88.0	52.0	37.0	-15.0
subimage_E4	2791	0.35802673800867385	0.34517766497461927	0.21830985915492956	0.3747645951035782	0.37115839243498816	0.2556053811659193	0.38745229007633586	0.4079601990049751	0.29245283018867924	174.0	176.0	118.0	59.0	53.0	-3.0
subimage_D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C4	15210	0.33695652173913043	0.38596491228070173	0.16595744680851063	0.3482142857142857	0.4387755102040816	0.21337579617834396	0.370887417218543	0.4793388429752066	0.2639427981465321	109.0	137.0	65.0	41.0	69.0	28.0
subimage_B4	7575	0.3465909090909091	0.3849546970758389	0.18228683821502845	0.3595505617977528	0.42295081967213116	0.2180232558139535	0.3804347826086957	0.44263606557377044	0.259815501003551	127.0	150.0	76.0	50.0	71.0	22.0
subimage_A4	2998	0.35579984154422356	0.3416962515799725	0.2593072476110742	0.3690797251957182	0.34572490706319703	0.28517110266159695	0.3908523908523909	0.3509489456159822	0.30072664313599656	195.0	183.0	151.0	45.0	32.0	-13.0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	11474	0.336283185840708	0.3894644274001587	0.1933534743202417	0.34810126582278483	0.4261744966442953	0.2231404958677686	0.36792452830188677	0.4539091811294266	0.2639593908629442	118.0	145.0	76.0	42.0	69.0	27.0
subimage_F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E5	3204	0.35599705907145335	0.34370412348877377	0.2690774548575983	0.36952182125459787	0.3473684210526316	0.2827586206896552	0.37949640287769787	0.35435124405487206	0.30017452006980805	206.0	194.0	159.0	49.0	36.0	-12.0
subimage_D5	46	0.3541508711419297	0.340749859695494	0.28721705513222767	0.3593048871178212	0.3427883300729896	0.296144155396675	0.3665448214447591	0.3461190078037904	0.3044055405925356	217.5	208.0	180.0	38.0	27.0	-10.0
subimage_C5	8705	0.34718100890207715	0.3855196486882108	0.16397196846452258	0.35646687697160884	0.43768115942028984	0.20699708454810495	0.3783783783783784	0.4612546125461255	0.26150121065375304	120.0	147.0	70.0	51.0	78.0	27.0
subimage_B5	6293	0.3467221494290939	0.3808411214953271	0.16891891891891891	0.3544600938967136	0.4289772727272727	0.2159090909090909	0.38305084745762713	0.45141065830721006	0.26712976456491466	125.0	150.0	75.0	48.0	74.0	23.0
subimage_A5	2819	0.34057971014492755	0.3464566929133858	0.23249929971988798	0.37965260545905705	0.3643835616438356	0.2591623036649215	0.39361962232742026	0.38221153846153844	0.29201345717838073	147.0	140.0	98.0	44.0	38.0	-6.0
subimage_H6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G6	10604	0.34195625632779464	0.39220272846419635	0.17391304347826086	0.3548387096774194	0.4336426382564367	0.2116991643454039	0.3746312684365782	0.45588235294117646	0.2599453358684815	128.0	155.0	75.0	51.0	78.0	28.0
subimage_F6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C6	11580	0.3392330383480826	0.3850129198966408	0.16883116883116883	0.34844192634560905	0.4392857142857143	0.2126984126984127	0.3667711598746082	0.4729241877256318	0.26484074777340744	111.0	140.0	67.0	41.0	69.0	28.0
subimage_B6	3	0.35481181668655465	0.3421033038622615	0.2994417172809718	0.3550488599348534	0.34285714285714286	0.30198019801980197	0.3576897599430652	0.34319660537482316	0.3028364562840649	215.0	208.0	183.0	32.0	25.0	-8.0
subimage_A6	3913	0.33707865168539325	0.3573239265916934	0.22032220171169659	0.3721590909090909	0.3838120104438642	0.2473404255319149	0.39234664070107106	0.39436619718309857	0.2829117881095828	143.0	146.0	91.0	46.0	50.0	3.0
subimage_H7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G7	16969	0.33518005540166207	0.38499273607748186	0.2007092735625221	0.34796238244514105	0.4247787610619469	0.22402597402597402	0.37158469945355194	0.4478114478114478	0.26756756756756755	114.0	139.0	73.0	40.0	64.0	25.0
