subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	5766	0.3350752970433821	0.38603267016937365	0.18055555555555555	0.34824281150159747	0.44126074498567336	0.2113095238095238	0.3579310588187849	0.4673378938240678	0.2677739397591384	115.0	145.0	69.0	45.0	75.0	31.0
subimage_G1	5557	0.3485838779956427	0.3837669795255634	0.19616431838007878	0.3609865470852018	0.4205607476635514	0.21750663129973474	0.3721518987341772	0.4367304879276548	0.2647806194376454	155.0	179.0	93.0	60.0	86.0	25.0
subimage_F1	3500	0.3377440440354348	0.38133232323232324	0.20253164556962025	0.34810126582278483	0.4259538995188542	0.22397476340694006	0.36610262109845326	0.4479520504731861	0.2711887624796842	117.0	143.0	75.0	41.0	67.0	26.0
subimage_E1	10142	0.34698828099282375	0.3723849372384937	0.17500370919881306	0.358974358974359	0.4375	0.20588235294117646	0.3758381886569806	0.4606413994169096	0.26457230836537404	136.0	165.0	77.0	57.0	86.0	30.0
subimage_D1	20616	0.3391812865497076	0.40321662135351605	0.17008797653958943	0.35397134846227984	0.45321637426900585	0.1927710843373494	0.36829268292682926	0.4707692307692308	0.2505868642073734	128.0	163.0	69.0	57.0	91.0	35.0
subimage_C1	7926	0.3447312190733244	0.3881423039130686	0.1772257736759663	0.3564356435643564	0.4406779661016949	0.20221606648199447	0.3682795698924731	0.4603174603174603	0.2626445174637946	131.0	161.0	74.0	55.0	86.0	30.0
subimage_B1	16744	0.33807829181494664	0.396046866300322	0.15318618310647028	0.3549382716049383	0.4577259475218659	0.1875	0.37209302325581395	0.4841388424897666	0.255165344434844	121.0	155.0	63.0	56.0	90.0	35.0
subimage_A1	2342	0.3563034869120062	0.34335588809024026	0.2672268907563025	0.3700987928291646	0.3480314960629921	0.28184037502838666	0.38220757825370677	0.35135135135135137	0.2993720262551866	225.0	213.0	172.0	54.0	40.0	-13.0
subimage_H2	5825	0.35306122448979593	0.3546269581005193	0.1903323262839879	0.36538461538461536	0.4132420091324201	0.2224824355971897	0.3838148931172187	0.43987627375102106	0.2828786856740268	155.0	176.0	93.0	60.0	80.0	21.0
subimage_G2	10636	0.3493150684931507	0.3830734966592428	0.1661721068249258	0.363013698630137	0.4233576642335766	0.212707182320442	0.37320574162679426	0.4717607973421927	0.26342923908281	147.0	172.0	85.0	59.0	84.0	24.0
subimage_F2	11803	0.34011627906976744	0.39087301587301587	0.1660911383496569	0.3508771929824561	0.4512987012987013	0.19830028328611898	0.36470588235294116	0.4742647058823529	0.2591782095085205	121.0	155.0	67.0	52.0	84.0	33.0
subimage_E2	8817	0.3472222222222222	0.36621856375444317	0.16279069767441862	0.3597733711048159	0.4375	0.20245398773006135	0.3743984248002381	0.4738372093023256	0.27692307692307694	138.0	168.0	76.0	60.0	90.0	29.0
subimage_D2	13903	0.33774834437086093	0.383823400578205	0.17251461988304093	0.35454545454545455	0.441025641025641	0.20461095100864554	0.3753344169780386	0.46959459459459457	0.2638175540278077	131.0	163.0	75.0	55.0	85.0	32.0
subimage_C2	12951	0.3392857142857143	0.39675130292458116	0.15503924435381478	0.35060975609756095	0.4481707317073171	0.19827586206896552	0.37270341207349084	0.4817073170731707	0.25773059454290886	127.0	160.0	71.0	52.0	86.0	34.0
subimage_B2	13220	0.33791208791208793	0.3995677987682383	0.16279069767441862	0.35275080906148865	0.45645122474390765	0.18969872368512913	0.3688536401001559	0.4768240630861692	0.2533351302785265	124.0	159.0	66.0	55.0	89.0	36.0
subimage_A2	10455	0.34057971014492755	0.38017861903492406	0.15637860082304528	0.3505535055350554	0.4619883040935672	0.18770226537216828	0.3627760252365931	0.4850498338870432	0.27293064876957496	114.0	149.0	59.0	49.0	84.0	35.0
