subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	3677	0.3385012919896641	0.3468208092485549	0.19207317073170732	0.35406698564593303	0.4263565891472868	0.22077922077922077	0.36548223350253806	0.45	0.29621578099838963	133.0	159.0	83.0	49.0	77.0	26.0
subimage_G1	4510	0.3378076062639821	0.3487977318403675	0.20165745856353592	0.34782608695652173	0.42189640410958906	0.22662889518413598	0.3657142857142857	0.4450704225352113	0.2948328267477204	130.0	159.0	85.0	45.0	72.0	28.0
subimage_F1	3213	0.3388888888888889	0.38986623313653346	0.19817073170731708	0.34584450402144773	0.42776203966005666	0.2265193370165746	0.36470588235294116	0.43987712981179705	0.26759018759018754	123.0	150.0	79.0	42.0	71.0	27.0
subimage_E1	4377	0.33613445378151263	0.3915094339622642	0.20894690890949152	0.3446153846153846	0.42618384401114207	0.22822822822822822	0.3622448979591837	0.4423676012461059	0.26635556378353875	124.0	154.0	82.0	42.0	71.0	29.0
subimage_D1	1929	0.3418079096045198	0.38426342072409486	0.19827375421781018	0.35092348284960423	0.42382271468144045	0.22478386167146974	0.37057220708446864	0.4377843281748956	0.26982279764293404	133.0	159.0	83.0	46.0	74.0	25.0
subimage_C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B1	3442	0.3376980618602274	0.38255427419100735	0.20924229019211327	0.3467048710601719	0.4228723404255319	0.23057319464464268	0.3629032258064516	0.43641618497109824	0.2693263912817488	128.0	155.0	84.0	42.0	71.0	28.0
subimage_A1	3450	0.3380681818181818	0.3835402397260274	0.21910112359550563	0.34408602150537637	0.41847826086956524	0.23646723646723647	0.3644099205239826	0.43202416918429004	0.26978073488547766	123.0	148.0	84.0	38.0	65.0	26.0
subimage_H2	4885	0.334154785027603	0.38848113661637534	0.2065507701201635	0.352112676056338	0.4253968253968254	0.220873786407767	0.36496350364963503	0.4421965317919075	0.2722619666147103	128.0	155.0	83.0	46.0	74.0	26.0
subimage_G2	5670	0.3395348837209302	0.3811563169164882	0.1855620306973989	0.35135135135135137	0.4267352185089974	0.22160664819944598	0.36703818718484815	0.45327396414323107	0.2761904761904762	133.0	160.0	83.0	48.0	76.0	27.0
subimage_F2	3254	0.3343462137166926	0.3839137610020312	0.20795107033639143	0.34545454545454546	0.4177545691906005	0.23544303797468355	0.36363636363636365	0.4346590909090909	0.2781510238258354	128.0	154.0	86.0	40.0	67.0	25.0
subimage_E2	3132	0.3357664233576642	0.38679061784897023	0.20383316864295126	0.34594594594594597	0.42209631728045327	0.23160762942779292	0.36293322818783047	0.44314868804664725	0.27080611638954866	128.0	157.0	86.0	42.5	70.0	28.0
subimage_D2	2177	0.3420169707892168	0.3621461988304094	0.2214731934731935	0.34806629834254144	0.40974212034383956	0.2413793103448276	0.3786729783037475	0.42058823529411765	0.28147666740167343	126.0	148.0	87.0	39.0	61.0	23.0
subimage_C2	2864	0.33714285714285713	0.3815884820747521	0.21610077414097514	0.34787898021792024	0.41854636591478694	0.23237597911227154	0.371571072319202	0.4316851990213745	0.27010714986956885	132.0	158.0	87.0	44.0	70.0	27.0
subimage_B2	4269	0.33737864077669905	0.38310375831684945	0.18711656441717792	0.35014005602240894	0.42363112391930835	0.22784810126582278	0.3712574850299401	0.4459282233052725	0.27119356049938986	128.0	154.0	84.0	46.0	73.0	26.0
subimage_A2	4601	0.33678756476683935	0.384	0.20821917808219179	0.34332425068119893	0.42485549132947975	0.2316715542521994	0.36253776435045315	0.43854748603351956	0.26649076517150394	120.0	148.0	80.0	39.0	68.0	28.0
subimage_H3	5430	0.3365617433414044	0.38687782805429866	0.19207317073170732	0.34916201117318435	0.4297994269340974	0.2210242587601078	0.36694677871148457	0.44970414201183434	0.27465786703376793	126.0	154.0	79.0	45.0	74.0	28.0
subimage_G3	4809	0.3403805496828753	0.38414353335124746	0.1837270341207349	0.35174418604651164	0.4339622641509434	0.21212121212121213	0.3743016759776536	0.4496384100918927	0.27205411354446185	135.0	163.0	79.0	51.0	82.0	27.0
subimage_F3	5459	0.33678756476683935	0.38388625592417064	0.18461022199277233	0.35279187817258884	0.42105263157894735	0.2282958199356913	0.37037037037037035	0.4523076923076923	0.2718697911559957	132.0	158.0	86.0	47.0	72.0	25.0
subimage_E3	3061	0.3413566739606127	0.38427947598253276	0.18584070796460178	0.3553921568627451	0.4228723404255319	0.2222222222222222	0.3695652173913043	0.44753086419753085	0.2694063926940639	136.0	161.0	84.0	50.0	77.0	25.0
subimage_D3	1833	0.3414397921218922	0.36306067529829905	0.20816850106896825	0.34974093264248707	0.41414141414141414	0.23529411764705882	0.3840452769168576	0.42699724517906334	0.27536529187360537	134.0	158.0	90.0	43.0	68.0	25.0
subimage_C3	2993	0.3452139231327048	0.370628078817734	0.19369596363816016	0.35443037974683544	0.4160206718346253	0.22955145118733508	0.37822349570200575	0.43452380952380953	0.2737306843267108	136.0	159.0	88.0	47.0	71.0	22.0
subimage_B3	5035	0.3314285714285714	0.38568123393316195	0.22788203753351208	0.33994334277620397	0.4146341463414634	0.2446236559139785	0.36193029490616624	0.425	0.2733990147783251	124.0	151.0	88.0	34.0	61.0	27.0
subimage_A3	4145	0.33423180592991913	0.3903171871158102	0.2180427657249883	0.34269662921348315	0.41786743515850144	0.23821989528795812	0.3644067796610169	0.43143621595795506	0.2693333333333333	124.0	151.0	86.0	38.0	65.0	27.0
subimage_H4	2145	0.3364485981308411	0.38087132725430595	0.1891592207660094	0.35054347826086957	0.4254742547425474	0.22340425531914893	0.3670361139099539	0.4464619066613482	0.2769360499566981	134.0	161.0	85.0	48.0	77.0	28.0
subimage_G4	2761	0.34913793103448276	0.38618925831202044	0.19201995012468828	0.3671875	0.41570438799076215	0.21727019498607242	0.3737864077669903	0.43672456575682383	0.2646420824295011	160.0	181.0	94.0	65.0	86.0	21.0
subimage_F4	4876	0.33505154639175255	0.38974358974358975	0.20786516853932585	0.3413333333333333	0.42296918767507	0.23497267759562843	0.36297130947095957	0.44376899696048633	0.2689703746912738	120.0	149.0	82.0	37.0	66.0	29.0
subimage_E4	3769	0.33951272227134294	0.3815789473684211	0.1812931762834849	0.34793187347931875	0.4243243243243243	0.2271604938271605	0.3757735649945351	0.4460318357655686	0.2729149694501018	135.0	164.0	88.0	46.0	76.0	28.0
subimage_D4	2310	0.33783783783783783	0.38443080613322317	0.21899736147757257	0.3452054794520548	0.42162162162162165	0.23204419889502761	0.3601047374486928	0.43342776203966005	0.2715999503698993	129.0	157.0	87.0	42.0	70.0	28.0
subimage_C4	210	0.354042530792715	0.34734726733592136	0.2638426172707889	0.35701104812488293	0.35078026705629284	0.28935050049123606	0.36486486486486486	0.37571738121033893	0.29769261637239164	191.0	186.0	157.0	37.0	34.0	-4.0
subimage_B4	3799	0.3342849048968029	0.3864168618266979	0.21525527973853403	0.34624697336561744	0.415	0.23976608187134502	0.3594936708860759	0.43267313460346185	0.2729322698829556	136.0	161.0	92.0	41.0	67.0	26.0
subimage_A4	5044	0.335243553008596	0.3923132131026868	0.2079549909825139	0.3430232558139535	0.42134831460674155	0.23529411764705882	0.3641791044776119	0.4375	0.26424208078191236	118.0	145.0	81.0	37.0	64.0	27.0
subimage_H5	2796	0.3319193629437143	0.3805104408352668	0.19400723654455	0.3492462311557789	0.4262295081967213	0.22459893048128343	0.3680245398773006	0.4478021978021978	0.2796467978614492	131.0	159.0	84.0	47.0	75.0	28.0
subimage_G5	5901	0.33534743202416917	0.38839285714285715	0.18631178707224336	0.34411764705882353	0.43730886850152906	0.2192513368983957	0.3584905660377358	0.45819397993311034	0.27232142857142855	116.0	148.0	74.0	42.0	73.0	31.0
subimage_F5	5	0.35434098065677017	0.33806054100156613	0.3013107734085331	0.3552123552123552	0.3416988416988417	0.3030888030888031	0.35788084436830453	0.3436347278452542	0.30621610956020984	176.0	169.0	150.0	27.0	19.0	-7.0
