subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	1626	0.3349955809587707	0.38256658595641646	0.21750850454824738	0.3475859652330241	0.4097938144329897	0.2423039370530971	0.359753497716367	0.42776203966005666	0.27641838182309497	135.0	158.0	93.0	41.0	64.0	24.0
subimage_G1	3652	0.3361581920903955	0.38586543110394844	0.19803748231966053	0.35175879396984927	0.42513368983957217	0.22324159021406728	0.362765617875057	0.4434250764525994	0.27239299544223977	128.0	155.0	82.0	47.0	73.0	26.0
subimage_F1	4175	0.33225491226226755	0.38762596727509013	0.18858320042530569	0.3421750663129973	0.43304843304843305	0.22492401215805471	0.3691073537460034	0.45454545454545453	0.2713656779472584	112.0	141.0	72.0	38.0	67.0	30.0
subimage_E1	2793	0.34052064334272925	0.3647301204270722	0.21428571428571427	0.3556231003039514	0.4092071611253197	0.2344632768361582	0.3770411973829654	0.42996742671009774	0.27427184466019416	131.0	150.0	85.0	44.0	62.0	19.0
subimage_D1	2476	0.3363776620657355	0.367559976017806	0.20510514665190924	0.3549382716049383	0.40425531914893614	0.24531231688737842	0.3848797250859107	0.42857142857142855	0.2736640193834971	114.0	131.0	80.0	36.0	52.0	17.0
subimage_C1	2772	0.33525683512841753	0.3860103626943005	0.2030099502487562	0.35187900510481157	0.4234527687296417	0.22559949084339329	0.3638888888888889	0.4414072693383038	0.27091253673286864	112.0	135.0	72.0	39.0	63.0	23.0
subimage_B1	6150	0.3333333333333333	0.3851508120649652	0.19880322476851026	0.344311377245509	0.43558282208588955	0.22012578616352202	0.35926698881058255	0.4537037037037037	0.27209423148734435	116.0	147.0	73.0	42.0	72.0	31.0
subimage_A1	1230	0.3541666666666667	0.29116681523228954	0.2569973119569913	0.3690472995639047	0.35094339622641507	0.2802361308897282	0.38767395626242546	0.3555992141453831	0.35070265555340185	188.0	176.0	142.0	47.0	37.0	-12.0
subimage_H2	7760	0.3333333333333333	0.38651216006102035	0.19571865443425077	0.34285714285714286	0.44	0.21739130434782608	0.35777126099706746	0.45454545454545453	0.2708391527001861	110.0	141.0	69.0	39.0	70.0	31.0
subimage_G2	6329	0.3370473537604457	0.3852813852813853	0.18694362017804153	0.3524590163934426	0.4368421052631579	0.2088235294117647	0.3627684964200477	0.4583333333333333	0.27535466737485054	129.0	160.0	76.0	51.0	83.0	30.0
subimage_F2	2698	0.3343735487616099	0.3516483516483517	0.23128613945578233	0.35736206425861594	0.3941368078175896	0.25362428459773595	0.3772455089820359	0.41214057507987223	0.28664733302494394	112.0	125.0	81.0	33.0	44.0	13.0
subimage_E2	2031	0.3543823918247758	0.34759358288770054	0.24770642201834864	0.36363636363636365	0.3542074363992172	0.281947261663286	0.383248730964467	0.36941925814911947	0.29676258992805754	183.0	179.0	142.0	41.0	35.0	-4.0
subimage_D2	1797	0.35309278350515466	0.36741320401190347	0.20424403183023873	0.36065573770491804	0.42	0.2185929648241206	0.3758369426751592	0.43526170798898073	0.27578045187168654	136.0	159.0	82.0	53.0	75.0	22.0
subimage_C2	3702	0.3402985074626866	0.3814230176479449	0.2	0.36235955056179775	0.41569767441860467	0.22052035052823177	0.3839779005524862	0.4394904458598726	0.2682900659478698	131.0	149.0	79.0	51.0	70.0	19.0
subimage_B2	6028	0.33425191742664173	0.39118402128577595	0.19666666666666666	0.3442622950819672	0.4411764705882353	0.21543408360128619	0.35533381712626994	0.4554794520547945	0.26648076135898485	106.0	136.0	67.0	40.0	70.0	30.0
subimage_A2	3034	0.3418079096045198	0.36453940763052206	0.1916376306620209	0.3575418994413408	0.4080179567616016	0.23780368292842274	0.37543859649122807	0.4391328828828829	0.27370479270802706	121.0	139.0	80.0	41.0	58.0	18.0
subimage_H3	8271	0.32653061224489793	0.3922298040942109	0.19745222929936307	0.33783783783783783	0.44376899696048633	0.21830985915492956	0.3492537313432836	0.4603992799869088	0.2734375	105.0	139.0	67.0	37.0	70.0	33.0
subimage_G3	6654	0.3289797323048744	0.38737142205496633	0.17973856209150327	0.3412969283276451	0.4548611111111111	0.20303030303030303	0.3538961038961039	0.475177304964539	0.27807486631016043	102.0	134.0	60.0	39.0	72.0	33.0
subimage_F3	3953	0.3371626183614656	0.3816956183562354	0.20264043601936899	0.34854771784232363	0.41896024464831805	0.23397435897435898	0.3693119551231078	0.43772779157993685	0.267512987012987	110.0	134.0	74.0	36.0	59.0	22.0
subimage_E3	3477	0.33783783783783783	0.35199473684210525	0.2262295081967213	0.35331230283911674	0.391812865497076	0.2586750788643533	0.38211962833914054	0.4215686274509804	0.2786885245901639	109.0	121.0	80.0	30.0	41.0	13.0
subimage_D3	4272	0.32938072201049123	0.38652610047913927	0.21007284570632986	0.3375	0.4247787610619469	0.23656000302234648	0.35822626557931986	0.4451929640922951	0.274681124497992	114.0	144.0	80.0	34.0	63.0	30.0
