experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2023-12-06	0	N2C3	WCS365	0.001	7.40743081763613	434.45621939451	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.85239664783	459.396194570447	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.43254296969264	403.4423277634	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	5.10939761439308	492.265246448181	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.09875779858457	410.388279434406	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.94631404698012	438.681501488647	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	2.26300119143808	358.929472112877	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	5.03519740371365	481.342116259257	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.74422215718017	406.116942751889	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.11122661348254	379.63998608929	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.20197332392215	409.81245197851	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	2.60636557064913	403.133201920188	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.88441909962603	449.945900966329	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.4858531673093	96.0017228131149	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.56074789850035	449.964030095054	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.86485445390403	401.116186410499	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.53756377113835	449.628468362257	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.26748919332798	431.64424081477	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.30937896226179	441.829843931571	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.21156749828561	486.600157434778	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.19650413640899	354.015673810547	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.25859229167882	478.525398561931	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.02456197863273	427.337821132449	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
