plate,position,strain1,strain2,delay,od1,od2,volume1,volume2,test,date_inoc,date_transplanted,date_sow,date_processed
P1,a,W,0,-,0.0005,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P1,b,NL,0,-,0.0005,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P1,c,W,NL,-,0.001,0.001,3,3,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P2,a,W,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P2,b,W,NL,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P3,a,W,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P3,b,NL,W,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P4,a,NL,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P4,b,NL,W,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P5,a,mock,0,++,0,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P5,b,NL,mock,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P5,c,mock,NL,++,0,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P6,a,W,0,-,0.001,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P6,b,N,0,-,0.001,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P6,c,WL,N,-,0.001,0.001,3,3,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P7,a,WL,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P7,b,WL,N,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P8,a,WL,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P8,b,N,WL,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P9,a,N,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P9,b,mock,0,++,0,0,6,0,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P9,c,N,WL,++,0.0005,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P10,a,N,mock,++,0.0005,0,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P10,b,mock,N,++,0,0.0005,6,6,delay,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P11,a,W,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P11,b,W,NL,-,0.001,0.001,3,3,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P11,c,NQ,NL,-,0.001,0.001,3,3,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P12,a,W,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P12,b,W,NL,-,0.001,0.001,3,3,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P12,c,NQ,NL,-,0.001,0.001,3,3,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P13,a,W,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P13,b,N,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P13,c,NQ,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P14,a,W,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P14,b,NQ,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P14,c,NS,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P14,d,NP,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P15,a,N,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P15,b,NQ,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P15,c,NS,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
P15,d,NP,0,-,0.001,0,6,0,mutant,2022-04-12,2022-04-11,2022-04-04,2022-04-19
