date_processed	plate	treatment	weight_mg	strains	strain1	strain2	delay	position	od1	od2	volume1	volume2	test	date_inoc	date_transplanted	date_sow	blue_plant	white_plant	Number_of_plants_pooled	dilution_plant	dotplate	row	col	ratio1	ratio2	ratio	dilution_dot	white_dot	blue_dot	date_process_dot
2022-04-19	P1	W	16	W+0	W	0	-	a	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	W	18	W+0	W	0	-	a	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	W	13.2	W+0	W	0	-	a	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	NL	4.2	NL+0	NL	0	-	b	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	NL	3.2	NL+0	NL	0	-	b	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	NL	3	NL+0	NL	0	-	b	5e-04	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P1	W+NL	15	W+NL	W	NL	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	12	570	3	6	W+NL_1:1	c	5	1	1	1:1	4	249	24	2022-04-20
2022-04-19	P1	W+NL	15	W+NL	W	NL	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	12	570	3	6	W+NL_1:1	b	2	1	1	1:1	4	250	102	2022-04-20
2022-04-19	P1	W+NL	15	W+NL	W	NL	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	12	570	3	6	W+NL_1:1	f	6	1	1	1:1	5	486	207	2022-04-20
2022-04-19	P1	W+NL	3.6	W+NL	W	NL	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	12	570	3	6	W+NL_1:1	c	5	1	1	1:1	4	249	24	2022-04-20
