experiment	plate	row	col	strain1	strain2	plant	strain1_od	strain2_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes
2024-03-08_tutorial	sample_image	A	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-28	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	B	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-27	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	C	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-26	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	D	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-28	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	E	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-28	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	F	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-27	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	G	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-26	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	H	1	MOCK	N2C3	col0	0	0.1	2023-04-24	2023-04-26	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	A	2	MOCK	N2C3	col0	0	0.01	2023-04-24	2023-04-28	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	B	2	MOCK	N2C3	col0	0	0.01	2023-04-24	2023-04-27	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	C	2	MOCK	N2C3	col0	0	0.01	2023-04-24	2023-04-26	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
2024-03-08_tutorial	sample_image	D	2	MOCK	N2C3	col0	0	0.01	2023-04-24	2023-04-28	2023-05-03	2023-05-10	12_12	140	23_20	0.5	0.5	5.8	
